Vin,Iout,V_diode
0.0,-7.590000000000001e-07,0.003
0.010050251256281407,-7.240000000000001e-07,0.013000000000000001
0.020100502512562814,-7.000000000000001e-07,0.023
0.03015075376884422,-6.660000000000001e-07,0.033
0.040201005025125629,-6.39e-07,0.043000000000000003
0.050251256281407038,-6.09e-07,0.053
0.06030150753768844,-5.74e-07,0.062
0.070351758793969849,-5.37e-07,0.07200000000000001
0.080402010050251257,-5.06e-07,0.082
0.090452261306532666,-4.73e-07,0.092
0.10050251256281408,-4.4e-07,0.10200000000000001
0.11055276381909548,-4.1400000000000003e-07,0.112
0.12060301507537688,-3.6900000000000004e-07,0.122
0.1306532663316583,-3.4300000000000004e-07,0.132
0.1407035175879397,-3.04e-07,0.14100000000000001
0.15075376884422112,-2.048e-07,0.151
0.16080402010050251,-2.048e-07,0.16
0.17085427135678391,-2.034e-07,0.17
0.18090452261306533,-1.9080000000000001e-07,0.179
0.19095477386934673,-1.494e-07,0.189
0.20100502512562815,-1.234e-07,0.199
0.21105527638190955,-1.0370000000000001e-07,0.209
0.22110552763819097,-6.73e-08,0.219
0.23115577889447236,-2.7900000000000002e-08,0.229
0.24120603015075376,-9.3e-09,0.23900000000000002
0.25125628140703515,3.26e-08,0.25
0.2613065326633166,7.37e-08,0.259
0.271356783919598,9.71e-08,0.269
0.28140703517587939,1.29e-07,0.279
0.29145728643216079,1.58e-07,0.28800000000000003
0.30150753768844224,1.8800000000000002e-07,0.297
0.31155778894472363,2.2500000000000002e-07,0.307
0.32160804020100503,2.56e-07,0.317
0.33165829145728642,2.8e-07,0.326
0.34170854271356782,3.13e-07,0.336
0.35175879396984927,3.61e-07,0.34700000000000003
0.36180904522613067,3.8800000000000003e-07,0.357
0.37185929648241206,4.28e-07,0.366
0.38190954773869346,4.52e-07,0.376
0.39195979899497491,4.970000000000001e-07,0.386
0.4020100502512563,5.380000000000001e-07,0.395
0.4120603015075377,5.830000000000001e-07,0.404
0.42211055276381909,6.32e-07,0.41400000000000003
0.43216080402010049,6.87e-07,0.423
0.44221105527638194,7.650000000000001e-07,0.432
0.45226130653266333,8.650000000000001e-07,0.441
0.46231155778894473,9.72e-07,0.45
0.47236180904522612,1.1240000000000002e-06,0.459
0.48241206030150752,1.312e-06,0.467
0.49246231155778897,1.539e-06,0.47600000000000003
0.50251256281407031,1.821e-06,0.483
0.51256281407035176,2.16e-06,0.489
0.52261306532663321,2.5400000000000002e-06,0.495
0.53266331658291455,2.97e-06,0.501
0.542713567839196,3.45e-06,0.506
0.55276381909547745,4.01e-06,0.511
0.56281407035175879,4.57e-06,0.515
0.57286432160804024,5.1700000000000005e-06,0.519
0.58291457286432158,5.83e-06,0.523
0.59296482412060303,6.52e-06,0.526
0.60301507537688448,7.24e-06,0.529
0.61306532663316582,7.98e-06,0.532
0.62311557788944727,8.750000000000001e-06,0.535
0.63316582914572861,9.54e-06,0.537
0.64321608040201006,1.0330000000000001e-05,0.539
0.65326633165829151,1.116e-05,0.542
0.66331658291457285,1.195e-05,0.544
0.6733668341708543,1.276e-05,0.546
0.68341708542713564,1.357e-05,0.547
0.69346733668341709,1.4400000000000001e-05,0.549
0.70351758793969854,1.523e-05,0.551
0.71356783919597988,1.6100000000000002e-05,0.552
0.72361809045226133,1.698e-05,0.554
0.73366834170854267,1.7860000000000002e-05,0.555
0.74371859296482412,1.874e-05,0.557
0.75376884422110557,1.968e-05,0.558
0.76381909547738691,2.05e-05,0.558
0.77386934673366836,2.14e-05,0.559
0.78391959798994981,2.23e-05,0.56
0.79396984924623115,2.31e-05,0.561
0.8040201005025126,2.4e-05,0.562
0.81407035175879394,2.49e-05,0.5630000000000001
0.82412060301507539,2.58e-05,0.5640000000000001
0.83417085427135684,2.67e-05,0.5650000000000001
0.84422110552763818,2.76e-05,0.5660000000000001
0.85427135678391963,2.8599999999999997e-05,0.5670000000000001
0.86432160804020097,2.95e-05,0.5680000000000001
0.87437185929648242,3.04e-05,0.5680000000000001
0.88442211055276387,3.14e-05,0.5690000000000001
0.89447236180904521,3.23e-05,0.5700000000000001
0.90452261306532666,3.32e-05,0.5710000000000001
0.914572864321608,3.4099999999999995e-05,0.5720000000000001
0.92462311557788945,3.51e-05,0.5720000000000001
0.9346733668341709,3.6e-05,0.5730000000000001
0.94472361809045224,3.6899999999999996e-05,0.5740000000000001
