v3, V(vx), V(vy), V(vz)
Step Information: V1=0  (Run: 1/11)
2.100000000000001e+000, 2.100000e+000, 5.000000e-001, 2.158662e+000
2.200000000000001e+000, 2.200000e+000, 5.000000e-001, 2.256061e+000
2.300000000000001e+000, 2.300000e+000, 5.000000e-001, 2.353678e+000
2.400000000000001e+000, 2.400000e+000, 5.000000e-001, 2.451487e+000
2.500000000000001e+000, 2.500000e+000, 5.000000e-001, 2.549465e+000
2.600000000000001e+000, 2.600000e+000, 5.000000e-001, 2.647595e+000
2.700000000000001e+000, 2.700000e+000, 5.000000e-001, 2.745860e+000
2.800000000000001e+000, 2.800000e+000, 5.000000e-001, 2.844245e+000
2.900000000000001e+000, 2.900000e+000, 5.000000e-001, 2.942740e+000
3.000000000000001e+000, 3.000000e+000, 5.000000e-001, 3.041332e+000
3.100000000000001e+000, 3.100000e+000, 5.000000e-001, 3.140014e+000
3.200000000000002e+000, 3.200000e+000, 5.000000e-001, 3.238776e+000
3.300000000000002e+000, 3.300000e+000, 5.000000e-001, 3.337612e+000
3.400000000000002e+000, 3.400000e+000, 5.000000e-001, 3.436515e+000
3.500000000000002e+000, 3.500000e+000, 5.000000e-001, 3.535480e+000
3.600000000000002e+000, 3.600000e+000, 5.000000e-001, 3.634502e+000
3.700000000000002e+000, 3.700000e+000, 5.000000e-001, 3.733575e+000
3.800000000000002e+000, 3.800000e+000, 5.000000e-001, 3.832697e+000
3.900000000000002e+000, 3.900000e+000, 5.000000e-001, 3.931863e+000
4.000000000000002e+000, 4.000000e+000, 5.000000e-001, 4.031071e+000
4.100000000000001e+000, 4.100000e+000, 5.000000e-001, 4.130316e+000
4.200000000000001e+000, 4.200000e+000, 5.000000e-001, 4.229597e+000
4.300000000000001e+000, 4.300000e+000, 5.000000e-001, 4.328911e+000
4.400000000000000e+000, 4.400000e+000, 5.000000e-001, 4.428256e+000
4.500000000000000e+000, 4.500000e+000, 5.000000e-001, 4.527629e+000
4.600000000000000e+000, 4.600000e+000, 5.000000e-001, 4.627030e+000
4.699999999999999e+000, 4.700000e+000, 5.000000e-001, 4.726456e+000
4.799999999999999e+000, 4.800000e+000, 5.000000e-001, 4.825905e+000
4.899999999999999e+000, 4.900000e+000, 5.000000e-001, 4.925377e+000
5.000000000000000e+000, 5.000000e+000, 5.000000e-001, 5.024869e+000
Step Information: V1=1  (Run: 3/11)
0.000000000000000e+000, 0.000000e+000, 1.000000e+000, 9.999745e-001
1.000000000000000e-001, 1.000000e-001, 1.000000e+000, 1.004960e+000
2.000000000000000e-001, 2.000000e-001, 1.000000e+000, 1.019756e+000
