I_x(Ch1),I_z(Ch2)
8.0840785005940206e-07,-3.6e-09
8.4666351131890437e-07,-3.6e-09
8.8672951573414711e-07,-3.6e-09
9.2869153277818482e-07,-3.6e-09
9.7263928599448498e-07,-3.6e-09
1.0186667448445629e-06,-3.6e-09
1.0668723256342968e-06,-3.6e-09
1.1173591019485101e-06,-3.6e-09
1.1702350250437907e-06,-3.6e-09
1.2256131546707989e-06,-3.6e-09
1.283611900819576e-06,-3.6e-09
1.3443552769048173e-06,-3.6e-09
1.4079731649323967e-06,-3.6e-09
1.474601593214192e-06,-3.6e-09
1.5443830272249818e-06,-3.5000000000000003e-09
1.6174666742233376e-06,-3.5000000000000003e-09
1.6940088022878721e-06,-3.5000000000000003e-09
1.7741730744509583e-06,-3.5000000000000003e-09
1.8581308986444497e-06,-3.5000000000000003e-09
1.9460617942055622e-06,-3.5000000000000003e-09
2.0381537757266682e-06,-3.5000000000000003e-09
2.1346037550697011e-06,-3.5000000000000003e-09
2.2356179624047784e-06,-3.5000000000000003e-09
2.3414123871733303e-06,-3.5000000000000003e-09
2.4522132399185376e-06,-3.5000000000000003e-09
2.5682574359706878e-06,-3.5000000000000003e-09
2.6897931020215225e-06,-3.5000000000000003e-09
2.8170801066708714e-06,-3.5000000000000003e-09
2.9503906160799091e-06,-3.5000000000000003e-09
3.0900096759191579e-06,-3.5000000000000003e-09
3.2362358208556053e-06,-3.5000000000000003e-09
3.3893817128820335e-06,-3.5000000000000003e-09
3.5497748098536168e-06,-3.5000000000000003e-09
3.717758065661061e-06,-3.5000000000000003e-09
3.893690663537568e-06,-3.5000000000000003e-09
4.0779487840674894e-06,-3.5000000000000003e-09
4.2709264095388591e-06,-3.4000000000000003e-09
4.4730361663597208e-06,-3.4000000000000003e-09
4.6847102073393804e-06,-3.4000000000000003e-09
4.9064011357213101e-06,-3.4000000000000003e-09
5.1385829729432024e-06,-3.4000000000000003e-09
5.3817521721937008e-06,-3.4000000000000003e-09
5.6364286799328385e-06,-3.4000000000000003e-09
5.9031570476459933e-06,-3.4000000000000003e-09
6.1825075962085722e-06,-3.4000000000000003e-09
6.4750776353508998e-06,-3.4000000000000003e-09
6.7814927408310881e-06,-3.4000000000000003e-09
7.1024080920463751e-06,-3.4000000000000003e-09
7.4385098729433688e-06,-3.4000000000000003e-09
7.7905167392224072e-06,-3.4000000000000003e-09
8.1591813549733083e-06,-3.4000000000000003e-09
8.5452920020282212e-06,-3.4000000000000003e-09
8.9496742654724591e-06,-3.4000000000000003e-09
9.373192798917727e-06,-3.4000000000000003e-09
9.8167531733117353e-06,-3.4000000000000003e-09
1.0281303813237812e-05,-3.4000000000000003e-09
1.0767838024844435e-05,-3.4000000000000003e-09
1.1277396119740903e-05,-3.4000000000000003e-09
1.1811067639400605e-05,-3.4000000000000003e-09
1.2369993684827747e-05,-3.4000000000000003e-09
1.2955369356469457e-05,-3.4000000000000003e-09
1.3568446309589612e-05,-3.4000000000000003e-09
1.4210535430568909e-05,-3.4000000000000003e-09
1.4883009639853311e-05,-3.4000000000000003e-09
1.5587306827544276e-05,-3.4000000000000003e-09
1.6324932927907624e-05,-3.4000000000000003e-09
1.7097465139375156e-05,-3.4000000000000003e-09
1.7906555296923757e-05,-3.4000000000000003e-09
1.8753933404042987e-05,-3.4000000000000003e-09
1.9641411331843434e-05,-3.4000000000000003e-09
2.0570886693214974e-05,-3.4000000000000003e-09
2.1544346900318867e-05,-3.3e-09
2.2563873414089372e-05,-3.3e-09
2.3631646194831501e-05,-3.3e-09
2.4749948363430446e-05,-3.3e-09
2.5921171083140549e-05,-3.3e-09
2.7147818672390661e-05,-3.3e-09
2.8432513959539416e-05,-3.3e-09
2.977800389102918e-05,-3.3e-09
3.1187165404930358e-05,-3.3e-09
3.2663011582435215e-05,-3.3e-09
3.4208698090453372e-05,-3.3e-09
3.5827529929086318e-05,-3.3e-09
3.7522968498406369e-05,-3.3e-09
3.9298638999652158e-05,-3.3e-09
4.1158338186664871e-05,-3.3e-09
4.3106042484139616e-05,-3.3e-09
4.5145916490051103e-05,-3.3e-09
4.7282321880431948e-05,-3.3e-09
4.9519826735546421e-05,-3.3e-09
5.1863215307398004e-05,-3.3e-09
5.4317498249458329e-05,-3.3e-09
5.6887923330489153e-05,-3.3e-09
5.9579986655366221e-05,-3.3e-09
6.2399444416898203e-05,-3.3e-09
6.535232520376647e-05,-3.3e-09
6.8444942890905975e-05,-3.3e-09
7.1683910139885655e-05,-3.3e-09
7.5076152538158466e-05,-3.3e-09
7.8628923407411509e-05,-3.3e-09
8.2349819312680262e-05,-3.3e-09
8.6246796305389616e-05,-3.3e-09
9.0328186935049749e-05,-3.3e-09
9.4602718065986134e-05,-3.3e-09
9.9079529537194182e-05,-3.3e-09
0.0001037681937052218,-3.3e-09
0.00010867873591186356,-3.3e-09
0.00011382165592043307,-3.3e-09
0.0001192079503664454,-3.3e-09
0.00012484913627071786,-3.3e-09
0.00013075727566516196,-3.3e-09
