I_y(Ch1),I_z(Ch2)
-1e-08,-0.0001259
-1.0473222288188955e-08,-0.00012539999999999999
-1.0968838509781765e-08,-0.0001252
-1.1487908395619171e-08,-0.000125
-1.2031541825367172e-08,-0.0001248
-1.2600901200671308e-08,-0.0001246
-1.3197203930613742e-08,-0.0001244
-1.3821725034787873e-08,-0.0001241
-1.4475799869555961e-08,-0.0001239
-1.5160826983319592e-08,-0.0001236
-1.5878271106907928e-08,-0.0001233
-1.6629666285477483e-08,-0.00012309999999999998
-1.7416619158620717e-08,-0.0001228
-1.8240812395696488e-08,-0.0001224
-1.9104008293728182e-08,-0.00012209999999999999
-2.0008052545562066e-08,-0.00012179999999999999
-2.0954878186343637e-08,-0.0001215
-2.1946509726749825e-08,-0.00012109999999999999
-2.2985067481815196e-08,-0.00012069999999999999
-2.4072772104607408e-08,-0.0001204
-2.5211949334446712e-08,-0.00011999999999999999
-2.6405034969821799e-08,-0.0001196
-2.7654580076634641e-08,-0.0001191
-2.8963256442911614e-08,-0.0001186
-3.0333862291643364e-08,-0.0001181
-3.1769328263969378e-08,-0.0001176
-3.3272723685499533e-08,-0.0001171
-3.484726312917256e-08,-0.00011659999999999999
-3.6496313288683521e-08,-0.000116
-3.8223400177176693e-08,-0.0001154
-4.0032216666597261e-08,-0.0001148
-4.1926630383821489e-08,-0.0001141
-4.3910691980449947e-08,-0.0001135
-4.5988643793944837e-08,-0.00011279999999999999
-4.8164928918632469e-08,-0.0001121
-5.0444200705965833e-08,-0.0001113
-5.2831332714359833e-08,-0.00011049999999999999
-5.5331429129875968e-08,-0.0001097
-5.7949835680036342e-08,-0.00010889999999999999
-6.069215106410441e-08,-0.000108
-6.3564238924270933e-08,-0.0001071
-6.6572240383344089e-08,-0.00010619999999999999
-6.9722587175751203e-08,-0.0001052
-7.3022015399927485e-08,-0.0001042
-7.6477579921499769e-08,-0.0001032
-8.0096669458060181e-08,-0.0001021
-8.3887022377785935e-08,-0.00010109999999999999
-8.785674324568332e-08,-9.989999999999999e-05
-9.2014320152838309e-08,-9.87e-05
-9.6368642865726031e-08,-9.75e-05
-1.0092902183438434e-07,-9.62e-05
-1.0570520810009836e-07,-9.489999999999999e-05
-1.1070741414516018e-07,-9.379999999999999e-05
-1.1594633572928544e-07,-9.23e-05
-1.2143317475937917e-07,-9.09e-05
