I_x(Ch1),I_z(Ch2)
1e-08,-8.51e-08
1.0473222288188955e-08,-8.78e-08
1.0968838509781765e-08,-9e-08
1.1487908395619171e-08,-9.27e-08
1.2031541825367172e-08,-9.5e-08
1.2600901200671308e-08,-9.76e-08
1.3197203930613742e-08,-1.006e-07
1.3821725034787873e-08,-1.0280000000000001e-07
1.4475799869555961e-08,-1.054e-07
1.5160826983319592e-08,-1.08e-07
1.5878271106907928e-08,-1.105e-07
1.6629666285477483e-08,-1.135e-07
1.7416619158620717e-08,-1.16e-07
1.8240812395696488e-08,-1.1900000000000001e-07
1.9104008293728182e-08,-1.222e-07
2.0008052545562066e-08,-1.25e-07
2.0954878186343637e-08,-1.283e-07
2.1946509726749825e-08,-1.314e-07
2.2985067481815196e-08,-1.345e-07
2.4072772104607408e-08,-1.379e-07
2.5211949334446712e-08,-1.414e-07
2.6405034969821799e-08,-1.4500000000000001e-07
2.7654580076634641e-08,-1.483e-07
2.8963256442911614e-08,-1.516e-07
3.0333862291643364e-08,-1.554e-07
3.1769328263969378e-08,-1.594e-07
3.3272723685499533e-08,-1.629e-07
3.484726312917256e-08,-1.673e-07
3.6496313288683521e-08,-1.7110000000000002e-07
3.8223400177176693e-08,-1.7530000000000001e-07
4.0032216666597261e-08,-1.796e-07
4.1926630383821489e-08,-1.836e-07
4.3910691980449947e-08,-1.878e-07
4.5988643793944837e-08,-1.923e-07
4.8164928918632469e-08,-1.969e-07
5.0444200705965833e-08,-2.1300000000000001e-07
5.2831332714359833e-08,-2.1700000000000002e-07
5.5331429129875968e-08,-2.22e-07
5.7949835680036342e-08,-2.26e-07
6.069215106410441e-08,-2.32e-07
6.3564238924270933e-08,-2.3700000000000002e-07
6.6572240383344089e-08,-2.42e-07
6.9722587175751203e-08,-2.4700000000000003e-07
7.3022015399927485e-08,-2.54e-07
7.6477579921499769e-08,-2.6e-07
8.0096669458060181e-08,-2.66e-07
8.3887022377785935e-08,-2.72e-07
8.785674324568332e-08,-2.7800000000000003e-07
9.2014320152838309e-08,-2.85e-07
9.6368642865726031e-08,-2.91e-07
1.0092902183438434e-07,-2.98e-07
1.0570520810009836e-07,-3.0500000000000004e-07
1.1070741414516018e-07,-3.1200000000000004e-07
1.1594633572928544e-07,-3.1900000000000004e-07
1.2143317475937917e-07,-3.2600000000000003e-07
1.2717966324154717e-07,-3.34e-07
1.3319808836657373e-07,-3.41e-07
1.3950131878249617e-07,-3.5000000000000004e-07
1.4610283211045915e-07,-3.5700000000000003e-07
