I_x(Ch1),I_z(Ch2)
1e-08,-1.4000000000000001e-09
1.0473222288188955e-08,-1.4000000000000001e-09
1.0968838509781765e-08,-1.5e-09
1.1487908395619171e-08,-1.4000000000000001e-09
1.2031541825367172e-08,-1.3e-09
1.2600901200671308e-08,-1.5e-09
1.3197203930613742e-08,-1.5e-09
1.3821725034787873e-08,-1.4000000000000001e-09
1.4475799869555961e-08,-1.5e-09
1.5160826983319592e-08,-1.6e-09
1.5878271106907928e-08,-1.5e-09
1.6629666285477483e-08,-1.6e-09
1.7416619158620717e-08,-1.6e-09
1.8240812395696488e-08,-1.7000000000000001e-09
1.9104008293728182e-08,-1.6e-09
2.0008052545562066e-08,-1.6e-09
2.0954878186343637e-08,-1.6e-09
2.1946509726749825e-08,-1.7000000000000001e-09
2.2985067481815196e-08,-1.6e-09
2.4072772104607408e-08,-1.7000000000000001e-09
2.5211949334446712e-08,-1.9e-09
2.6405034969821799e-08,-1.7000000000000001e-09
2.7654580076634641e-08,-2e-09
2.8963256442911614e-08,-2e-09
3.0333862291643364e-08,-2.1e-09
3.1769328263969378e-08,-2.2000000000000003e-09
3.3272723685499533e-08,-2.4e-09
3.484726312917256e-08,-2.3e-09
3.6496313288683521e-08,-2.4e-09
3.8223400177176693e-08,-2.5e-09
4.0032216666597261e-08,-2.6e-09
4.1926630383821489e-08,-2.7e-09
4.3910691980449947e-08,-2.9e-09
4.5988643793944837e-08,-3.1e-09
4.8164928918632469e-08,-3.3e-09
5.0444200705965833e-08,-3.5000000000000003e-09
5.2831332714359833e-08,-3.7e-09
5.5331429129875968e-08,-4e-09
5.7949835680036342e-08,-4.3000000000000005e-09
6.069215106410441e-08,-4.6e-09
6.3564238924270933e-08,-4.9e-09
6.6572240383344089e-08,-5.2e-09
6.9722587175751203e-08,-5.6000000000000005e-09
7.3022015399927485e-08,-6e-09
7.6477579921499769e-08,-6.6e-09
8.0096669458060181e-08,-7.1e-09
8.3887022377785935e-08,-7.6e-09
8.785674324568332e-08,-8.4e-09
9.2014320152838309e-08,-8.9e-09
9.6368642865726031e-08,-9.6e-09
1.0092902183438434e-07,-1.07e-08
1.0570520810009836e-07,-1.16e-08
1.1070741414516018e-07,-1.2500000000000001e-08
1.1594633572928544e-07,-1.3800000000000001e-08
1.2143317475937917e-07,-1.48e-08
1.2717966324154717e-07,-1.63e-08
1.3319808836657373e-07,-1.79e-08
1.3950131878249617e-07,-1.9400000000000002e-08
1.4610283211045915e-07,-2.1300000000000002e-08
1.5301674376267897e-07,-2.3100000000000002e-08
1.6025783712413842e-07,-2.52e-08
1.6784159516254818e-07,-2.77e-08
1.7578423353415833e-07,-3.01e-08
1.8410273525621593e-07,-3.28e-08
1.9281488702019513e-07,-3.58e-08
2.0193931722345426e-07,-4.05e-08
2.1149553580063408e-07,-4.44e-08
2.2150397593996613e-07,-4.83e-08
2.3198603777369233e-07,-5.2900000000000004e-08
2.4296413413600741e-07,-5.8100000000000004e-08
2.544617384863764e-07,-6.32e-08
2.665034351006826e-07,-6.900000000000001e-08
2.7911497163753877e-07,-7.53e-08
2.9232331419214992e-07,-8.23e-08
3.0615670495544807e-07,-9e-08
3.2064472260178882e-07,-9.81e-08
3.3581834553432128e-07,-1.076e-07
3.5171001812327932e-07,-1.177e-07
3.6835372007880703e-07,-1.2880000000000002e-07
3.8578503910666767e-07,-1.412e-07
4.0404124700217993e-07,-1.537e-07
4.2316137934508812e-07,-1.675e-07
4.4318631896577577e-07,-1.8240000000000002e-07
4.6415888336127821e-07,-1.9960000000000001e-07
4.8612391624802261e-07,-2.32e-07
5.0912838344704913e-07,-2.53e-07
5.3322147330672471e-07,-2.7600000000000004e-07
5.5845470187769409e-07,-3.01e-07
5.8488202306493716e-07,-3.3e-07
6.1255994399247468e-07,-3.61e-07
6.4154764582737633e-07,-3.96e-07
6.7190711032144174e-07,-4.33e-07
7.0370325234111581e-07,-4.73e-07
7.3700405866900303e-07,-5.180000000000001e-07
7.7188073337379232e-07,-5.68e-07
8.0840785005940206e-07,-6.2e-07
8.4666351131890437e-07,-6.78e-07
8.8672951573414711e-07,-7.420000000000001e-07
9.2869153277818482e-07,-8.12e-07
9.7263928599448498e-07,-8.890000000000001e-07
1.0186667448445629e-06,-9.740000000000001e-07
1.0668723256342968e-06,-1.064e-06
1.1173591019485101e-06,-1.165e-06
1.1702350250437907e-06,-1.275e-06
1.2256131546707989e-06,-1.393e-06
1.283611900819576e-06,-1.525e-06
1.3443552769048173e-06,-1.6650000000000002e-06
1.4079731649323967e-06,-1.822e-06
1.474601593214192e-06,-1.987e-06
1.5443830272249818e-06,-2.29e-06
1.6174666742233376e-06,-2.49e-06
1.6940088022878721e-06,-2.7200000000000002e-06
1.7741730744509583e-06,-2.9800000000000003e-06
1.8581308986444497e-06,-3.2500000000000002e-06
1.9460617942055622e-06,-3.5600000000000002e-06
2.0381537757266682e-06,-4.07e-06
2.1346037550697011e-06,-4.45e-06
2.2356179624047784e-06,-4.86e-06
2.3414123871733303e-06,-5.31e-06
2.4522132399185376e-06,-5.81e-06
2.5682574359706878e-06,-6.38e-06
2.6897931020215225e-06,-6.95e-06
2.8170801066708714e-06,-7.57e-06
2.9503906160799091e-06,-8.26e-06
3.0900096759191579e-06,-9.02e-06
3.2362358208556053e-06,-9.84e-06
3.3893817128820335e-06,-1.077e-05
3.5497748098536168e-06,-1.178e-05
3.717758065661061e-06,-1.289e-05
3.893690663537568e-06,-1.4060000000000001e-05
4.0779487840674894e-06,-1.531e-05
4.2709264095388591e-06,-1.664e-05
4.4730361663597208e-06,-1.812e-05
4.6847102073393804e-06,-1.9790000000000002e-05
4.9064011357213101e-06,-2.31e-05
5.1385829729432024e-06,-2.52e-05
5.3817521721937008e-06,-2.74e-05
5.6364286799328385e-06,-2.98e-05
5.9031570476459933e-06,-3.25e-05
6.1825075962085722e-06,-3.5499999999999996e-05
6.4750776353508998e-06,-3.87e-05
6.7814927408310881e-06,-4.21e-05
7.1024080920463751e-06,-4.5799999999999995e-05
7.4385098729433688e-06,-4.99e-05
7.7905167392224072e-06,-5.43e-05
8.1591813549733083e-06,-5.9e-05
8.5452920020282212e-06,-6.41e-05
8.9496742654724591e-06,-6.97e-05
9.373192798917727e-06,-7.57e-05
9.8167531733117353e-06,-8.209999999999999e-05
1.0281303813237812e-05,-8.93e-05
1.0767838024844435e-05,-9.669999999999999e-05
1.1277396119740903e-05,-0.0001049
1.1811067639400605e-05,-0.0001136
1.2369993684827747e-05,-0.0001229
1.2955369356469457e-05,-0.000133
1.3568446309589612e-05,-0.0001436
1.4210535430568909e-05,-0.0001551
1.4883009639853311e-05,-0.0001674
1.5587306827544276e-05,-0.0001806
1.6324932927907624e-05,-0.0001946
1.7097465139375156e-05,-0.00021899999999999998
1.7906555296923757e-05,-0.000235
1.8753933404042987e-05,-0.000252
1.9641411331843434e-05,-0.00027
2.0570886693214974e-05,-0.000296
2.1544346900318867e-05,-0.000318
2.2563873414089372e-05,-0.00033999999999999997
2.3631646194831501e-05,-0.000365
2.4749948363430446e-05,-0.00039
2.5921171083140549e-05,-0.000416
2.7147818672390661e-05,-0.000445
2.8432513959539416e-05,-0.000474
2.977800389102918e-05,-0.000505
3.1187165404930358e-05,-0.0005369999999999999
3.2663011582435215e-05,-0.000571
3.4208698090453372e-05,-0.0006079999999999999
3.5827529929086318e-05,-0.0006479999999999999
3.7522968498406369e-05,-0.0006889999999999999
3.9298638999652158e-05,-0.000731
4.1158338186664871e-05,-0.000775
4.3106042484139616e-05,-0.00082
4.5145916490051103e-05,-0.000869
4.7282321880431948e-05,-0.000922
4.9519826735546421e-05,-0.000976
5.1863215307398004e-05,-0.001035
5.4317498249458329e-05,-0.001094
5.6887923330489153e-05,-0.001156
5.9579986655366221e-05,-0.001224
6.2399444416898203e-05,-0.001294
6.535232520376647e-05,-0.001367
6.8444942890905975e-05,-0.001441
7.1683910139885655e-05,-0.001521
7.5076152538158466e-05,-0.001606
7.8628923407411509e-05,-0.0016929999999999998
8.2349819312680262e-05,-0.0017809999999999998
8.6246796305389616e-05,-0.001875
9.0328186935049749e-05,-0.0019749999999999998
9.4602718065986134e-05,-0.00217
9.9079529537194182e-05,-0.0022700000000000003
0.0001037681937052218,-0.00239
0.00010867873591186356,-0.00251
0.00011382165592043307,-0.0026400000000000004
0.0001192079503664454,-0.0027700000000000003
0.00012484913627071786,-0.0029100000000000003
0.00013075727566516196,-0.0030600000000000002
0.00013694500138392414,-0.00321
0.00014342554407501817,-0.00337
0.00015021276049021075,-0.00353
0.00015732116311364611,-0.00371
0.00016476595119256486,-0.0039000000000000003
0.00017256304323646235,-0.00408
0.00018072911105418283,-0.00429
0.00018928161540172442,-0.00449
0.000198238843316975,-0.0047
0.00020761994722121404,-0.005030000000000001
0.0002174449858709829,-0.00527
0.00022773496724789105,-0.005520000000000001
0.0002385118934780594,-0.00578
0.00024979880787725562,-0.006070000000000001
0.00026161984422231043,-0.00634
0.00027400027835416241,-0.0066300000000000005
0.00028696658222287911,-0.00693
0.00030054648049020595,-0.007240000000000001
0.00031476900981067718,-0.00757
0.00032966458091803521,-0.00791
0.00034526504364972303,-0.00829
0.00036160375504848115,-0.008660000000000001
0.00037871565068665718,-0.00906
0.00039663731936574807,-0.009460000000000001
0.00041540708135088649,-0.009880000000000002
0.00043506507030756266,-0.0103
0.00045565331911576597,-0.010750000000000001
0.00047721584974505044,-0.011240000000000002
0.00049979876738268938,-0.011750000000000002
0.00052345035901617493,-0.012270000000000001
0.00054822119668087135,-0.012790000000000001
0.00057416424559357103,-0.013340000000000001
0.00060133497740317849,-0.013940000000000001
0.00062979148880065706,-0.014560000000000002
0.00065959462574187314,-0.01518
0.0006908081135489438,-0.01582
0.00072349869316825645,-0.01649
0.00075773626387653657,-0.0172
0.0007935940327400753,-0.017920000000000002
0.00083114867114671121,-0.01864
0.00087048047874523668,-0.019420000000000003
0.00091167355514280043,-0.020210000000000002
0.00095481597972740199,-0.02048
0.001,-0.02048
