I_x(Ch1),I_z(Ch2)
1e-08,-9.06e-08
1.0473222288188955e-08,-9.51e-08
1.0968838509781765e-08,-1.002e-07
1.1487908395619171e-08,-1.0530000000000001e-07
1.2031541825367172e-08,-1.1250000000000001e-07
1.2600901200671308e-08,-1.196e-07
1.3197203930613742e-08,-1.27e-07
1.3821725034787873e-08,-1.358e-07
1.4475799869555961e-08,-1.4500000000000001e-07
1.5160826983319592e-08,-1.562e-07
1.5878271106907928e-08,-1.681e-07
1.6629666285477483e-08,-1.791e-07
1.7416619158620717e-08,-1.921e-07
1.8240812395696488e-08,-2.16e-07
1.9104008293728182e-08,-2.28e-07
2.0008052545562066e-08,-2.42e-07
2.0954878186343637e-08,-2.58e-07
2.1946509726749825e-08,-2.72e-07
2.2985067481815196e-08,-2.8800000000000004e-07
2.4072772104607408e-08,-3.03e-07
2.5211949334446712e-08,-3.18e-07
2.6405034969821799e-08,-3.35e-07
2.7654580076634641e-08,-3.49e-07
2.8963256442911614e-08,-3.63e-07
3.0333862291643364e-08,-3.7900000000000005e-07
3.1769328263969378e-08,-3.94e-07
3.3272723685499533e-08,-4.1000000000000004e-07
3.484726312917256e-08,-4.2700000000000005e-07
3.6496313288683521e-08,-4.4300000000000004e-07
3.8223400177176693e-08,-4.59e-07
4.0032216666597261e-08,-4.75e-07
4.1926630383821489e-08,-4.91e-07
4.3910691980449947e-08,-5.070000000000001e-07
4.5988643793944837e-08,-5.24e-07
4.8164928918632469e-08,-5.41e-07
5.0444200705965833e-08,-5.590000000000001e-07
5.2831332714359833e-08,-5.77e-07
5.5331429129875968e-08,-5.94e-07
5.7949835680036342e-08,-6.13e-07
6.069215106410441e-08,-6.310000000000001e-07
6.3564238924270933e-08,-6.51e-07
6.6572240383344089e-08,-6.7e-07
6.9722587175751203e-08,-6.890000000000001e-07
7.3022015399927485e-08,-7.100000000000001e-07
7.6477579921499769e-08,-7.310000000000001e-07
8.0096669458060181e-08,-7.5e-07
8.3887022377785935e-08,-7.71e-07
8.785674324568332e-08,-7.930000000000001e-07
9.2014320152838309e-08,-8.140000000000001e-07
9.6368642865726031e-08,-8.36e-07
1.0092902183438434e-07,-8.590000000000001e-07
1.0570520810009836e-07,-8.81e-07
1.1070741414516018e-07,-9.05e-07
1.1594633572928544e-07,-9.29e-07
1.2143317475937917e-07,-9.53e-07
1.2717966324154717e-07,-9.78e-07
1.3319808836657373e-07,-1.003e-06
1.3950131878249617e-07,-1.029e-06
1.4610283211045915e-07,-1.054e-06
1.5301674376267897e-07,-1.082e-06
1.6025783712413842e-07,-1.1100000000000002e-06
1.6784159516254818e-07,-1.1380000000000002e-06
1.7578423353415833e-07,-1.168e-06
1.8410273525621593e-07,-1.196e-06
1.9281488702019513e-07,-1.226e-06
2.0193931722345426e-07,-1.2670000000000001e-06
2.1149553580063408e-07,-1.2980000000000001e-06
2.2150397593996613e-07,-1.3300000000000002e-06
2.3198603777369233e-07,-1.362e-06
2.4296413413600741e-07,-1.395e-06
2.544617384863764e-07,-1.43e-06
