I_y(Ch1),I_z(Ch2)
-1e-08,-2.51e-07
-1.0473222288188955e-08,-2.54e-07
-1.0968838509781765e-08,-2.5700000000000004e-07
-1.1487908395619171e-08,-2.61e-07
-1.2031541825367172e-08,-2.66e-07
-1.2600901200671308e-08,-2.6900000000000004e-07
-1.3197203930613742e-08,-2.73e-07
-1.3821725034787873e-08,-2.77e-07
-1.4475799869555961e-08,-2.8300000000000003e-07
-1.5160826983319592e-08,-2.86e-07
-1.5878271106907928e-08,-2.92e-07
-1.6629666285477483e-08,-2.96e-07
-1.7416619158620717e-08,-3.01e-07
-1.8240812395696488e-08,-3.0700000000000004e-07
-1.9104008293728182e-08,-3.1200000000000004e-07
-2.0008052545562066e-08,-3.1700000000000005e-07
-2.0954878186343637e-08,-3.22e-07
-2.1946509726749825e-08,-3.28e-07
-2.2985067481815196e-08,-3.34e-07
-2.4072772104607408e-08,-3.39e-07
-2.5211949334446712e-08,-3.46e-07
-2.6405034969821799e-08,-3.5200000000000003e-07
-2.7654580076634641e-08,-3.59e-07
-2.8963256442911614e-08,-3.65e-07
-3.0333862291643364e-08,-3.73e-07
-3.1769328263969378e-08,-3.8e-07
-3.3272723685499533e-08,-3.87e-07
-3.484726312917256e-08,-3.94e-07
-3.6496313288683521e-08,-4.02e-07
-3.8223400177176693e-08,-4.1000000000000004e-07
-4.0032216666597261e-08,-4.18e-07
-4.1926630383821489e-08,-4.2600000000000003e-07
-4.3910691980449947e-08,-4.35e-07
-4.5988643793944837e-08,-4.4300000000000004e-07
-4.8164928918632469e-08,-4.52e-07
-5.0444200705965833e-08,-4.61e-07
-5.2831332714359833e-08,-4.71e-07
-5.5331429129875968e-08,-4.81e-07
-5.7949835680036342e-08,-4.900000000000001e-07
-6.069215106410441e-08,-5.01e-07
-6.3564238924270933e-08,-5.110000000000001e-07
-6.6572240383344089e-08,-5.210000000000001e-07
-6.9722587175751203e-08,-5.32e-07
-7.3022015399927485e-08,-5.43e-07
-7.6477579921499769e-08,-5.550000000000001e-07
-8.0096669458060181e-08,-5.67e-07
-8.3887022377785935e-08,-5.79e-07
-8.785674324568332e-08,-5.91e-07
-9.2014320152838309e-08,-6.03e-07
-9.6368642865726031e-08,-6.170000000000001e-07
-1.0092902183438434e-07,-6.3e-07
-1.0570520810009836e-07,-6.44e-07
-1.1070741414516018e-07,-6.58e-07
-1.1594633572928544e-07,-6.71e-07
-1.2143317475937917e-07,-6.860000000000001e-07
-1.2717966324154717e-07,-7.01e-07
-1.3319808836657373e-07,-7.170000000000001e-07
-1.3950131878249617e-07,-7.32e-07
-1.4610283211045915e-07,-7.480000000000001e-07
-1.5301674376267897e-07,-7.650000000000001e-07
-1.6025783712413842e-07,-7.820000000000001e-07
-1.6784159516254818e-07,-7.990000000000001e-07
-1.7578423353415833e-07,-8.170000000000001e-07
-1.8410273525621593e-07,-8.35e-07
-1.9281488702019513e-07,-8.540000000000001e-07
-2.0193931722345426e-07,-8.7e-07
-2.1149553580063408e-07,-8.890000000000001e-07
-2.2150397593996613e-07,-9.090000000000001e-07
-2.3198603777369233e-07,-9.29e-07
-2.4296413413600741e-07,-9.5e-07
-2.544617384863764e-07,-9.71e-07
-2.665034351006826e-07,-9.940000000000001e-07
-2.7911497163753877e-07,-1.016e-06
-2.9232331419214992e-07,-1.041e-06
-3.0615670495544807e-07,-1.064e-06
-3.2064472260178882e-07,-1.088e-06
-3.3581834553432128e-07,-1.114e-06
-3.5171001812327932e-07,-1.1380000000000002e-06
-3.6835372007880703e-07,-1.164e-06
-3.8578503910666767e-07,-1.19e-06
-4.0404124700217993e-07,-1.218e-06
-4.2316137934508812e-07,-1.2450000000000002e-06
-4.4318631896577577e-07,-1.274e-06
-4.6415888336127821e-07,-1.302e-06
-4.8612391624802261e-07,-1.3320000000000001e-06
-5.0912838344704913e-07,-1.3610000000000002e-06
-5.3322147330672471e-07,-1.3920000000000002e-06
-5.5845470187769409e-07,-1.426e-06
-5.8488202306493716e-07,-1.4590000000000001e-06
-6.1255994399247468e-07,-1.4900000000000001e-06
-6.4154764582737633e-07,-1.5240000000000001e-06
-6.7190711032144174e-07,-1.559e-06
-7.0370325234111581e-07,-1.5950000000000002e-06
-7.3700405866900303e-07,-1.6310000000000001e-06
-7.7188073337379232e-07,-1.6680000000000002e-06
-8.0840785005940206e-07,-1.706e-06
-8.4666351131890437e-07,-1.745e-06
-8.8672951573414711e-07,-1.7840000000000002e-06
-9.2869153277818482e-07,-1.825e-06
-9.7263928599448498e-07,-1.867e-06
-1.0186667448445629e-06,-1.908e-06
-1.0668723256342968e-06,-1.952e-06
-1.1173591019485101e-06,-1.997e-06
-1.1702350250437907e-06,-2.12e-06
-1.2256131546707989e-06,-2.16e-06
-1.283611900819576e-06,-2.21e-06
-1.3443552769048173e-06,-2.26e-06
-1.4079731649323967e-06,-2.31e-06
-1.474601593214192e-06,-2.36e-06
-1.5443830272249818e-06,-2.42e-06
-1.6174666742233376e-06,-2.47e-06
-1.6940088022878721e-06,-2.53e-06
-1.7741730744509583e-06,-2.58e-06
-1.8581308986444497e-06,-2.64e-06
-1.9460617942055622e-06,-2.7e-06
-2.0381537757266682e-06,-2.7600000000000003e-06
-2.1346037550697011e-06,-2.82e-06
-2.2356179624047784e-06,-2.89e-06
-2.3414123871733303e-06,-2.95e-06
-2.4522132399185376e-06,-3.02e-06
-2.5682574359706878e-06,-3.09e-06
-2.6897931020215225e-06,-3.1600000000000002e-06
-2.8170801066708714e-06,-3.23e-06
-2.9503906160799091e-06,-3.31e-06
-3.0900096759191579e-06,-3.39e-06
-3.2362358208556053e-06,-3.46e-06
-3.3893817128820335e-06,-3.55e-06
-3.5497748098536168e-06,-3.62e-06
-3.717758065661061e-06,-3.71e-06
-3.893690663537568e-06,-3.79e-06
-4.0779487840674894e-06,-3.88e-06
-4.2709264095388591e-06,-3.97e-06
-4.4730361663597208e-06,-4.06e-06
-4.6847102073393804e-06,-4.15e-06
-4.9064011357213101e-06,-4.25e-06
-5.1385829729432024e-06,-4.35e-06
-5.3817521721937008e-06,-4.44e-06
-5.6364286799328385e-06,-4.5500000000000005e-06
-5.9031570476459933e-06,-4.65e-06
-6.1825075962085722e-06,-4.76e-06
-6.4750776353508998e-06,-4.86e-06
-6.7814927408310881e-06,-4.98e-06
-7.1024080920463751e-06,-5.09e-06
-7.4385098729433688e-06,-5.21e-06
-7.7905167392224072e-06,-5.33e-06
-8.1591813549733083e-06,-5.45e-06
-8.5452920020282212e-06,-5.57e-06
