I_y(Ch1),I_z(Ch2)
-1e-08,-1.7e-06
-1.0473222288188955e-08,-1.7e-06
-1.0968838509781765e-08,-1.71e-06
-1.1487908395619171e-08,-1.71e-06
-1.2031541825367172e-08,-1.72e-06
-1.2600901200671308e-08,-1.72e-06
-1.3197203930613742e-08,-1.73e-06
-1.3821725034787873e-08,-1.74e-06
-1.4475799869555961e-08,-1.75e-06
-1.5160826983319592e-08,-1.75e-06
-1.5878271106907928e-08,-1.76e-06
-1.6629666285477483e-08,-1.77e-06
-1.7416619158620717e-08,-1.7800000000000001e-06
-1.8240812395696488e-08,-1.79e-06
-1.9104008293728182e-08,-1.79e-06
-2.0008052545562066e-08,-1.8000000000000001e-06
-2.0954878186343637e-08,-1.81e-06
-2.1946509726749825e-08,-1.82e-06
-2.2985067481815196e-08,-1.83e-06
-2.4072772104607408e-08,-1.84e-06
-2.5211949334446712e-08,-1.86e-06
-2.6405034969821799e-08,-1.87e-06
-2.7654580076634641e-08,-1.88e-06
-2.8963256442911614e-08,-1.8900000000000001e-06
-3.0333862291643364e-08,-1.91e-06
-3.1769328263969378e-08,-1.9200000000000003e-06
-3.3272723685499533e-08,-1.94e-06
-3.484726312917256e-08,-1.95e-06
-3.6496313288683521e-08,-1.97e-06
-3.8223400177176693e-08,-1.98e-06
-4.0032216666597261e-08,-2e-06
-4.1926630383821489e-08,-2.02e-06
-4.3910691980449947e-08,-2.03e-06
-4.5988643793944837e-08,-2.05e-06
-4.8164928918632469e-08,-2.07e-06
-5.0444200705965833e-08,-2.09e-06
-5.2831332714359833e-08,-2.11e-06
-5.5331429129875968e-08,-2.13e-06
-5.7949835680036342e-08,-2.16e-06
-6.069215106410441e-08,-2.18e-06
-6.3564238924270933e-08,-2.21e-06
-6.6572240383344089e-08,-2.2300000000000002e-06
-6.9722587175751203e-08,-2.26e-06
-7.3022015399927485e-08,-2.28e-06
-7.6477579921499769e-08,-2.31e-06
-8.0096669458060181e-08,-2.34e-06
-8.3887022377785935e-08,-2.37e-06
-8.785674324568332e-08,-2.4e-06
-9.2014320152838309e-08,-2.43e-06
-9.6368642865726031e-08,-2.46e-06
-1.0092902183438434e-07,-2.5e-06
-1.0570520810009836e-07,-2.53e-06
-1.1070741414516018e-07,-2.57e-06
-1.1594633572928544e-07,-2.6e-06
-1.2143317475937917e-07,-2.64e-06
-1.2717966324154717e-07,-2.68e-06
-1.3319808836657373e-07,-2.7200000000000002e-06
-1.3950131878249617e-07,-2.7600000000000003e-06
-1.4610283211045915e-07,-2.81e-06
-1.5301674376267897e-07,-2.8500000000000002e-06
-1.6025783712413842e-07,-2.9e-06
-1.6784159516254818e-07,-2.95e-06
-1.7578423353415833e-07,-2.99e-06
-1.8410273525621593e-07,-3.04e-06
-1.9281488702019513e-07,-3.1e-06
-2.0193931722345426e-07,-3.14e-06
-2.1149553580063408e-07,-3.2e-06
-2.2150397593996613e-07,-3.2500000000000002e-06
-2.3198603777369233e-07,-3.31e-06
-2.4296413413600741e-07,-3.37e-06
-2.544617384863764e-07,-3.43e-06
-2.665034351006826e-07,-3.49e-06
-2.7911497163753877e-07,-3.5600000000000002e-06
-2.9232331419214992e-07,-3.63e-06
-3.0615670495544807e-07,-3.7e-06
-3.2064472260178882e-07,-3.77e-06
-3.3581834553432128e-07,-3.8400000000000005e-06
-3.5171001812327932e-07,-3.91e-06
-3.6835372007880703e-07,-3.99e-06
-3.8578503910666767e-07,-4.07e-06
-4.0404124700217993e-07,-4.15e-06
-4.2316137934508812e-07,-4.23e-06
-4.4318631896577577e-07,-4.32e-06
-4.6415888336127821e-07,-4.4e-06
-4.8612391624802261e-07,-4.49e-06
-5.0912838344704913e-07,-4.58e-06
-5.3322147330672471e-07,-4.67e-06
-5.5845470187769409e-07,-4.77e-06
-5.8488202306493716e-07,-4.87e-06
-6.1255994399247468e-07,-4.97e-06
-6.4154764582737633e-07,-5.07e-06
-6.7190711032144174e-07,-5.18e-06
-7.0370325234111581e-07,-5.29e-06
-7.3700405866900303e-07,-5.4e-06
