I_input,I_output
0.0,2.99e-07
-0.00010101010101010101,4.9999999999999996e-05
-0.00020202020202020202,0.0001002
-0.00030303030303030303,0.0001507
-0.00040404040404040404,0.000198
-0.00050505050505050505,0.000247
-0.00060606060606060606,0.000298
-0.00070707070707070707,0.000348
-0.00080808080808080808,0.00039799999999999997
-0.00090909090909090909,0.000448
-0.0010101010101010101,0.000499
-0.0011111111111111111,0.000549
-0.0012121212121212121,0.0005989999999999999
-0.0013131313131313131,0.000649
-0.0014141414141414141,0.0007
-0.0015151515151515152,0.00075
-0.0016161616161616162,0.000801
-0.0017171717171717172,0.000851
-0.0018181818181818182,0.000901
-0.0019191919191919192,0.0009509999999999999
-0.0020202020202020202,0.001
-0.002121212121212121,0.001049
-0.0022222222222222222,0.001098
-0.0023232323232323234,0.0011489999999999998
-0.0024242424242424242,0.001199
-0.002525252525252525,0.001248
-0.0026262626262626263,0.001298
-0.0027272727272727275,0.001349
-0.0028282828282828283,0.001403
-0.0029292929292929291,0.001454
-0.0030303030303030303,0.0015049999999999998
-0.0031313131313131315,0.0015559999999999999
-0.0032323232323232323,0.001606
-0.0033333333333333331,0.001658
-0.0034343434343434343,0.001707
-0.0035353535353535356,0.001756
-0.0036363636363636364,0.001805
-0.0037373737373737372,0.001854
-0.0038383838383838384,0.001906
-0.0039393939393939396,0.001957
-0.0040404040404040404,0.00198
-0.0041414141414141412,0.00202
-0.004242424242424242,0.0020700000000000002
-0.0043434343434343436,0.0021200000000000004
-0.0044444444444444444,0.00217
-0.0045454545454545452,0.00223
-0.0046464646464646469,0.0022700000000000003
-0.0047474747474747477,0.00232
-0.0048484848484848485,0.00237
-0.0049494949494949493,0.0024200000000000003
-0.0050505050505050501,0.0024700000000000004
-0.0051515151515151517,0.00252
-0.0052525252525252525,0.0025700000000000002
-0.0053535353535353533,0.0026300000000000004
-0.005454545454545455,0.00268
-0.0055555555555555558,0.0027300000000000002
-0.0056565656565656566,0.0027800000000000004
-0.0057575757575757574,0.00283
-0.0058585858585858581,0.00288
-0.0059595959595959598,0.0029300000000000003
-0.0060606060606060606,0.0029800000000000004
-0.0061616161616161614,0.00303
-0.0062626262626262631,0.0030800000000000003
-0.0063636363636363638,0.0031300000000000004
-0.0064646464646464646,0.00318
-0.0065656565656565654,0.0032300000000000002
-0.0066666666666666662,0.0032800000000000004
-0.0067676767676767679,0.00333
-0.0068686868686868687,0.00338
-0.0069696969696969695,0.0034300000000000003
-0.0070707070707070711,0.0034800000000000005
-0.0071717171717171719,0.00353
-0.0072727272727272727,0.0035800000000000003
-0.0073737373737373735,0.0036300000000000004
-0.0074747474747474743,0.00368
-0.007575757575757576,0.0037300000000000002
-0.0076767676767676768,0.0037800000000000004
-0.0077777777777777776,0.0038300000000000005
-0.0078787878787878792,0.00388
-0.0079797979797979791,0.00393
-0.0080808080808080808,0.00398
-0.0081818181818181825,0.004030000000000001
-0.0082828282828282824,0.004090000000000001
-0.008383838383838384,0.0041400000000000005
-0.008484848484848484,0.00419
-0.0085858585858585856,0.00423
-0.0086868686868686873,0.00428
-0.0087878787878787872,0.0043300000000000005
-0.0088888888888888889,0.00438
-0.0089898989898989905,0.004430000000000001
-0.0090909090909090905,0.0044800000000000005
-0.0091919191919191921,0.004540000000000001
-0.0092929292929292938,0.00459
-0.0093939393939393937,0.00464
-0.0094949494949494954,0.004690000000000001
-0.0095959595959595953,0.00474
-0.009696969696969697,0.00479
-0.0097979797979797986,0.0048400000000000006
-0.0098989898989898985,0.00489
-0.01,0.004940000000000001
