I_input,I_output
0.0,9.36e-06
0.00015151515151515152,-6.63e-05
0.00030303030303030303,-0.0001436
0.00045454545454545455,-0.000225
0.00060606060606060606,-0.0003
0.00075757575757575758,-0.000376
0.00090909090909090909,-0.00045099999999999996
0.0010606060606060605,-0.000527
0.0012121212121212121,-0.000602
0.0013636363636363637,-0.000677
0.0015151515151515152,-0.000753
0.0016666666666666666,-0.000829
0.0018181818181818182,-0.000904
0.0019696969696969698,-0.000978
0.002121212121212121,-0.001073
0.0022727272727272726,-0.001151
0.0024242424242424242,-0.001227
0.0025757575757575759,-0.001303
0.0027272727272727275,-0.001377
0.0028787878787878787,-0.001452
0.0030303030303030303,-0.0015249999999999999
0.0031818181818181819,-0.001599
0.0033333333333333331,-0.0016769999999999999
0.0034848484848484847,-0.0017519999999999999
0.0036363636363636364,-0.001828
0.003787878787878788,-0.001906
0.0039393939393939396,-0.001979
0.0040909090909090912,-0.0021200000000000004
0.004242424242424242,-0.00218
0.0043939393939393936,-0.0022600000000000003
0.0045454545454545452,-0.00233
0.0046969696969696969,-0.0024100000000000002
0.0048484848484848485,-0.00248
0.0050000000000000001,-0.00256
0.0051515151515151517,-0.0026400000000000004
0.0053030303030303034,-0.00271
0.005454545454545455,-0.0027900000000000004
0.0056060606060606057,-0.00286
0.0057575757575757574,-0.0029400000000000003
0.005909090909090909,-0.00301
0.0060606060606060606,-0.0030900000000000003
0.0062121212121212122,-0.00317
0.0063636363636363638,-0.0032400000000000003
0.0065151515151515155,-0.0033200000000000005
0.0066666666666666662,-0.0033900000000000002
0.0068181818181818179,-0.0034700000000000004
0.0069696969696969695,-0.00354
0.0071212121212121211,-0.0036200000000000004
0.0072727272727272727,-0.0037
0.0074242424242424243,-0.0037700000000000003
0.007575757575757576,-0.00385
0.0077272727272727276,-0.00393
0.0078787878787878792,-0.004
0.00803030303030303,-0.00408
0.0081818181818181825,-0.00415
0.0083333333333333332,-0.004220000000000001
0.008484848484848484,-0.0043
0.0086363636363636365,-0.004370000000000001
0.0087878787878787872,-0.00445
0.0089393939393939397,-0.00453
0.0090909090909090905,-0.00461
0.009242424242424243,-0.00468
0.0093939393939393937,-0.00476
0.0095454545454545462,-0.00483
0.009696969696969697,-0.00491
0.0098484848484848477,-0.0049900000000000005
0.01,-0.00506
0.010151515151515151,-0.0051400000000000005
0.010303030303030303,-0.005220000000000001
0.010454545454545454,-0.00529
0.010606060606060607,-0.00536
0.010757575757575757,-0.00544
0.01090909090909091,-0.00551
0.011060606060606061,-0.00559
0.011212121212121211,-0.0056700000000000006
0.011363636363636364,-0.005690000000000001
0.011515151515151515,-0.005690000000000001
0.011666666666666667,-0.00568
0.011818181818181818,-0.00568
0.01196969696969697,-0.00568
0.012121212121212121,-0.00568
0.012272727272727272,-0.00568
0.012424242424242424,-0.00568
0.012575757575757575,-0.00568
0.012727272727272728,-0.00568
0.012878787878787878,-0.00568
0.013030303030303031,-0.00568
0.013181818181818182,-0.00568
0.013333333333333332,-0.00568
0.013484848484848485,-0.00568
0.013636363636363636,-0.00568
0.013787878787878788,-0.00568
0.013939393939393939,-0.00568
0.014090909090909091,-0.00568
0.014242424242424242,-0.00568
0.014393939393939395,-0.00568
0.014545454545454545,-0.00568
0.014696969696969696,-0.0056700000000000006
0.014848484848484849,-0.0056700000000000006
0.014999999999999999,-0.0056700000000000006
