v1	V(v_1)	V(v_2)	V(vout)
-9.229999999999999e-001	1.577000e+000	2.500000e+000	8.206765e-002
-9.219999999999999e-001	1.578000e+000	2.500000e+000	8.221723e-002
-9.209999999999999e-001	1.579000e+000	2.500000e+000	8.236700e-002
-9.199999999999999e-001	1.580000e+000	2.500000e+000	8.251693e-002
-9.189999999999999e-001	1.581000e+000	2.500000e+000	8.266705e-002
-9.179999999999999e-001	1.582000e+000	2.500000e+000	8.281735e-002
-9.169999999999999e-001	1.583000e+000	2.500000e+000	8.296783e-002
-9.159999999999999e-001	1.584000e+000	2.500000e+000	8.311848e-002
-9.149999999999999e-001	1.585000e+000	2.500000e+000	8.326931e-002
-9.139999999999999e-001	1.586000e+000	2.500000e+000	8.342031e-002
-9.129999999999999e-001	1.587000e+000	2.500000e+000	8.357149e-002
-9.119999999999999e-001	1.588000e+000	2.500000e+000	8.372284e-002
-9.109999999999999e-001	1.589000e+000	2.500000e+000	8.387436e-002
-9.099999999999999e-001	1.590000e+000	2.500000e+000	8.402605e-002
-9.089999999999999e-001	1.591000e+000	2.500000e+000	8.417792e-002
-9.079999999999999e-001	1.592000e+000	2.500000e+000	8.432996e-002
-9.069999999999999e-001	1.593000e+000	2.500000e+000	8.448216e-002
-9.059999999999999e-001	1.594000e+000	2.500000e+000	8.463453e-002
-9.049999999999999e-001	1.595000e+000	2.500000e+000	8.478706e-002
-9.039999999999999e-001	1.596000e+000	2.500000e+000	8.493976e-002
-9.029999999999999e-001	1.597000e+000	2.500000e+000	8.509263e-002
-9.019999999999999e-001	1.598000e+000	2.500000e+000	8.524566e-002
-9.009999999999999e-001	1.599000e+000	2.500000e+000	8.539885e-002
-8.999999999999999e-001	1.600000e+000	2.500000e+000	8.555221e-002
-8.989999999999999e-001	1.601000e+000	2.500000e+000	8.570573e-002
-8.979999999999999e-001	1.602000e+000	2.500000e+000	8.585940e-002
-8.969999999999999e-001	1.603000e+000	2.500000e+000	8.601324e-002
-8.959999999999999e-001	1.604000e+000	2.500000e+000	8.616723e-002
-8.949999999999999e-001	1.605000e+000	2.500000e+000	8.632138e-002
-8.939999999999999e-001	1.606000e+000	2.500000e+000	8.647569e-002
-8.929999999999999e-001	1.607000e+000	2.500000e+000	8.663014e-002
-8.919999999999999e-001	1.608000e+000	2.500000e+000	8.678476e-002
-8.909999999999999e-001	1.609000e+000	2.500000e+000	8.693952e-002
-8.899999999999999e-001	1.610000e+000	2.500000e+000	8.709444e-002
-8.889999999999999e-001	1.611000e+000	2.500000e+000	8.724951e-002
-8.879999999999999e-001	1.612000e+000	2.500000e+000	8.740473e-002
-8.869999999999999e-001	1.613000e+000	2.500000e+000	8.756009e-002
-8.859999999999999e-001	1.614000e+000	2.500000e+000	8.771561e-002
-8.849999999999999e-001	1.615000e+000	2.500000e+000	8.787128e-002
-8.839999999999999e-001	1.616000e+000	2.500000e+000	8.802708e-002
-8.829999999999999e-001	1.617000e+000	2.500000e+000	8.818304e-002
-8.819999999999999e-001	1.618000e+000	2.500000e+000	8.833914e-002
-8.809999999999999e-001	1.619000e+000	2.500000e+000	8.849537e-002
-8.799999999999999e-001	1.620000e+000	2.500000e+000	8.865175e-002
-8.789999999999999e-001	1.621000e+000	2.500000e+000	8.880828e-002
-8.779999999999999e-001	1.622000e+000	2.500000e+000	8.896494e-002
-8.769999999999999e-001	1.623000e+000	2.500000e+000	8.912174e-002
-8.759999999999999e-001	1.624000e+000	2.500000e+000	8.927868e-002
-8.749999999999999e-001	1.625000e+000	2.500000e+000	8.943575e-002
-8.739999999999999e-001	1.626000e+000	2.500000e+000	8.959296e-002
-8.729999999999999e-001	1.627000e+000	2.500000e+000	8.975030e-002
-8.719999999999999e-001	1.628000e+000	2.500000e+000	8.990777e-002
-8.709999999999999e-001	1.629000e+000	2.500000e+000	9.006538e-002
-8.699999999999999e-001	1.630000e+000	2.500000e+000	9.022312e-002
-8.689999999999999e-001	1.631000e+000	2.500000e+000	9.038099e-002
-8.679999999999999e-001	1.632000e+000	2.500000e+000	9.053899e-002
-8.669999999999999e-001	1.633000e+000	2.500000e+000	9.069711e-002
-8.659999999999999e-001	1.634000e+000	2.500000e+000	9.085536e-002
-8.649999999999999e-001	1.635000e+000	2.500000e+000	9.101373e-002
-8.639999999999999e-001	1.636000e+000	2.500000e+000	9.117223e-002
-8.629999999999999e-001	1.637000e+000	2.500000e+000	9.133086e-002
-8.619999999999999e-001	1.638000e+000	2.500000e+000	9.148960e-002
-8.609999999999999e-001	1.639000e+000	2.500000e+000	9.164846e-002
-8.599999999999999e-001	1.640000e+000	2.500000e+000	9.180745e-002
-8.589999999999999e-001	1.641000e+000	2.500000e+000	9.196655e-002
-8.579999999999999e-001	1.642000e+000	2.500000e+000	9.212577e-002
-8.569999999999999e-001	1.643000e+000	2.500000e+000	9.228510e-002
-8.559999999999999e-001	1.644000e+000	2.500000e+000	9.244455e-002
-8.549999999999999e-001	1.645000e+000	2.500000e+000	9.260412e-002
-8.539999999999999e-001	1.646000e+000	2.500000e+000	9.276380e-002
-8.529999999999999e-001	1.647000e+000	2.500000e+000	9.292358e-002
-8.519999999999999e-001	1.648000e+000	2.500000e+000	9.308348e-002
-8.509999999999999e-001	1.649000e+000	2.500000e+000	9.324349e-002
-8.499999999999999e-001	1.650000e+000	2.500000e+000	9.340360e-002
-8.489999999999999e-001	1.651000e+000	2.500000e+000	9.356382e-002
-8.479999999999999e-001	1.652000e+000	2.500000e+000	9.372415e-002
-8.469999999999999e-001	1.653000e+000	2.500000e+000	9.388457e-002
-8.459999999999999e-001	1.654000e+000	2.500000e+000	9.404511e-002
-8.449999999999999e-001	1.655000e+000	2.500000e+000	9.420574e-002
-8.439999999999999e-001	1.656000e+000	2.500000e+000	9.436648e-002
-8.429999999999999e-001	1.657000e+000	2.500000e+000	9.452730e-002
-8.419999999999999e-001	1.658000e+000	2.500000e+000	9.468824e-002
-8.409999999999999e-001	1.659000e+000	2.500000e+000	9.484927e-002
-8.399999999999999e-001	1.660000e+000	2.500000e+000	9.501038e-002
-8.389999999999999e-001	1.661000e+000	2.500000e+000	9.517160e-002
-8.379999999999999e-001	1.662000e+000	2.500000e+000	9.533291e-002
-8.369999999999999e-001	1.663000e+000	2.500000e+000	9.549431e-002
-8.359999999999999e-001	1.664000e+000	2.500000e+000	9.565580e-002
-8.349999999999999e-001	1.665000e+000	2.500000e+000	9.581738e-002
-8.339999999999999e-001	1.666000e+000	2.500000e+000	9.597904e-002
-8.329999999999999e-001	1.667000e+000	2.500000e+000	9.614079e-002
-8.319999999999999e-001	1.668000e+000	2.500000e+000	9.630263e-002
-8.309999999999999e-001	1.669000e+000	2.500000e+000	9.646455e-002
-8.299999999999999e-001	1.670000e+000	2.500000e+000	9.662655e-002
-8.289999999999999e-001	1.671000e+000	2.500000e+000	9.678863e-002
-8.279999999999999e-001	1.672000e+000	2.500000e+000	9.695079e-002
-8.269999999999999e-001	1.673000e+000	2.500000e+000	9.711303e-002
-8.259999999999999e-001	1.674000e+000	2.500000e+000	9.727535e-002
-8.249999999999998e-001	1.675000e+000	2.500000e+000	9.743774e-002
-8.239999999999998e-001	1.676000e+000	2.500000e+000	9.760020e-002
-8.229999999999998e-001	1.677000e+000	2.500000e+000	9.776273e-002
-8.219999999999998e-001	1.678000e+000	2.500000e+000	9.792534e-002
-8.209999999999998e-001	1.679000e+000	2.500000e+000	9.808802e-002
-8.199999999999998e-001	1.680000e+000	2.500000e+000	9.825077e-002
-8.189999999999998e-001	1.681000e+000	2.500000e+000	9.841358e-002
-8.179999999999998e-001	1.682000e+000	2.500000e+000	9.857646e-002
-8.169999999999998e-001	1.683000e+000	2.500000e+000	9.873939e-002
-8.159999999999998e-001	1.684000e+000	2.500000e+000	9.890240e-002
-8.149999999999998e-001	1.685000e+000	2.500000e+000	9.906546e-002
-8.139999999999998e-001	1.686000e+000	2.500000e+000	9.922858e-002
-8.129999999999998e-001	1.687000e+000	2.500000e+000	9.939177e-002
-8.119999999999998e-001	1.688000e+000	2.500000e+000	9.955500e-002
-8.109999999999998e-001	1.689000e+000	2.500000e+000	9.971830e-002
-8.099999999999998e-001	1.690000e+000	2.500000e+000	9.988164e-002
-8.089999999999998e-001	1.691000e+000	2.500000e+000	1.000450e-001
-8.079999999999998e-001	1.692000e+000	2.500000e+000	1.002085e-001
-8.069999999999998e-001	1.693000e+000	2.500000e+000	1.003720e-001
-8.059999999999998e-001	1.694000e+000	2.500000e+000	1.005355e-001
-8.049999999999998e-001	1.695000e+000	2.500000e+000	1.006991e-001
-8.039999999999998e-001	1.696000e+000	2.500000e+000	1.008627e-001
-8.029999999999998e-001	1.697000e+000	2.500000e+000	1.010264e-001
-8.019999999999998e-001	1.698000e+000	2.500000e+000	1.011901e-001
-8.009999999999998e-001	1.699000e+000	2.500000e+000	1.013539e-001
-7.999999999999998e-001	1.700000e+000	2.500000e+000	1.015177e-001
-7.989999999999998e-001	1.701000e+000	2.500000e+000	1.016815e-001
-7.979999999999998e-001	1.702000e+000	2.500000e+000	1.018454e-001
-7.969999999999998e-001	1.703000e+000	2.500000e+000	1.020093e-001
-7.959999999999998e-001	1.704000e+000	2.500000e+000	1.021732e-001
-7.949999999999998e-001	1.705000e+000	2.500000e+000	1.023372e-001
-7.939999999999998e-001	1.706000e+000	2.500000e+000	1.025012e-001
-7.929999999999998e-001	1.707000e+000	2.500000e+000	1.026652e-001
-7.919999999999998e-001	1.708000e+000	2.500000e+000	1.028292e-001
-7.909999999999998e-001	1.709000e+000	2.500000e+000	1.029933e-001
-7.899999999999998e-001	1.710000e+000	2.500000e+000	1.031573e-001
-7.889999999999998e-001	1.711000e+000	2.500000e+000	1.033214e-001
-7.879999999999998e-001	1.712000e+000	2.500000e+000	1.034856e-001
-7.869999999999998e-001	1.713000e+000	2.500000e+000	1.036497e-001
-7.859999999999998e-001	1.714000e+000	2.500000e+000	1.038139e-001
-7.849999999999998e-001	1.715000e+000	2.500000e+000	1.039780e-001
-7.839999999999998e-001	1.716000e+000	2.500000e+000	1.041422e-001
-7.829999999999998e-001	1.717000e+000	2.500000e+000	1.043064e-001
-7.819999999999998e-001	1.718000e+000	2.500000e+000	1.044706e-001
-7.809999999999998e-001	1.719000e+000	2.500000e+000	1.046348e-001
-7.799999999999998e-001	1.720000e+000	2.500000e+000	1.047990e-001
-7.789999999999998e-001	1.721000e+000	2.500000e+000	1.049632e-001
-7.779999999999998e-001	1.722000e+000	2.500000e+000	1.051274e-001
-7.769999999999998e-001	1.723000e+000	2.500000e+000	1.052916e-001
-7.759999999999998e-001	1.724000e+000	2.500000e+000	1.054558e-001
-7.749999999999998e-001	1.725000e+000	2.500000e+000	1.056200e-001
-7.739999999999998e-001	1.726000e+000	2.500000e+000	1.057841e-001
-7.729999999999998e-001	1.727000e+000	2.500000e+000	1.059483e-001
-7.719999999999998e-001	1.728000e+000	2.500000e+000	1.061125e-001
-7.709999999999998e-001	1.729000e+000	2.500000e+000	1.062766e-001
-7.699999999999998e-001	1.730000e+000	2.500000e+000	1.064408e-001
-7.689999999999998e-001	1.731000e+000	2.500000e+000	1.066049e-001
-7.679999999999998e-001	1.732000e+000	2.500000e+000	1.067690e-001
-7.669999999999998e-001	1.733000e+000	2.500000e+000	1.069331e-001
-7.659999999999998e-001	1.734000e+000	2.500000e+000	1.070971e-001
-7.649999999999998e-001	1.735000e+000	2.500000e+000	1.072612e-001
-7.639999999999998e-001	1.736000e+000	2.500000e+000	1.074252e-001
-7.629999999999998e-001	1.737000e+000	2.500000e+000	1.075892e-001
-7.619999999999998e-001	1.738000e+000	2.500000e+000	1.077531e-001
-7.609999999999998e-001	1.739000e+000	2.500000e+000	1.079170e-001
-7.599999999999998e-001	1.740000e+000	2.500000e+000	1.080809e-001
-7.589999999999998e-001	1.741000e+000	2.500000e+000	1.082448e-001
-7.579999999999998e-001	1.742000e+000	2.500000e+000	1.084086e-001
-7.569999999999998e-001	1.743000e+000	2.500000e+000	1.085723e-001
-7.559999999999998e-001	1.744000e+000	2.500000e+000	1.087361e-001
-7.549999999999998e-001	1.745000e+000	2.500000e+000	1.088997e-001
-7.539999999999998e-001	1.746000e+000	2.500000e+000	1.090634e-001
