v3	V(v_1)	V(vout)	I(V3)
7.900000000000005e-001	2.500000e+000	7.900000e-001	9.895286e-007
8.000000000000005e-001	2.500000e+000	8.000000e-001	9.854456e-007
8.100000000000005e-001	2.500000e+000	8.100000e-001	9.813831e-007
8.200000000000005e-001	2.500000e+000	8.200000e-001	9.773405e-007
8.300000000000005e-001	2.500000e+000	8.300000e-001	9.733170e-007
8.400000000000005e-001	2.500000e+000	8.400000e-001	9.693121e-007
8.500000000000005e-001	2.500000e+000	8.500000e-001	9.653252e-007
8.600000000000005e-001	2.500000e+000	8.600000e-001	9.613556e-007
8.700000000000006e-001	2.500000e+000	8.700000e-001	9.574029e-007
8.800000000000006e-001	2.500000e+000	8.800000e-001	9.534666e-007
8.900000000000006e-001	2.500000e+000	8.900000e-001	9.495461e-007
9.000000000000006e-001	2.500000e+000	9.000000e-001	9.456409e-007
9.100000000000006e-001	2.500000e+000	9.100000e-001	9.417507e-007
9.200000000000006e-001	2.500000e+000	9.200000e-001	9.378750e-007
9.300000000000006e-001	2.500000e+000	9.300000e-001	9.340134e-007
9.400000000000006e-001	2.500000e+000	9.400000e-001	9.301655e-007
9.500000000000006e-001	2.500000e+000	9.500000e-001	9.263309e-007
9.600000000000006e-001	2.500000e+000	9.600000e-001	9.225092e-007
9.700000000000006e-001	2.500000e+000	9.700000e-001	9.187000e-007
9.800000000000007e-001	2.500000e+000	9.800000e-001	9.149031e-007
9.900000000000007e-001	2.500000e+000	9.900000e-001	9.111180e-007
1.000000000000001e+000	2.500000e+000	1.000000e+000	9.073445e-007
1.010000000000001e+000	2.500000e+000	1.010000e+000	9.035824e-007
1.020000000000001e+000	2.500000e+000	1.020000e+000	8.998310e-007
1.030000000000001e+000	2.500000e+000	1.030000e+000	8.960905e-007
1.040000000000001e+000	2.500000e+000	1.040000e+000	8.923602e-007
1.050000000000001e+000	2.500000e+000	1.050000e+000	8.886401e-007
1.060000000000001e+000	2.500000e+000	1.060000e+000	8.849298e-007
1.070000000000001e+000	2.500000e+000	1.070000e+000	8.812291e-007
1.080000000000001e+000	2.500000e+000	1.080000e+000	8.775377e-007
1.090000000000001e+000	2.500000e+000	1.090000e+000	8.738554e-007
1.100000000000001e+000	2.500000e+000	1.100000e+000	8.701820e-007
1.110000000000001e+000	2.500000e+000	1.110000e+000	8.665171e-007
1.120000000000001e+000	2.500000e+000	1.120000e+000	8.628606e-007
1.130000000000001e+000	2.500000e+000	1.130000e+000	8.592124e-007
1.140000000000001e+000	2.500000e+000	1.140000e+000	8.555721e-007
1.150000000000001e+000	2.500000e+000	1.150000e+000	8.519395e-007
1.160000000000001e+000	2.500000e+000	1.160000e+000	8.483145e-007
1.170000000000001e+000	2.500000e+000	1.170000e+000	8.446968e-007
1.180000000000001e+000	2.500000e+000	1.180000e+000	8.410864e-007
1.190000000000001e+000	2.500000e+000	1.190000e+000	8.374828e-007
1.200000000000001e+000	2.500000e+000	1.200000e+000	8.338861e-007
1.210000000000001e+000	2.500000e+000	1.210000e+000	8.302960e-007
1.220000000000001e+000	2.500000e+000	1.220000e+000	8.267123e-007
1.230000000000001e+000	2.500000e+000	1.230000e+000	8.231349e-007
1.240000000000001e+000	2.500000e+000	1.240000e+000	8.195636e-007
1.250000000000001e+000	2.500000e+000	1.250000e+000	8.159982e-007
1.260000000000001e+000	2.500000e+000	1.260000e+000	8.124387e-007
1.270000000000001e+000	2.500000e+000	1.270000e+000	8.088846e-007
1.280000000000001e+000	2.500000e+000	1.280000e+000	8.053361e-007
1.290000000000001e+000	2.500000e+000	1.290000e+000	8.017930e-007
1.300000000000001e+000	2.500000e+000	1.300000e+000	7.982549e-007
1.310000000000001e+000	2.500000e+000	1.310000e+000	7.947219e-007
1.320000000000001e+000	2.500000e+000	1.320000e+000	7.911938e-007
1.330000000000001e+000	2.500000e+000	1.330000e+000	7.876704e-007
1.340000000000001e+000	2.500000e+000	1.340000e+000	7.841517e-007
1.350000000000001e+000	2.500000e+000	1.350000e+000	7.806374e-007
1.360000000000001e+000	2.500000e+000	1.360000e+000	7.771274e-007
1.370000000000001e+000	2.500000e+000	1.370000e+000	7.736217e-007
1.380000000000001e+000	2.500000e+000	1.380000e+000	7.701201e-007
1.390000000000001e+000	2.500000e+000	1.390000e+000	7.666224e-007
1.400000000000001e+000	2.500000e+000	1.400000e+000	7.631286e-007
1.410000000000001e+000	2.500000e+000	1.410000e+000	7.596385e-007
1.420000000000001e+000	2.500000e+000	1.420000e+000	7.561520e-007
1.430000000000001e+000	2.500000e+000	1.430000e+000	7.526691e-007
1.440000000000001e+000	2.500000e+000	1.440000e+000	7.491894e-007
1.450000000000001e+000	2.500000e+000	1.450000e+000	7.457131e-007
1.460000000000001e+000	2.500000e+000	1.460000e+000	7.422399e-007
1.470000000000001e+000	2.500000e+000	1.470000e+000	7.387698e-007
1.480000000000001e+000	2.500000e+000	1.480000e+000	7.353026e-007
1.490000000000001e+000	2.500000e+000	1.490000e+000	7.318383e-007
1.500000000000001e+000	2.500000e+000	1.500000e+000	7.283766e-007
1.510000000000001e+000	2.500000e+000	1.510000e+000	7.249176e-007
1.520000000000001e+000	2.500000e+000	1.520000e+000	7.214612e-007
1.530000000000001e+000	2.500000e+000	1.530000e+000	7.180072e-007
