v1	V(v_1)	V(v_2)	V(vout)
Step Information: V2=1  (Run: 1/4)
7.800000000000005e-001	7.800000e-001	1.000000e+000	1.306173e-001
7.900000000000005e-001	7.900000e-001	1.000000e+000	1.345662e-001
8.000000000000005e-001	8.000000e-001	1.000000e+000	1.387373e-001
8.100000000000005e-001	8.100000e-001	1.000000e+000	1.431512e-001
8.200000000000005e-001	8.200000e-001	1.000000e+000	1.478319e-001
8.300000000000005e-001	8.300000e-001	1.000000e+000	1.528076e-001
8.400000000000005e-001	8.400000e-001	1.000000e+000	1.581119e-001
8.500000000000005e-001	8.500000e-001	1.000000e+000	1.637858e-001
8.600000000000005e-001	8.600000e-001	1.000000e+000	1.698790e-001
8.700000000000006e-001	8.700000e-001	1.000000e+000	1.764543e-001
8.800000000000006e-001	8.800000e-001	1.000000e+000	1.835912e-001
8.900000000000006e-001	8.900000e-001	1.000000e+000	1.913941e-001
9.000000000000006e-001	9.000000e-001	1.000000e+000	2.000032e-001
9.100000000000006e-001	9.100000e-001	1.000000e+000	2.096143e-001
9.200000000000006e-001	9.200000e-001	1.000000e+000	2.205144e-001
9.300000000000006e-001	9.300000e-001	1.000000e+000	2.331510e-001
9.400000000000006e-001	9.400000e-001	1.000000e+000	2.482865e-001
9.500000000000006e-001	9.500000e-001	1.000000e+000	2.674004e-001
9.600000000000006e-001	9.600000e-001	1.000000e+000	2.944500e-001
9.700000000000006e-001	9.700000e-001	1.000000e+000	3.437788e-001
9.800000000000007e-001	9.800000e-001	1.000000e+000	1.029032e+000
9.900000000000007e-001	9.900000e-001	1.000000e+000	2.409241e+000
1.000000000000001e+000	1.000000e+000	1.000000e+000	3.608930e+000
1.010000000000001e+000	1.010000e+000	1.000000e+000	4.252824e+000
1.020000000000001e+000	1.020000e+000	1.000000e+000	4.353343e+000
1.030000000000001e+000	1.030000e+000	1.000000e+000	4.403837e+000
1.040000000000001e+000	1.040000e+000	1.000000e+000	4.439257e+000
1.050000000000001e+000	1.050000e+000	1.000000e+000	4.467123e+000
1.060000000000001e+000	1.060000e+000	1.000000e+000	4.490066e+000
1.070000000000001e+000	1.070000e+000	1.000000e+000	4.509708e+000
1.080000000000001e+000	1.080000e+000	1.000000e+000	4.526896e+000
1.090000000000001e+000	1.090000e+000	1.000000e+000	4.542170e+000
1.100000000000001e+000	1.100000e+000	1.000000e+000	4.555908e+000
1.110000000000001e+000	1.110000e+000	1.000000e+000	4.568382e+000
1.120000000000001e+000	1.120000e+000	1.000000e+000	4.579797e+000
