time	V(v_1)	V(vout)
0.000000000000000e+000	0.000000e+000	1.593242e-001
6.835937387981647e-014	0.000000e+000	1.593242e-001
2.734374955192659e-013	0.000000e+000	1.593242e-001
1.000000000000000e-007	0.000000e+000	1.593242e-001
1.000095604510080e-007	3.333333e+000	1.608837e-001
1.000286813530240e-007	5.000000e+000	1.616045e-001
1.000428032928926e-007	5.000000e+000	1.615492e-001
1.000571057884256e-007	5.000000e+000	1.614962e-001
1.000857107794914e-007	5.000000e+000	1.613978e-001
1.001429207616230e-007	5.000000e+000	1.612269e-001
1.002573407258862e-007	5.000000e+000	1.609669e-001
1.004861806544127e-007	5.000000e+000	1.606319e-001
1.007187125596454e-007	5.000000e+000	1.604721e-001
1.010124016565098e-007	5.000000e+000	1.604669e-001
1.013369262834871e-007	5.000000e+000	1.606287e-001
1.018320845225595e-007	5.000000e+000	1.610775e-001
1.024905794297103e-007	5.000000e+000	1.618538e-001
1.035576496665540e-007	5.000000e+000	1.632619e-001
1.045189695677717e-007	5.000000e+000	1.645704e-001
1.054689916862989e-007	5.000000e+000	1.658864e-001
1.063000164647375e-007	5.000000e+000	1.670953e-001
1.072089890677615e-007	5.000000e+000	1.685041e-001
1.073436429575983e-007	5.000000e+000	1.687272e-001
1.076129507372717e-007	5.000000e+000	1.692018e-001
1.081515662966187e-007	5.000000e+000	1.702048e-001
1.087886101503658e-007	5.000000e+000	1.714843e-001
1.094535095688494e-007	5.000000e+000	1.729479e-001
1.101356753808363e-007	5.000000e+000	1.746195e-001
1.109894950484849e-007	5.000000e+000	1.769900e-001
1.119576643205159e-007	5.000000e+000	1.801389e-001
1.132538272698467e-007	5.000000e+000	1.854260e-001
1.153630528106043e-007	5.000000e+000	1.965239e-001
1.173737993560683e-007	5.000000e+000	2.099728e-001
1.191488539532733e-007	5.000000e+000	2.246017e-001
1.213713415194672e-007	5.000000e+000	2.458584e-001
1.232932633805103e-007	5.000000e+000	2.661475e-001
1.257823503636389e-007	5.000000e+000	2.940229e-001
1.283101727530354e-007	5.000000e+000	3.231271e-001
1.313402784108692e-007	5.000000e+000	3.585146e-001
1.342198790980805e-007	5.000000e+000	3.923317e-001
1.374174273715690e-007	5.000000e+000	4.299240e-001
1.413802798768537e-007	5.000000e+000	4.764704e-001
1.453580708350874e-007	5.000000e+000	5.231076e-001
1.658658833350874e-007	5.000000e+000	7.622542e-001
1.727018208350874e-007	5.000000e+000	8.414303e-001
1.863736958350874e-007	5.000000e+000	9.988623e-001
2.068815083350875e-007	5.000000e+000	1.232478e+000
2.273893208350875e-007	5.000000e+000	1.462658e+000
2.342252583350875e-007	5.000000e+000	1.538530e+000
2.410611958350875e-007	5.000000e+000	1.613928e+000
2.478971333350875e-007	5.000000e+000	1.688816e+000
2.547330708350875e-007	5.000000e+000	1.763282e+000
2.555875630225875e-007	5.000000e+000	1.772547e+000
2.572965473975875e-007	5.000000e+000	1.791009e+000
2.607145161475875e-007	5.000000e+000	1.827805e+000
2.659599543327796e-007	5.000000e+000	1.883977e+000
2.711971178174339e-007	5.000000e+000	1.939640e+000
2.756142207895711e-007	5.000000e+000	1.986087e+000
2.792295663232941e-007	5.000000e+000	2.023595e+000
2.823089201400916e-007	5.000000e+000	2.055078e+000
2.856606375289248e-007	5.000000e+000	2.088841e+000
2.901931576257499e-007	5.000000e+000	2.133819e+000
2.953588910331949e-007	5.000000e+000	2.184212e+000
3.021948285331949e-007	5.000000e+000	2.249589e+000
3.090307660331949e-007	5.000000e+000	2.313520e+000
3.158667035331950e-007	5.000000e+000	2.375879e+000
3.227026410331950e-007	5.000000e+000	2.436612e+000
3.295385785331950e-007	5.000000e+000	2.495651e+000
3.363745160331950e-007	5.000000e+000	2.552941e+000
3.432104535331950e-007	5.000000e+000	2.608461e+000
3.568823285331950e-007	5.000000e+000	2.714279e+000
3.705542035331950e-007	5.000000e+000	2.813503e+000
3.842260785331950e-007	5.000000e+000	2.906608e+000
3.978979535331950e-007	5.000000e+000	2.994029e+000
4.115698285331951e-007	5.000000e+000	3.076177e+000
4.252417035331951e-007	5.000000e+000	3.153435e+000
4.389135785331951e-007	5.000000e+000	3.226157e+000
4.525854535331951e-007	5.000000e+000	3.294671e+000
4.662573285331951e-007	5.000000e+000	3.359277e+000
4.799292035331951e-007	5.000000e+000	3.420254e+000
4.936010785331950e-007	5.000000e+000	3.477857e+000
5.072729535331949e-007	5.000000e+000	3.532321e+000
5.209448285331948e-007	5.000000e+000	3.583863e+000
5.346167035331947e-007	5.000000e+000	3.632680e+000
5.482885785331946e-007	5.000000e+000	3.678957e+000
5.619604535331945e-007	5.000000e+000	3.722861e+000
5.756323285331944e-007	5.000000e+000	3.764548e+000
5.893042035331943e-007	5.000000e+000	3.804159e+000
6.029760785331943e-007	5.000000e+000	3.841829e+000
6.166479535331942e-007	5.000000e+000	3.877676e+000
6.303198285331941e-007	5.000000e+000	3.911815e+000
6.439917035331940e-007	5.000000e+000	3.944349e+000
6.576635785331939e-007	5.000000e+000	3.975374e+000
6.713354535331938e-007	5.000000e+000	4.004978e+000
6.850073285331937e-007	5.000000e+000	4.033245e+000
6.986792035331936e-007	5.000000e+000	4.060249e+000
7.123510785331935e-007	5.000000e+000	4.086063e+000
7.260229535331934e-007	5.000000e+000	4.110752e+000
7.396948285331933e-007	5.000000e+000	4.134377e+000
7.533667035331932e-007	5.000000e+000	4.156997e+000
7.670385785331932e-007	5.000000e+000	4.178662e+000
7.807104535331931e-007	5.000000e+000	4.199423e+000
7.943823285331930e-007	5.000000e+000	4.219324e+000
8.080542035331929e-007	5.000000e+000	4.238409e+000
8.217260785331928e-007	5.000000e+000	4.256718e+000
8.353979535331927e-007	5.000000e+000	4.274289e+000
8.490698285331926e-007	5.000000e+000	4.291156e+000
8.695776410331925e-007	5.000000e+000	4.315208e+000
8.900854535331923e-007	5.000000e+000	4.337852e+000
9.037573285331924e-007	5.000000e+000	4.352156e+000
9.174292035331923e-007	5.000000e+000	4.365957e+000
9.311010785331923e-007	5.000000e+000	4.379253e+000
9.447729535331923e-007	5.000000e+000	4.392045e+000
9.584448285331922e-007	5.000000e+000	4.404332e+000
9.721167035331923e-007	5.000000e+000	4.416116e+000
9.857885785331922e-007	5.000000e+000	4.427395e+000
1.017038578533193e-006	5.000000e+000	4.451293e+000
1.048288578533193e-006	5.000000e+000	4.473531e+000
1.079538578533193e-006	5.000000e+000	4.494109e+000
1.110788578533193e-006	5.000000e+000	4.513027e+000
1.142038578533194e-006	5.000000e+000	4.530285e+000
1.173288578533194e-006	5.000000e+000	4.545882e+000
1.204538578533194e-006	5.000000e+000	4.559819e+000
1.237741703533195e-006	5.000000e+000	4.573464e+000
1.270944828533195e-006	5.000000e+000	4.586131e+000
1.304147953533195e-006	5.000000e+000	4.597819e+000
1.337351078533195e-006	5.000000e+000	4.608529e+000
1.370554203533196e-006	5.000000e+000	4.618260e+000
1.403757328533196e-006	5.000000e+000	4.627012e+000
1.436960453533196e-006	5.000000e+000	4.634786e+000
1.466257328533197e-006	5.000000e+000	4.641171e+000
1.495554203533197e-006	5.000000e+000	4.647146e+000
1.524851078533197e-006	5.000000e+000	4.652709e+000
1.554147953533197e-006	5.000000e+000	4.657862e+000
1.583444828533197e-006	5.000000e+000	4.662603e+000
1.612741703533198e-006	5.000000e+000	4.666933e+000
1.642038578533198e-006	5.000000e+000	4.670853e+000
1.648874516033198e-006	5.000000e+000	4.671741e+000
1.686960453533199e-006	5.000000e+000	4.676301e+000
1.725046391033199e-006	5.000000e+000	4.680503e+000
1.763132328533199e-006	5.000000e+000	4.684348e+000
1.801218266033199e-006	5.000000e+000	4.687836e+000
1.839304203533200e-006	5.000000e+000	4.690966e+000
1.877390141033200e-006	5.000000e+000	4.693739e+000
1.915476078533200e-006	5.000000e+000	4.696155e+000
1.958444828533201e-006	5.000000e+000	4.698623e+000
2.001413578533201e-006	5.000000e+000	4.700880e+000
2.044382328533201e-006	5.000000e+000	4.702926e+000
2.087351078533202e-006	5.000000e+000	4.704762e+000
2.130319828533202e-006	5.000000e+000	4.706387e+000
2.173288578533203e-006	5.000000e+000	4.707802e+000
2.216257328533203e-006	5.000000e+000	4.709006e+000
2.268991703533204e-006	5.000000e+000	4.710319e+000
2.321726078533204e-006	5.000000e+000	4.711503e+000
2.374460453533205e-006	5.000000e+000	4.712558e+000
2.427194828533205e-006	5.000000e+000	4.713483e+000
