Time (s),Channel 1 (V),Channel 2 (V)
-0.0010237513623978201,2.4131582868916794,2.4074210063774273
-0.0010235013623978201,2.4128253643827202,2.4074210063774273
-0.0010232513623978203,2.4131582868916794,2.4074210063774273
-0.0010230013623978202,2.4131582868916794,2.4070884996834319
-0.0010227513623978202,2.412492441873761,2.4070884996834319
-0.0010225013623978202,2.4131582868916794,2.4070884996834319
-0.0010222513623978201,2.412492441873761,2.4070884996834319
-0.0010220013623978201,2.4121595193648018,2.4070884996834319
-0.0010217513623978201,2.4121595193648018,2.4070884996834319
-0.0010215013623978203,2.412492441873761,2.4074210063774273
-0.0010212513623978202,2.4118265968558426,2.4074210063774273
-0.0010210013623978202,2.4128253643827202,2.4074210063774273
-0.0010207513623978202,2.4128253643827202,2.4074210063774273
-0.0010205013623978201,2.4134912094006387,2.4070884996834319
-0.0010202513623978201,2.4134912094006387,2.4067559929894364
-0.0010200013623978203,2.4134912094006387,2.4067559929894364
-0.0010197513623978203,2.4134912094006387,2.4070884996834319
-0.0010195013623978202,2.4131582868916794,2.4070884996834319
-0.0010192513623978202,2.4134912094006387,2.4064234862954414
-0.0010190013623978202,2.4134912094006387,2.4067559929894364
-0.0010187513623978201,2.4138241319095983,2.4067559929894364
-0.0010185013623978201,2.4144899769275154,2.4067559929894364
-0.0010182513623978203,2.4134912094006391,2.4070884996834319
-0.0010180013623978202,2.4131582868916794,2.4070884996834319
-0.0010177513623978202,2.4134912094006387,2.4074210063774273
-0.0010175013623978202,2.4131582868916794,2.4074210063774273
-0.0010172513623978201,2.4138241319095979,2.4070884996834319
-0.0010170013623978201,2.412492441873761,2.4070884996834319
-0.0010167513623978201,2.4128253643827202,2.4067559929894364
-0.0010165013623978203,2.4131582868916794,2.4064234862954414
-0.0010162513623978202,2.4131582868916794,2.4064234862954414
-0.0010160013623978202,2.4141570544185571,2.4067559929894364
-0.0010157513623978202,2.4141570544185571,2.4064234862954414
-0.0010155013623978201,2.4138241319095979,2.4067559929894364
-0.0010152513623978201,2.4138241319095974,2.4070884996834319
-0.0010150013623978203,2.4128253643827207,2.4070884996834319
-0.0010147513623978202,2.4134912094006382,2.4064234862954419
-0.0010145013623978202,2.4134912094006387,2.4064234862954414
-0.0010142513623978202,2.4131582868916794,2.4070884996834319
-0.0010140013623978201,2.4131582868916794,2.4067559929894364
-0.0010137513623978201,2.4131582868916794,2.4067559929894364
-0.0010135013623978201,2.4134912094006391,2.4067559929894364
-0.0010132513623978203,2.4141570544185567,2.4067559929894364
-0.0010130013623978202,2.4141570544185571,2.4074210063774273
-0.0010127513623978202,2.4138241319095979,2.4067559929894364
-0.0010125013623978202,2.4144899769275159,2.4067559929894364
-0.0010122513623978201,2.4131582868916794,2.4070884996834319
-0.0010120013623978201,2.4128253643827202,2.4067559929894364
-0.0010117513623978203,2.4128253643827202,2.4067559929894364
-0.0010115013623978202,2.4131582868916794,2.4067559929894364
-0.0010112513623978202,2.412492441873761,2.4067559929894364
-0.0010110013623978202,2.4128253643827202,2.4064234862954414
-0.0010107513623978201,2.412492441873761,2.4070884996834319
-0.0010105013623978201,2.4128253643827202,2.4074210063774273
-0.0010102513623978201,2.4128253643827202,2.4077535130714223
-0.0010100013623978203,2.412492441873761,2.4077535130714223
-0.0010097513623978202,2.4128253643827202,2.4067559929894364
-0.0010095013623978202,2.4128253643827202,2.4070884996834319
-0.0010092513623978202,2.4128253643827202,2.4067559929894364
-0.0010090013623978201,2.4128253643827202,2.4067559929894364
-0.0010087513623978201,2.4134912094006387,2.4070884996834319
-0.0010085013623978203,2.4131582868916794,2.4067559929894364
-0.0010082513623978202,2.4131582868916794,2.4067559929894364
-0.0010080013623978202,2.4131582868916794,2.4067559929894364
-0.0010077513623978202,2.4131582868916794,2.4070884996834319
-0.0010075013623978201,2.4138241319095979,2.4070884996834319
-0.0010072513623978201,2.4138241319095974,2.4070884996834319
-0.0010070013623978201,2.4131582868916794,2.4074210063774273
-0.0010067513623978203,2.4131582868916794,2.4070884996834319
-0.0010065013623978202,2.4131582868916794,2.4074210063774273
-0.0010062513623978202,2.412492441873761,2.4074210063774273
-0.0010060013623978202,2.4131582868916794,2.4070884996834319
-0.0010057513623978201,2.4131582868916794,2.4074210063774273
-0.0010055013623978201,2.4131582868916794,2.4070884996834319
-0.0010052513623978203,2.4131582868916794,2.4067559929894364
-0.0010050013623978202,2.4131582868916794,2.4070884996834319
-0.0010047513623978202,2.4134912094006387,2.4067559929894364
-0.0010045013623978202,2.4138241319095979,2.4067559929894364
-0.0010042513623978201,2.4134912094006387,2.4067559929894364
-0.0010040013623978201,2.4131582868916794,2.4067559929894364
-0.0010037513623978201,2.4128253643827202,2.4067559929894364
-0.0010035013623978203,2.4128253643827202,2.4070884996834319
