V_dm,I_out
-1.0,3.52e-05
-0.996661101836394,3.51e-05
-0.99332220367278801,3.51e-05
-0.98998330550918201,3.51e-05
-0.98664440734557601,3.51e-05
-0.98330550918196991,3.51e-05
-0.97996661101836391,3.51e-05
-0.97662771285475791,3.51e-05
-0.97328881469115192,3.51e-05
-0.96994991652754592,3.51e-05
-0.96661101836393992,3.51e-05
-0.96327212020033393,3.51e-05
-0.95993322203672793,3.51e-05
-0.95659432387312182,3.51e-05
-0.95325542570951582,3.51e-05
-0.94991652754590983,3.51e-05
-0.94657762938230383,3.51e-05
-0.94323873121869783,3.51e-05
-0.93989983305509184,3.51e-05
-0.93656093489148584,3.51e-05
-0.93322203672787984,3.51e-05
-0.92988313856427385,3.51e-05
-0.92654424040066774,3.51e-05
-0.92320534223706174,3.51e-05
-0.91986644407345575,3.51e-05
-0.91652754590984975,3.51e-05
-0.91318864774624375,3.51e-05
-0.90984974958263776,3.51e-05
-0.90651085141903176,3.51e-05
-0.90317195325542565,3.51e-05
-0.89983305509181966,3.51e-05
-0.89649415692821366,3.51e-05
-0.89315525876460766,3.51e-05
-0.88981636060100167,3.51e-05
-0.88647746243739567,3.51e-05
-0.88313856427378967,3.51e-05
-0.87979966611018368,3.51e-05
-0.87646076794657768,3.51e-05
-0.87312186978297168,3.51e-05
-0.86978297161936557,3.51e-05
-0.86644407345575958,3.51e-05
-0.86310517529215358,3.51e-05
-0.85976627712854758,3.51e-05
-0.85642737896494159,3.51e-05
-0.85308848080133559,3.51e-05
-0.84974958263772948,3.51e-05
-0.84641068447412349,3.51e-05
-0.84307178631051749,3.51e-05
-0.83973288814691149,3.51e-05
-0.8363939899833055,3.51e-05
-0.8330550918196995,3.51e-05
-0.8297161936560935,3.51e-05
-0.82637729549248751,3.51e-05
-0.82303839732888151,3.51e-05
-0.81969949916527551,3.51e-05
-0.81636060100166941,3.51e-05
-0.81302170283806341,3.51e-05
-0.80968280467445741,3.51e-05
-0.80634390651085142,3.51e-05
-0.80300500834724542,3.51e-05
-0.79966611018363942,3.51e-05
-0.79632721202003331,3.51e-05
-0.79298831385642732,3.51e-05
-0.78964941569282132,3.51e-05
-0.78631051752921532,3.51e-05
-0.78297161936560933,3.51e-05
-0.77963272120200333,3.51e-05
-0.77629382303839733,3.51e-05
-0.77295492487479134,3.51e-05
-0.76961602671118534,3.51e-05
-0.76627712854757934,3.51e-05
-0.76293823038397335,3.51e-05
-0.75959933222036724,3.51e-05
-0.75626043405676124,3.51e-05
-0.75292153589315525,3.51e-05
-0.74958263772954925,3.51e-05
-0.74624373956594325,3.5e-05
-0.74290484140233715,3.51e-05
-0.73956594323873115,3.51e-05
-0.73622704507512515,3.51e-05
-0.73288814691151916,3.51e-05
-0.72954924874791316,3.51e-05
-0.72621035058430716,3.51e-05
-0.72287145242070117,3.51e-05
-0.71953255425709517,3.51e-05
-0.71619365609348917,3.51e-05
-0.71285475792988318,3.51e-05
-0.70951585976627718,3.51e-05
-0.70617696160267118,3.51e-05
-0.70283806343906507,3.51e-05
-0.69949916527545908,3.51e-05
-0.69616026711185308,3.51e-05
-0.69282136894824708,3.51e-05
-0.68948247078464098,3.51e-05
-0.68614357262103498,3.51e-05
-0.68280467445742898,3.51e-05
-0.67946577629382299,3.51e-05
-0.67612687813021699,3.51e-05
-0.67278797996661099,3.51e-05
-0.669449081803005,3.51e-05
-0.666110183639399,3.51e-05
-0.662771285475793,3.51e-05
-0.65943238731218701,3.51e-05
-0.65609348914858101,3.51e-05
-0.65275459098497501,3.51e-05
-0.64941569282136902,3.51e-05
-0.64607679465776291,3.51e-05
-0.64273789649415691,3.51e-05
-0.63939899833055092,3.51e-05
-0.63606010016694492,3.51e-05
-0.63272120200333881,3.51e-05
-0.62938230383973282,3.51e-05
-0.62604340567612682,3.51e-05
-0.62270450751252082,3.51e-05
-0.61936560934891483,3.51e-05
-0.61602671118530883,3.51e-05
-0.61268781302170283,3.51e-05
-0.60934891485809684,3.51e-05
-0.60601001669449084,3.51e-05
-0.60267111853088484,3.51e-05
-0.59933222036727885,3.51e-05
-0.59599332220367285,3.51e-05
-0.59265442404006674,3.51e-05
-0.58931552587646074,3.51e-05
-0.58597662771285475,3.51e-05
-0.58263772954924875,3.51e-05
-0.57929883138564264,3.51e-05
-0.57595993322203665,3.51e-05
-0.57262103505843065,3.51e-05
-0.56928213689482465,3.51e-05
