V_out,I_out
0.0,-2.16e-05
0.025125628140703519,-1.66e-05
0.050251256281407038,-1.26e-05
0.07537688442211056,-8.69e-06
0.10050251256281408,-6.51e-06
0.1256281407035176,-4.98e-06
0.15075376884422112,-3.97e-06
0.17587939698492464,-3.36e-06
0.20100502512562815,-3.01e-06
0.22613065326633167,-2.8e-06
0.25125628140703521,-2.65e-06
0.27638190954773872,-2.57e-06
0.30150753768844224,-2.49e-06
0.32663316582914576,-2.44e-06
0.35175879396984927,-2.39e-06
0.37688442211055279,-2.34e-06
0.4020100502512563,-2.3e-06
0.42713567839195982,-2.26e-06
0.45226130653266333,-2.2300000000000002e-06
0.47738693467336685,-2.18e-06
0.50251256281407042,-2.13e-06
0.52763819095477393,-2.1000000000000002e-06
0.55276381909547745,-2.06e-06
0.57788944723618096,-2.03e-06
0.60301507537688448,-1.99e-06
0.62814070351758799,-1.96e-06
0.65326633165829151,-1.93e-06
0.67839195979899503,-1.9e-06
0.70351758793969854,-1.87e-06
0.72864321608040206,-1.83e-06
0.75376884422110557,-1.8000000000000001e-06
0.77889447236180909,-1.77e-06
0.8040201005025126,-1.74e-06
0.82914572864321612,-1.76e-06
0.85427135678391963,-1.68e-06
0.87939698492462315,-1.64e-06
0.90452261306532666,-1.62e-06
0.92964824120603018,-1.6e-06
0.95477386934673369,-1.56e-06
0.97989949748743721,-1.54e-06
1.0050251256281408,-1.51e-06
1.0301507537688444,-1.48e-06
1.0552763819095479,-1.4700000000000001e-06
1.0804020100502514,-1.44e-06
1.1055276381909549,-1.4e-06
1.1306532663316584,-1.3800000000000001e-06
1.1557788944723619,-1.35e-06
1.1809045226130654,-1.32e-06
1.206030150753769,-1.3e-06
1.2311557788944725,-1.29e-06
1.256281407035176,-1.24e-06
1.2814070351758795,-1.22e-06
1.306532663316583,-1.19e-06
1.3316582914572865,-1.17e-06
1.3567839195979901,-1.14e-06
1.3819095477386936,-1.11e-06
1.4070351758793971,-1.09e-06
1.4321608040201006,-1.06e-06
1.4572864321608041,-1.04e-06
1.4824120603015076,-1.01e-06
1.5075376884422111,-9.29e-07
1.5326633165829147,-9.090000000000001e-07
1.5577889447236182,-8.790000000000001e-07
1.5829145728643217,-8.5e-07
1.6080402010050252,-8.26e-07
1.6331658291457287,-7.990000000000001e-07
1.6582914572864322,-7.74e-07
1.6834170854271358,-7.5e-07
1.7085427135678393,-7.210000000000001e-07
1.7336683417085428,-7.070000000000001e-07
1.7587939698492463,-6.760000000000001e-07
1.7839195979899498,-6.51e-07
1.8090452261306533,-6.29e-07
1.8341708542713568,-6.03e-07
1.8592964824120604,-5.78e-07
1.8844221105527639,-5.54e-07
1.9095477386934674,-5.33e-07
1.9346733668341709,-5.040000000000001e-07
1.9597989949748744,-4.7600000000000003e-07
1.9849246231155779,-4.5300000000000005e-07
2.0100502512562817,-4.18e-07
2.0351758793969852,-3.97e-07
2.0603015075376887,-3.7100000000000003e-07
2.0854271356783922,-3.46e-07
2.1105527638190957,-3.2400000000000004e-07
2.1356783919597992,-3.0200000000000003e-07
2.1608040201005028,-2.7800000000000003e-07
2.1859296482412063,-2.53e-07
2.2110552763819098,-2.26e-07
2.2361809045226133,-1.97e-07
2.2613065326633168,-1.78e-07
2.2864321608040203,-1.5700000000000002e-07
