V_in(Ch1),I_b(Ch1),I_e(Ch2)
0.34999999999999998,1.59e-08,6.000000000000001e-05
0.35216535433070861,9.900000000000001e-09,6.000000000000001e-05
0.3543307086614173,6.9000000000000006e-09,6.000000000000001e-05
0.35649606299212594,6.3e-09,6.000000000000001e-05
0.35866141732283463,4.6e-09,6.000000000000001e-05
0.36082677165354327,4.3000000000000005e-09,6.000000000000001e-05
0.36299212598425196,3.6e-09,6.000000000000001e-05
0.36515748031496059,2.5e-09,6.000000000000001e-05
0.36732283464566928,3.1e-09,6.000000000000001e-05
0.36948818897637792,2.8000000000000003e-09,6.000000000000001e-05
0.37165354330708661,2.5e-09,6.000000000000001e-05
0.37381889763779524,2.5e-09,6.000000000000001e-05
0.37598425196850394,2.4e-09,6.000000000000001e-05
0.37814960629921257,2.4e-09,6.000000000000001e-05
0.38031496062992126,2.6e-09,6.000000000000001e-05
0.3824803149606299,2e-09,6.000000000000001e-05
0.38464566929133859,1.7000000000000001e-09,6.000000000000001e-05
0.38681102362204722,2.4e-09,6.000000000000001e-05
0.38897637795275586,2.1e-09,6.000000000000001e-05
0.39114173228346455,2.2000000000000003e-09,6.000000000000001e-05
0.39330708661417318,2.5e-09,6.000000000000001e-05
0.39547244094488188,1.9e-09,6.000000000000001e-05
0.39763779527559051,2.7e-09,6.000000000000001e-05
0.3998031496062992,1.8e-09,6.000000000000001e-05
0.40196850393700784,2.4e-09,6.000000000000001e-05
0.40413385826771653,1.9e-09,6.000000000000001e-05
0.40629921259842516,3.2e-09,6.000000000000001e-05
0.40846456692913385,2.1e-09,6.000000000000001e-05
0.41062992125984249,4.2e-09,6.000000000000001e-05
0.41279527559055118,2.6e-09,6.000000000000001e-05
0.41496062992125982,3.4000000000000003e-09,6.000000000000001e-05
0.41712598425196845,2.9e-09,6.000000000000001e-05
0.41929133858267714,3.6e-09,6.000000000000001e-05
0.42145669291338583,2.1e-09,6.000000000000001e-05
0.42362204724409447,3.4000000000000003e-09,6.000000000000001e-05
0.4257874015748031,3.2e-09,6.000000000000001e-05
0.42795275590551179,3.1e-09,6.000000000000001e-05
0.43011811023622043,3e-09,6.000000000000001e-05
0.43228346456692912,2.7e-09,6.000000000000001e-05
0.43444881889763776,3.2e-09,6.000000000000001e-05
0.43661417322834645,3.4000000000000003e-09,6.000000000000001e-05
0.43877952755905508,3.7e-09,6.000000000000001e-05
0.44094488188976377,4.4000000000000005e-09,6.000000000000001e-05
0.44311023622047241,4.7e-09,6.000000000000001e-05
0.44527559055118104,4e-09,6.000000000000001e-05
0.44744094488188974,5.1e-09,6.000000000000001e-05
0.44960629921259843,5e-09,6.000000000000001e-05
0.45177165354330706,5.2e-09,6.000000000000001e-05
0.4539370078740157,5.9e-09,6.000000000000001e-05
0.45610236220472439,5.4e-09,6.000000000000001e-05
0.45826771653543308,6.4e-09,6.000000000000001e-05
0.46043307086614171,7.4e-09,6.000000000000001e-05
0.46259842519685035,6.6e-09,6.000000000000001e-05
0.46476377952755904,7.3e-09,6.000000000000001e-05
0.46692913385826768,7.9e-09,6.000000000000001e-05
0.46909448818897637,7.4e-09,6.000000000000001e-05
0.471259842519685,7.9e-09,6.000000000000001e-05
0.47342519685039369,8.2e-09,6.000000000000001e-05
0.47559055118110233,7.9e-09,6.000000000000001e-05
0.47775590551181102,9.1e-09,6.000000000000001e-05
0.47992125984251965,1.04e-08,6.000000000000001e-05
0.48208661417322829,1.07e-08,6.000000000000001e-05
0.48425196850393698,1.21e-08,6.000000000000001e-05
0.48641732283464567,1.22e-08,6.000000000000001e-05
0.48858267716535431,1.2e-08,6.000000000000001e-05
0.49074803149606294,1.29e-08,6.000000000000001e-05
0.49291338582677163,1.31e-08,6.000000000000001e-05
0.49507874015748032,1.5000000000000002e-08,6.000000000000001e-05
0.49724409448818896,1.53e-08,6.000000000000001e-05
0.49940944881889759,1.7200000000000002e-08,6.000000000000001e-05
0.50157480314960634,1.79e-08,6.000000000000001e-05
0.50374015748031498,1.82e-08,6.000000000000001e-05
0.50590551181102361,2.1e-08,6.000000000000001e-05
0.50807086614173225,2.12e-08,6.000000000000001e-05
0.51023622047244088,2.2800000000000002e-08,6.000000000000001e-05
0.51240157480314963,2.4e-08,6.000000000000001e-05
0.51456692913385826,2.5700000000000002e-08,6.000000000000001e-05
0.5167322834645669,2.62e-08,6.000000000000001e-05
0.51889763779527553,2.95e-08,6.000000000000001e-05
0.52106299212598417,3.12e-08,6.000000000000001e-05
