V_in(Ch1),V_out(Ch2)
0.0,-0.006
0.01968503937007874,-0.006
0.03937007874015748,-0.006
0.05905511811023622,-0.006
0.07874015748031496,-0.006
0.098425196850393692,-0.006
0.11811023622047244,-0.006
0.13779527559055119,-0.006
0.15748031496062992,-0.006
0.17716535433070865,-0.006
0.19685039370078738,-0.006
0.21653543307086615,-0.006
0.23622047244094488,-0.006
0.25590551181102361,-0.006
0.27559055118110237,-0.006
0.29527559055118108,-0.006
0.31496062992125984,-0.006
0.3346456692913386,-0.006
0.3543307086614173,-0.006
0.37401574803149606,-0.006
0.39370078740157477,-0.006
0.41338582677165353,-0.006
0.43307086614173229,-0.006
0.452755905511811,-0.005
0.47244094488188976,-0.005
0.49212598425196852,-0.004
0.51181102362204722,-0.003
0.53149606299212593,0.0
0.55118110236220474,0.004
0.57086614173228345,0.011
0.59055118110236215,0.019
0.61023622047244097,0.03
0.62992125984251968,0.043000000000000003
0.64960629921259838,0.056
0.6692913385826772,0.07
0.6889763779527559,0.085
0.70866141732283461,0.101
0.72834645669291342,0.11800000000000001
0.74803149606299213,0.134
0.76771653543307083,0.151
0.78740157480314954,0.168
0.80708661417322836,0.185
0.82677165354330706,0.203
0.84645669291338577,0.22
0.86614173228346458,0.23800000000000002
0.88582677165354329,0.256
0.90551181102362199,0.274
0.92519685039370081,0.291
0.94488188976377951,0.31
0.96456692913385822,0.328
0.98425196850393704,0.34700000000000003
1.0039370078740157,0.365
1.0236220472440944,0.383
1.0433070866141732,0.402
1.0629921259842519,0.42
1.0826771653543308,0.438
1.1023622047244095,0.457
1.1220472440944882,0.47600000000000003
1.1417322834645669,0.495
1.1614173228346456,0.514
1.1811023622047243,0.532
1.2007874015748032,0.551
1.2204724409448819,0.5690000000000001
1.2401574803149606,0.588
1.2598425196850394,0.608
1.2795275590551181,0.627
1.2992125984251968,0.645
1.3188976377952755,0.664
1.3385826771653544,0.682
1.3582677165354331,0.7020000000000001
1.3779527559055118,0.721
1.3976377952755905,0.74
1.4173228346456692,0.759
1.4370078740157479,0.778
1.4566929133858268,0.796
1.4763779527559056,0.8150000000000001
1.4960629921259843,0.835
1.515748031496063,0.854
1.5354330708661417,0.874
1.5551181102362204,0.893
1.5748031496062991,0.913
1.594488188976378,0.932
1.6141732283464567,0.9510000000000001
