V_in(Ch1),I_b(Ch1),I_e(Ch2)
0.84645669291338577,1.7400000000000002e-07,2.8199999999999998e-05
0.86614173228346458,1.85e-07,2.99e-05
0.88582677165354329,1.95e-07,3.18e-05
0.90551181102362199,2.0700000000000001e-07,3.36e-05
0.92519685039370081,2.1700000000000002e-07,3.54e-05
0.94488188976377951,2.27e-07,3.73e-05
0.96456692913385822,2.3700000000000002e-07,3.9099999999999995e-05
0.98425196850393704,2.48e-07,4.1e-05
1.0039370078740157,2.5900000000000003e-07,4.29e-05
1.0236220472440944,2.6900000000000004e-07,4.48e-05
1.0433070866141732,2.79e-07,4.67e-05
1.0629921259842519,2.91e-07,4.85e-05
1.0826771653543308,2.99e-07,5.0299999999999996e-05
1.1023622047244095,3.08e-07,5.2199999999999995e-05
1.1220472440944882,3.2e-07,5.41e-05
1.1417322834645669,3.3100000000000004e-07,5.6e-05
1.1614173228346456,3.41e-07,5.79e-05
1.1811023622047243,3.5200000000000003e-07,5.98e-05
1.2007874015748032,3.61e-07,6.17e-05
1.2204724409448819,3.73e-07,6.35e-05
1.2401574803149606,3.8300000000000003e-07,6.539999999999999e-05
1.2598425196850394,3.9300000000000004e-07,6.74e-05
1.2795275590551181,4.0500000000000004e-07,6.929999999999999e-05
1.2992125984251968,4.1500000000000005e-07,7.12e-05
1.3188976377952755,4.25e-07,7.3e-05
1.3385826771653544,4.3400000000000005e-07,7.489999999999999e-05
1.3582677165354331,4.4600000000000005e-07,7.68e-05
1.3779527559055118,4.5500000000000004e-07,7.87e-05
1.3976377952755905,4.66e-07,8.07e-05
1.4173228346456692,4.77e-07,8.26e-05
1.4370078740157479,4.89e-07,8.45e-05
1.4566929133858268,4.98e-07,8.63e-05
1.4763779527559056,5.070000000000001e-07,8.829999999999999e-05
1.4960629921259843,5.19e-07,9.02e-05
1.515748031496063,5.26e-07,9.219999999999999e-05
1.5354330708661417,5.37e-07,9.42e-05
1.5551181102362204,5.51e-07,9.609999999999999e-05
1.5748031496062991,5.63e-07,9.8e-05
1.594488188976378,5.71e-07,9.989999999999999e-05
1.6141732283464567,5.81e-07,0.0001018
1.6338582677165354,5.91e-07,0.00010379999999999999
1.6535433070866141,6.02e-07,0.0001057
1.6732283464566928,6.110000000000001e-07,0.0001076
1.6929133858267715,6.240000000000001e-07,0.0001096
1.7125984251968505,6.310000000000001e-07,0.0001115
1.7322834645669292,6.420000000000001e-07,0.00011339999999999999
1.7519685039370079,6.520000000000001e-07,0.0001154
1.7716535433070866,6.67e-07,0.00011729999999999999
1.7913385826771653,6.760000000000001e-07,0.0001193
1.811023622047244,6.84e-07,0.00012119999999999999
1.8307086614173229,6.95e-07,0.00012299999999999998
1.8503937007874016,7.06e-07,0.0001249
1.8700787401574803,7.16e-07,0.0001269
1.889763779527559,7.29e-07,0.0001288
1.9094488188976377,7.37e-07,0.00013079999999999998
1.9291338582677164,7.480000000000001e-07,0.0001327
1.9488188976377951,7.590000000000001e-07,0.0001346
1.9685039370078741,7.67e-07,0.00013649999999999998
1.9881889763779528,7.790000000000001e-07,0.0001383
2.0078740157480315,7.890000000000001e-07,0.00014089999999999998
2.0275590551181102,8.04e-07,0.000143
2.0472440944881889,8.130000000000001e-07,0.0001449
2.0669291338582676,8.22e-07,0.0001468
2.0866141732283463,8.33e-07,0.00014869999999999998
2.106299212598425,8.43e-07,0.0001506
2.1259842519685037,8.510000000000001e-07,0.0001525
2.1456692913385829,8.650000000000001e-07,0.00015439999999999999
2.1653543307086616,8.720000000000001e-07,0.0001563
2.1850393700787403,8.830000000000001e-07,0.0001582
2.204724409448819,8.98e-07,0.0001602
2.2244094488188977,9.060000000000001e-07,0.00016209999999999998
2.2440944881889764,9.160000000000001e-07,0.0001641
2.2637795275590551,9.26e-07,0.0001661
2.2834645669291338,9.370000000000001e-07,0.0001681
2.3031496062992125,9.470000000000001e-07,0.0001701
2.3228346456692912,9.62e-07,0.00017199999999999998
2.3425196850393699,9.67e-07,0.0001739
2.3622047244094486,9.78e-07,0.0001758
2.3818897637795273,9.940000000000001e-07,0.00017769999999999998
2.4015748031496065,1.0000000000000002e-06,0.0001796
2.4212598425196852,1.012e-06,0.0001814
2.4409448818897639,1.021e-06,0.00018339999999999999
2.4606299212598426,1.03e-06,0.00018539999999999998
2.4803149606299213,1.041e-06,0.0001873
2.5,1.054e-06,0.0001893
2.5196850393700787,1.065e-06,0.0001913
2.5393700787401574,1.0730000000000001e-06,0.00019319999999999998
2.5590551181102361,1.078e-06,0.0001952
2.5787401574803148,1.095e-06,0.0001971
2.5984251968503935,1.108e-06,0.00019889999999999998
2.6181102362204722,1.119e-06,0.000205
2.6377952755905509,1.128e-06,0.000207
2.6574803149606301,1.137e-06,0.00020899999999999998
2.6771653543307088,1.15e-06,0.00020999999999999998
2.6968503937007875,1.159e-06,0.000212
2.7165354330708662,1.17e-06,0.000215
2.7362204724409449,1.1800000000000001e-06,0.000216
2.7559055118110236,1.19e-06,0.00021799999999999999
2.7755905511811023,1.2000000000000002e-06,0.00021999999999999998
2.795275590551181,1.2110000000000001e-06,0.000222
2.8149606299212597,1.2280000000000001e-06,0.000224
2.8346456692913384,1.2310000000000002e-06,0.000226
2.8543307086614171,1.243e-06,0.00022799999999999999
2.8740157480314958,1.2530000000000001e-06,0.00022999999999999998
2.8937007874015745,1.2650000000000002e-06,0.000232
2.9133858267716537,1.272e-06,0.000234
2.9330708661417324,1.2870000000000001e-06,0.000236
2.9527559055118111,1.295e-06,0.00023799999999999998
2.9724409448818898,1.305e-06,0.00023999999999999998
2.9921259842519685,1.3180000000000001e-06,0.000242
3.0118110236220472,1.3290000000000001e-06,0.000244
3.0314960629921259,1.333e-06,0.000245
3.0511811023622046,1.348e-06,0.000248
3.0708661417322833,1.3580000000000002e-06,0.000249
3.090551181102362,1.37e-06,0.000252
3.1102362204724407,1.3750000000000002e-06,0.00025299999999999997
3.1299212598425195,1.384e-06,0.00025499999999999996
3.1496062992125982,1.395e-06,0.000257
3.1692913385826773,1.4110000000000001e-06,0.000259
3.188976377952756,1.421e-06,0.000261
3.2086614173228347,1.436e-06,0.000263
3.2283464566929134,1.4390000000000001e-06,0.000265
3.2480314960629921,1.4560000000000001e-06,0.000267
3.2677165354330708,1.4650000000000002e-06,0.000269
3.2874015748031495,1.4760000000000001e-06,0.000271
3.3070866141732282,1.486e-06,0.00027299999999999997
3.326771653543307,1.4960000000000002e-06,0.00027499999999999996
3.3464566929133857,1.505e-06,0.000277
3.3661417322834644,1.514e-06,0.000279
3.3858267716535431,1.526e-06,0.000281
3.4055118110236222,1.539e-06,0.00028199999999999997
3.4251968503937009,1.546e-06,0.00028399999999999996
3.4448818897637796,1.559e-06,0.000286
3.4645669291338583,1.5670000000000002e-06,0.000288
3.484251968503937,1.5800000000000001e-06,0.00029
3.5039370078740157,1.5890000000000002e-06,0.000292
3.5236220472440944,1.601e-06,0.000294
3.5433070866141732,1.6110000000000001e-06,0.000296
3.5629921259842519,1.6230000000000002e-06,0.000298
3.5826771653543306,1.635e-06,0.0003
3.6023622047244093,1.6450000000000001e-06,0.00030199999999999997
3.622047244094488,1.6540000000000002e-06,0.00030399999999999996
3.6417322834645667,1.664e-06,0.000306
3.6614173228346458,1.678e-06,0.000308
3.6811023622047245,1.6870000000000001e-06,0.000309
3.7007874015748032,1.6910000000000002e-06,0.00031099999999999997
3.7204724409448819,1.7080000000000002e-06,0.00031299999999999996
3.7401574803149606,1.7160000000000002e-06,0.00031499999999999996
3.7598425196850394,1.726e-06,0.000317
3.7795275590551181,1.7330000000000002e-06,0.000319
3.7992125984251968,1.745e-06,0.000321
3.8188976377952755,1.7610000000000002e-06,0.000323
3.8385826771653542,1.7720000000000001e-06,0.000325
3.8582677165354329,1.782e-06,0.000327
3.8779527559055116,1.79e-06,0.000329
3.8976377952755903,1.8000000000000001e-06,0.00033099999999999997
3.9173228346456694,1.81e-06,0.00033299999999999996
3.9370078740157481,1.819e-06,0.000335
3.9566929133858268,1.833e-06,0.000336
3.9763779527559056,1.844e-06,0.000338
3.9960629921259843,1.852e-06,0.00033999999999999997
4.015748031496063,1.85e-06,0.000345
