V_in(Ch1),V_out(Ch2)
0.0,4.98
0.01968503937007874,4.98
0.03937007874015748,4.98
0.05905511811023622,4.98
0.07874015748031496,4.98
0.098425196850393692,4.98
0.11811023622047244,4.98
0.13779527559055119,4.98
0.15748031496062992,4.98
0.17716535433070865,4.98
0.19685039370078738,4.98
0.21653543307086615,4.98
0.23622047244094488,4.98
0.25590551181102361,4.98
0.27559055118110237,4.98
0.29527559055118108,4.98
0.31496062992125984,4.98
0.3346456692913386,4.98
0.3543307086614173,4.98
0.37401574803149606,4.98
0.39370078740157477,4.98
0.41338582677165353,4.98
0.43307086614173229,4.98
0.452755905511811,4.98
0.47244094488188976,4.98
0.49212598425196852,4.98
0.51181102362204722,4.9750000000000005
0.53149606299212593,4.97
0.55118110236220474,4.96
0.57086614173228345,4.95
0.59055118110236215,4.93
0.61023622047244097,4.91
0.62992125984251968,4.885
0.64960629921259838,4.86
0.6692913385826772,4.83
0.6889763779527559,4.8
0.70866141732283461,4.775
0.72834645669291342,4.74
0.74803149606299213,4.705
0.76771653543307083,4.675
0.78740157480314954,4.64
0.80708661417322836,4.605
0.82677165354330706,4.575
0.84645669291338577,4.54
0.86614173228346458,4.505
0.88582677165354329,4.465
0.90551181102362199,4.43
0.92519685039370081,4.3950000000000005
0.94488188976377951,4.36
0.96456692913385822,4.325
0.98425196850393704,4.29
1.0039370078740157,4.245
1.0236220472440944,4.205
1.0433070866141732,4.17
1.0629921259842519,4.135
1.0826771653543308,4.1
1.1023622047244095,4.0600000000000005
1.1220472440944882,4.0200000000000005
1.1417322834645669,3.985
1.1614173228346456,3.9450000000000003
1.1811023622047243,3.91
1.2007874015748032,3.875
1.2204724409448819,3.835
1.2401574803149606,3.8000000000000003
1.2598425196850394,3.7600000000000002
1.2795275590551181,3.72
1.2992125984251968,3.685
1.3188976377952755,3.65
1.3385826771653544,3.615
1.3582677165354331,3.575
1.3779527559055118,3.535
1.3976377952755905,3.5
1.4173228346456692,3.46
1.4370078740157479,3.4250000000000003
1.4566929133858268,3.3850000000000002
1.4763779527559056,3.345
1.4960629921259843,3.31
1.515748031496063,3.27
1.5354330708661417,3.23
1.5551181102362204,3.1950000000000003
1.5748031496062991,3.1550000000000002
1.594488188976378,3.115
1.6141732283464567,3.08
1.6338582677165354,3.04
1.6535433070866141,3.0
1.6732283464566928,2.965
1.6929133858267715,2.9250000000000003
1.7125984251968505,2.8850000000000002
1.7322834645669292,2.85
1.7519685039370079,2.81
1.7716535433070866,2.77
1.7913385826771653,2.735
1.811023622047244,2.695
1.8307086614173229,2.66
1.8503937007874016,2.62
1.8700787401574803,2.585
1.889763779527559,2.545
1.9094488188976377,2.505
1.9291338582677164,2.47
1.9488188976377951,2.43
1.9685039370078741,2.395
1.9881889763779528,2.355
2.0078740157480315,2.305
2.0275590551181102,2.265
2.0472440944881889,2.225
2.0669291338582676,2.19
2.0866141732283463,2.15
2.106299212598425,2.115
2.1259842519685037,2.075
2.1456692913385829,2.035
2.1653543307086616,2.0
2.1850393700787403,1.96
