V_in(Ch1),V_out(Ch2)
0.0,4.98
0.01968503937007874,4.98
0.03937007874015748,4.98
0.05905511811023622,4.98
0.07874015748031496,4.98
0.098425196850393692,4.98
0.11811023622047244,4.98
0.13779527559055119,4.98
0.15748031496062992,4.98
0.17716535433070865,4.98
0.19685039370078738,4.98
0.21653543307086615,4.98
0.23622047244094488,4.98
0.25590551181102361,4.98
0.27559055118110237,4.98
0.29527559055118108,4.98
0.31496062992125984,4.98
0.3346456692913386,4.98
0.3543307086614173,4.98
0.37401574803149606,4.98
0.39370078740157477,4.98
0.41338582677165353,4.98
0.43307086614173229,4.98
0.452755905511811,4.98
0.47244094488188976,4.98
0.49212598425196852,4.9750000000000005
0.51181102362204722,4.965
0.53149606299212593,4.95
0.55118110236220474,4.925
0.57086614173228345,4.885
0.59055118110236215,4.835
0.61023622047244097,4.7700000000000005
0.62992125984251968,4.695
0.64960629921259838,4.615
0.6692913385826772,4.53
0.6889763779527559,4.44
0.70866141732283461,4.3500000000000005
0.72834645669291342,4.25
0.74803149606299213,4.15
0.76771653543307083,4.05
0.78740157480314954,3.95
0.80708661417322836,3.85
0.82677165354330706,3.745
0.84645669291338577,3.645
0.86614173228346458,3.535
0.88582677165354329,3.43
0.90551181102362199,3.325
0.92519685039370081,3.22
0.94488188976377951,3.11
0.96456692913385822,3.005
0.98425196850393704,2.89
1.0039370078740157,2.77
1.0236220472440944,2.6550000000000002
1.0433070866141732,2.545
1.0629921259842519,2.44
1.0826771653543308,2.33
1.1023622047244095,2.215
1.1220472440944882,2.105
1.1417322834645669,1.99
1.1614173228346456,1.875
1.1811023622047243,1.7650000000000001
1.2007874015748032,1.655
1.2204724409448819,1.545
1.2401574803149606,1.43
1.2598425196850394,1.315
1.2795275590551181,1.205
1.2992125984251968,1.095
1.3188976377952755,0.98
1.3385826771653544,0.875
1.3582677165354331,0.785
1.3779527559055118,0.765
1.3976377952755905,0.755
1.4173228346456692,0.76
1.4370078740157479,0.77
1.4566929133858268,0.78
1.4763779527559056,0.795
1.4960629921259843,0.805
1.515748031496063,0.8200000000000001
1.5354330708661417,0.84
1.5551181102362204,0.855
1.5748031496062991,0.865
1.594488188976378,0.88
1.6141732283464567,0.895
1.6338582677165354,0.91
1.6535433070866141,0.93
1.6732283464566928,0.9450000000000001
1.6929133858267715,0.965
1.7125984251968505,0.98
1.7322834645669292,1.0
1.7519685039370079,1.0150000000000001
1.7716535433070866,1.035
1.7913385826771653,1.05
1.811023622047244,1.07
1.8307086614173229,1.085
1.8503937007874016,1.105
1.8700787401574803,1.12
1.889763779527559,1.1400000000000001
1.9094488188976377,1.16
1.9291338582677164,1.175
1.9488188976377951,1.195
1.9685039370078741,1.215
1.9881889763779528,1.23
2.0078740157480315,1.2550000000000001
2.0275590551181102,1.2750000000000001
2.0472440944881889,1.29
2.0669291338582676,1.31
2.0866141732283463,1.33
2.106299212598425,1.345
2.1259842519685037,1.365
2.1456692913385829,1.385
2.1653543307086616,1.4000000000000001
2.1850393700787403,1.42
