V_in(Ch1),V_out(Ch2)
0.0,4.98
0.01968503937007874,4.98
0.03937007874015748,4.98
0.05905511811023622,4.98
0.07874015748031496,4.98
0.098425196850393692,4.98
0.11811023622047244,4.98
0.13779527559055119,4.98
0.15748031496062992,4.98
0.17716535433070865,4.98
0.19685039370078738,4.98
0.21653543307086615,4.98
0.23622047244094488,4.98
0.25590551181102361,4.98
0.27559055118110237,4.98
0.29527559055118108,4.98
0.31496062992125984,4.98
0.3346456692913386,4.98
0.3543307086614173,4.98
0.37401574803149606,4.98
0.39370078740157477,4.98
0.41338582677165353,4.98
0.43307086614173229,4.98
0.452755905511811,4.98
0.47244094488188976,4.98
0.49212598425196852,4.9750000000000005
0.51181102362204722,4.97
0.53149606299212593,4.96
0.55118110236220474,4.945
0.57086614173228345,4.915
0.59055118110236215,4.88
0.61023622047244097,4.84
0.62992125984251968,4.79
0.64960629921259838,4.735
0.6692913385826772,4.68
0.6889763779527559,4.62
0.70866141732283461,4.5600000000000005
0.72834645669291342,4.495
0.74803149606299213,4.425
0.76771653543307083,4.36
0.78740157480314954,4.29
0.80708661417322836,4.225
0.82677165354330706,4.155
0.84645669291338577,4.085
0.86614173228346458,4.015
0.88582677165354329,3.9450000000000003
0.90551181102362199,3.87
0.92519685039370081,3.805
0.94488188976377951,3.73
0.96456692913385822,3.66
0.98425196850393704,3.585
1.0039370078740157,3.5
1.0236220472440944,3.4250000000000003
1.0433070866141732,3.355
1.0629921259842519,3.2800000000000002
1.0826771653543308,3.21
1.1023622047244095,3.13
1.1220472440944882,3.055
1.1417322834645669,2.98
1.1614173228346456,2.9050000000000002
1.1811023622047243,2.83
1.2007874015748032,2.7600000000000002
1.2204724409448819,2.685
1.2401574803149606,2.61
1.2598425196850394,2.5300000000000002
1.2795275590551181,2.455
1.2992125984251968,2.3850000000000002
1.3188976377952755,2.305
1.3385826771653544,2.235
1.3582677165354331,2.1550000000000002
1.3779527559055118,2.08
1.3976377952755905,2.005
1.4173228346456692,1.925
1.4370078740157479,1.855
1.4566929133858268,1.78
1.4763779527559056,1.705
1.4960629921259843,1.625
1.515748031496063,1.545
1.5354330708661417,1.47
1.5551181102362204,1.3900000000000001
1.5748031496062991,1.315
1.594488188976378,1.24
1.6141732283464567,1.165
1.6338582677165354,1.09
1.6535433070866141,1.055
1.6732283464566928,1.04
1.6929133858267715,1.045
1.7125984251968505,1.05
1.7322834645669292,1.06
1.7519685039370079,1.075
1.7716535433070866,1.085
1.7913385826771653,1.105
1.811023622047244,1.115
1.8307086614173229,1.1300000000000001
1.8503937007874016,1.1400000000000001
1.8700787401574803,1.155
1.889763779527559,1.17
1.9094488188976377,1.185
1.9291338582677164,1.205
1.9488188976377951,1.22
1.9685039370078741,1.235
1.9881889763779528,1.2550000000000001
2.0078740157480315,1.2750000000000001
2.0275590551181102,1.295
2.0472440944881889,1.31
2.0669291338582676,1.33
2.0866141732283463,1.345
2.106299212598425,1.365
2.1259842519685037,1.385
2.1456692913385829,1.4000000000000001
2.1653543307086616,1.42
