V_in(Ch1),I_b(Ch1),I_e(Ch2)
0.0,-7.000000000000001e-10,1e-09
0.01968503937007874,1.4000000000000001e-09,1.1000000000000001e-09
0.03937007874015748,1.7000000000000001e-09,1.3e-09
0.05905511811023622,2.5e-09,1.1000000000000001e-09
0.07874015748031496,2.8000000000000003e-09,1.2e-09
0.098425196850393692,3.1e-09,1e-09
0.11811023622047244,3.2e-09,1.1000000000000001e-09
0.13779527559055119,3.8e-09,1.1000000000000001e-09
0.15748031496062992,3.5000000000000003e-09,9e-10
0.17716535433070865,3.7e-09,1e-09
0.19685039370078738,3.7e-09,1e-09
0.21653543307086615,4.3000000000000005e-09,1.2e-09
0.23622047244094488,4.4000000000000005e-09,1.4000000000000001e-09
0.25590551181102361,4e-09,8e-10
0.27559055118110237,4.4000000000000005e-09,1.3e-09
0.29527559055118108,4.3000000000000005e-09,1.9e-09
0.31496062992125984,4.8e-09,2.3e-09
0.3346456692913386,4.8e-09,3.9e-09
0.3543307086614173,5.2e-09,6.5e-09
0.37401574803149606,4.8e-09,1.26e-08
0.39370078740157477,6e-09,2.56e-08
0.41338582677165353,6.5e-09,5.16e-08
0.43307086614173229,6.5e-09,1.031e-07
0.452755905511811,7.3e-09,2.2e-07
0.47244094488188976,9.900000000000001e-09,4.2900000000000004e-07
0.49212598425196852,1.37e-08,7.930000000000001e-07
0.51181102362204722,1.9100000000000002e-08,1.381e-06
0.53149606299212593,2.37e-08,2.22e-06
0.55118110236220474,3.0700000000000004e-08,3.18e-06
0.57086614173228345,3.86e-08,4.34e-06
0.59055118110236215,4.5000000000000006e-08,5.64e-06
0.61023622047244097,5.4e-08,7.05e-06
0.62992125984251968,6.300000000000001e-08,8.59e-06
0.64960629921259838,7.200000000000001e-08,1.013e-05
0.6692913385826772,8.2e-08,1.172e-05
0.6889763779527559,9.2e-08,1.33e-05
0.70866141732283461,1.01e-07,1.4940000000000001e-05
0.72834645669291342,1.13e-07,1.669e-05
0.74803149606299213,1.22e-07,1.842e-05
0.76771653543307083,1.33e-07,2.12e-05
0.78740157480314954,1.43e-07,2.2899999999999998e-05
0.80708661417322836,1.55e-07,2.4599999999999998e-05
0.82677165354330706,1.64e-07,2.6399999999999998e-05
0.84645669291338577,1.7500000000000002e-07,2.8199999999999998e-05
0.86614173228346458,1.85e-07,2.9999999999999997e-05
0.88582677165354329,1.96e-07,3.18e-05
0.90551181102362199,2.0600000000000002e-07,3.37e-05
0.92519685039370081,2.16e-07,3.5499999999999996e-05
0.94488188976377951,2.27e-07,3.73e-05
0.96456692913385822,2.3800000000000001e-07,3.9099999999999995e-05
0.98425196850393704,2.49e-07,4.1099999999999996e-05
1.0039370078740157,2.58e-07,4.29e-05
1.0236220472440944,2.68e-07,4.48e-05
1.0433070866141732,2.79e-07,4.67e-05
1.0629921259842519,2.89e-07,4.85e-05
1.0826771653543308,3.0000000000000004e-07,5.0299999999999996e-05
1.1023622047244095,3.1e-07,5.2199999999999995e-05
1.1220472440944882,3.23e-07,5.41e-05
1.1417322834645669,3.3e-07,5.6e-05
1.1614173228346456,3.41e-07,5.8e-05
1.1811023622047243,3.5000000000000004e-07,5.98e-05
1.2007874015748032,3.6200000000000004e-07,6.17e-05
1.2204724409448819,3.7200000000000005e-07,6.35e-05
1.2401574803149606,3.82e-07,6.549999999999999e-05
1.2598425196850394,3.92e-07,6.74e-05
1.2795275590551181,4.04e-07,6.929999999999999e-05
1.2992125984251968,4.16e-07,7.12e-05
1.3188976377952755,4.2400000000000004e-07,7.31e-05
1.3385826771653544,4.3400000000000005e-07,7.489999999999999e-05
1.3582677165354331,4.4600000000000005e-07,7.69e-05
1.3779527559055118,4.56e-07,7.879999999999999e-05
1.3976377952755905,4.6700000000000004e-07,8.07e-05
1.4173228346456692,4.78e-07,8.26e-05
1.4370078740157479,4.870000000000001e-07,8.45e-05
1.4566929133858268,4.95e-07,8.64e-05
1.4763779527559056,5.06e-07,8.829999999999999e-05
1.4960629921259843,5.2e-07,9.03e-05
1.515748031496063,5.3e-07,9.219999999999999e-05
1.5354330708661417,5.41e-07,9.42e-05
1.5551181102362204,5.5e-07,9.609999999999999e-05
1.5748031496062991,5.6e-07,9.8e-05
1.594488188976378,5.72e-07,9.989999999999999e-05
1.6141732283464567,5.82e-07,0.0001019
1.6338582677165354,5.930000000000001e-07,0.00010379999999999999
1.6535433070866141,6.040000000000001e-07,0.0001058
1.6732283464566928,6.110000000000001e-07,0.00010769999999999999
1.6929133858267715,6.23e-07,0.0001096
1.7125984251968505,6.32e-07,0.0001115
1.7322834645669292,6.43e-07,0.00011339999999999999
1.7519685039370079,6.550000000000001e-07,0.0001154
1.7716535433070866,6.650000000000001e-07,0.00011729999999999999
1.7913385826771653,6.760000000000001e-07,0.0001193
1.811023622047244,6.85e-07,0.00012119999999999999
1.8307086614173229,6.98e-07,0.00012309999999999998
1.8503937007874016,7.030000000000001e-07,0.000125
1.8700787401574803,7.170000000000001e-07,0.0001269
1.889763779527559,7.26e-07,0.0001288
1.9094488188976377,7.37e-07,0.00013079999999999998
1.9291338582677164,7.49e-07,0.0001327
1.9488188976377951,7.56e-07,0.0001346
1.9685039370078741,7.690000000000001e-07,0.00013649999999999998
1.9881889763779528,7.77e-07,0.0001384
2.0078740157480315,7.92e-07,0.00014099999999999998
2.0275590551181102,8.02e-07,0.000143
2.0472440944881889,8.130000000000001e-07,0.0001449
2.0669291338582676,8.22e-07,0.0001468
2.0866141732283463,8.35e-07,0.00014879999999999998
2.106299212598425,8.47e-07,0.0001506
2.1259842519685037,8.53e-07,0.0001525
2.1456692913385829,8.610000000000001e-07,0.00015439999999999999
2.1653543307086616,8.760000000000001e-07,0.0001563
2.1850393700787403,8.830000000000001e-07,0.0001583
2.204724409448819,8.990000000000001e-07,0.0001603
2.2244094488188977,9.090000000000001e-07,0.00016209999999999998
2.2440944881889764,9.19e-07,0.00016419999999999998
2.2637795275590551,9.300000000000001e-07,0.0001662
2.2834645669291338,9.370000000000001e-07,0.0001681
2.3031496062992125,9.510000000000001e-07,0.0001701
2.3228346456692912,9.630000000000001e-07,0.00017199999999999998
2.3425196850393699,9.67e-07,0.0001739
2.3622047244094486,9.79e-07,0.0001758
2.3818897637795273,9.92e-07,0.00017769999999999998
2.4015748031496065,1.0000000000000002e-06,0.0001796
2.4212598425196852,1.006e-06,0.0001814
2.4409448818897639,1.017e-06,0.00018339999999999999
2.4606299212598426,1.0310000000000002e-06,0.00018539999999999998
2.4803149606299213,1.0450000000000002e-06,0.0001873
2.5,1.051e-06,0.0001893
2.5196850393700787,1.0620000000000002e-06,0.0001913
2.5393700787401574,1.075e-06,0.00019319999999999998
2.5590551181102361,1.0840000000000001e-06,0.0001952
2.5787401574803148,1.0980000000000001e-06,0.0001971
2.5984251968503935,1.105e-06,0.00019889999999999998
2.6181102362204722,1.1180000000000001e-06,0.000205
2.6377952755905509,1.1290000000000001e-06,0.000207
2.6574803149606301,1.1350000000000001e-06,0.00020899999999999998
2.6771653543307088,1.148e-06,0.00020999999999999998
2.6968503937007875,1.159e-06,0.000212
2.7165354330708662,1.17e-06,0.000215
2.7362204724409449,1.1800000000000001e-06,0.000216
2.7559055118110236,1.19e-06,0.00021799999999999999
2.7755905511811023,1.204e-06,0.00021999999999999998
2.795275590551181,1.2110000000000001e-06,0.000222
2.8149606299212597,1.2200000000000002e-06,0.000224
2.8346456692913384,1.233e-06,0.000226
2.8543307086614171,1.2480000000000002e-06,0.00022799999999999999
2.8740157480314958,1.25e-06,0.00022999999999999998
2.8937007874015745,1.263e-06,0.000232
2.9133858267716537,1.2730000000000001e-06,0.000234
2.9330708661417324,1.283e-06,0.000236
2.9527559055118111,1.292e-06,0.00023799999999999998
2.9724409448818898,1.3070000000000001e-06,0.00023999999999999998
2.9921259842519685,1.3130000000000002e-06,0.000242
3.0118110236220472,1.325e-06,0.000244
3.0314960629921259,1.3380000000000001e-06,0.000245
3.0511811023622046,1.348e-06,0.000248
3.0708661417322833,1.362e-06,0.000249
3.090551181102362,1.371e-06,0.000252
3.1102362204724407,1.3800000000000001e-06,0.00025299999999999997
3.1299212598425195,1.395e-06,0.00025499999999999996
3.1496062992125982,1.402e-06,0.000257
3.1692913385826773,1.4140000000000001e-06,0.000259
3.188976377952756,1.426e-06,0.000261
3.2086614173228347,1.436e-06,0.000263
3.2283464566929134,1.4450000000000001e-06,0.000265
3.2480314960629921,1.455e-06,0.000267
3.2677165354330708,1.4620000000000001e-06,0.000269
3.2874015748031495,1.481e-06,0.000271
3.3070866141732282,1.4850000000000002e-06,0.00027299999999999997
3.326771653543307,1.497e-06,0.00027499999999999996
3.3464566929133857,1.505e-06,0.000277
3.3661417322834644,1.511e-06,0.000279
3.3858267716535431,1.5300000000000002e-06,0.000281
3.4055118110236222,1.5380000000000001e-06,0.00028199999999999997
3.4251968503937009,1.5490000000000001e-06,0.00028399999999999996
3.4448818897637796,1.5630000000000001e-06,0.000286
3.4645669291338583,1.5750000000000002e-06,0.000288
3.484251968503937,1.5830000000000001e-06,0.00029
3.5039370078740157,1.593e-06,0.000292
3.5236220472440944,1.6060000000000002e-06,0.000294
3.5433070866141732,1.607e-06,0.000296
3.5629921259842519,1.624e-06,0.000298
3.5826771653543306,1.635e-06,0.0003
3.6023622047244093,1.6450000000000001e-06,0.00030199999999999997
3.622047244094488,1.6590000000000001e-06,0.00030399999999999996
3.6417322834645667,1.664e-06,0.000306
3.6614173228346458,1.6740000000000002e-06,0.000308
3.6811023622047245,1.684e-06,0.000309
3.7007874015748032,1.701e-06,0.00031099999999999997
3.7204724409448819,1.7040000000000001e-06,0.00031299999999999996
3.7401574803149606,1.715e-06,0.00031499999999999996
3.7598425196850394,1.729e-06,0.000317
3.7795275590551181,1.737e-06,0.000319
3.7992125984251968,1.745e-06,0.000321
3.8188976377952755,1.7610000000000002e-06,0.000323
3.8385826771653542,1.7700000000000002e-06,0.000325
3.8582677165354329,1.782e-06,0.000327
3.8779527559055116,1.788e-06,0.000329
3.8976377952755903,1.804e-06,0.00033099999999999997
3.9173228346456694,1.8110000000000001e-06,0.00033299999999999996
3.9370078740157481,1.83e-06,0.000335
3.9566929133858268,1.836e-06,0.000336
3.9763779527559056,1.8460000000000002e-06,0.000338
3.9960629921259843,1.8590000000000001e-06,0.00033999999999999997
4.015748031496063,1.86e-06,0.000345
4.0354330708661417,1.86e-06,0.000347
4.0551181102362204,1.88e-06,0.00034899999999999997
4.0748031496062991,1.88e-06,0.00035099999999999997
4.0944881889763778,1.8900000000000001e-06,0.00035299999999999996
4.1141732283464565,1.9e-06,0.000355
4.1338582677165352,1.9200000000000003e-06,0.000357
4.1535433070866139,1.93e-06,0.000359
4.1732283464566926,1.93e-06,0.000361
4.1929133858267713,1.95e-06,0.000363
4.21259842519685,1.96e-06,0.000365
4.2322834645669287,1.96e-06,0.000367
4.2519685039370074,1.98e-06,0.00036899999999999997
4.2716535433070861,1.99e-06,0.00037099999999999996
4.2913385826771657,2e-06,0.00037299999999999996
4.3110236220472444,2e-06,0.000374
4.3307086614173231,2.02e-06,0.000376
4.3503937007874018,2.04e-06,0.00037799999999999997
4.3700787401574805,2.04e-06,0.00037999999999999997
4.3897637795275593,2.06e-06,0.00038199999999999996
4.409448818897638,2.06e-06,0.000384
4.4291338582677167,2.08e-06,0.000386
4.4488188976377954,2.09e-06,0.000388
4.4685039370078741,2.1000000000000002e-06,0.00039
4.4881889763779528,2.11e-06,0.000392
4.5078740157480315,2.11e-06,0.000394
4.5275590551181102,2.13e-06,0.000396
4.5472440944881889,2.14e-06,0.00039799999999999997
4.5669291338582676,2.15e-06,0.00039999999999999996
4.5866141732283463,2.15e-06,0.00040199999999999996
4.606299212598425,2.17e-06,0.000404
4.6259842519685037,2.18e-06,0.000406
4.6456692913385824,2.19e-06,0.000408
4.6653543307086611,2.2e-06,0.00041
4.6850393700787398,2.22e-06,0.000412
4.7047244094488185,2.22e-06,0.00041299999999999996
4.7244094488188972,2.24e-06,0.000416
4.7440944881889759,2.26e-06,0.000417
4.7637795275590546,2.26e-06,0.000419
4.7834645669291334,2.27e-06,0.000421
4.8031496062992129,2.28e-06,0.000423
4.8228346456692917,2.29e-06,0.000425
4.8425196850393704,2.3e-06,0.00042699999999999997
4.8622047244094491,2.3e-06,0.00042899999999999997
4.8818897637795278,2.3200000000000002e-06,0.00043099999999999996
4.9015748031496065,2.34e-06,0.00043299999999999995
4.9212598425196852,2.35e-06,0.000435
4.9409448818897639,2.36e-06,0.000437
4.9606299212598426,2.37e-06,0.000439
4.9803149606299213,2.38e-06,0.000441
5.0,2.39e-06,0.000443
