v1	V(v_1)	V(v_2)	I(V3)
-9.249999999999999e-001	1.575000e+000	2.500000e+000	-7.090165e-005
-9.239999999999999e-001	1.576000e+000	2.500000e+000	-7.083405e-005
-9.229999999999999e-001	1.577000e+000	2.500000e+000	-7.076636e-005
-9.219999999999999e-001	1.578000e+000	2.500000e+000	-7.069858e-005
-9.209999999999999e-001	1.579000e+000	2.500000e+000	-7.063070e-005
-9.199999999999999e-001	1.580000e+000	2.500000e+000	-7.056274e-005
-9.189999999999999e-001	1.581000e+000	2.500000e+000	-7.049468e-005
-9.179999999999999e-001	1.582000e+000	2.500000e+000	-7.042653e-005
-9.169999999999999e-001	1.583000e+000	2.500000e+000	-7.035829e-005
-9.159999999999999e-001	1.584000e+000	2.500000e+000	-7.028996e-005
-9.149999999999999e-001	1.585000e+000	2.500000e+000	-7.022153e-005
-9.139999999999999e-001	1.586000e+000	2.500000e+000	-7.015302e-005
-9.129999999999999e-001	1.587000e+000	2.500000e+000	-7.008440e-005
-9.119999999999999e-001	1.588000e+000	2.500000e+000	-7.001570e-005
-9.109999999999999e-001	1.589000e+000	2.500000e+000	-6.994691e-005
-9.099999999999999e-001	1.590000e+000	2.500000e+000	-6.987803e-005
-9.089999999999999e-001	1.591000e+000	2.500000e+000	-6.980906e-005
-9.079999999999999e-001	1.592000e+000	2.500000e+000	-6.974000e-005
-9.069999999999999e-001	1.593000e+000	2.500000e+000	-6.967084e-005
-9.059999999999999e-001	1.594000e+000	2.500000e+000	-6.960159e-005
-9.049999999999999e-001	1.595000e+000	2.500000e+000	-6.953226e-005
-9.039999999999999e-001	1.596000e+000	2.500000e+000	-6.946283e-005
-9.029999999999999e-001	1.597000e+000	2.500000e+000	-6.939332e-005
-9.019999999999999e-001	1.598000e+000	2.500000e+000	-6.932371e-005
-9.009999999999999e-001	1.599000e+000	2.500000e+000	-6.925401e-005
-8.999999999999999e-001	1.600000e+000	2.500000e+000	-6.918423e-005
-8.989999999999999e-001	1.601000e+000	2.500000e+000	-6.911435e-005
-8.979999999999999e-001	1.602000e+000	2.500000e+000	-6.904439e-005
-8.969999999999999e-001	1.603000e+000	2.500000e+000	-6.897433e-005
-8.959999999999999e-001	1.604000e+000	2.500000e+000	-6.890419e-005
-8.949999999999999e-001	1.605000e+000	2.500000e+000	-6.883396e-005
-8.939999999999999e-001	1.606000e+000	2.500000e+000	-6.876364e-005
-8.929999999999999e-001	1.607000e+000	2.500000e+000	-6.869323e-005
-8.919999999999999e-001	1.608000e+000	2.500000e+000	-6.862273e-005
-8.909999999999999e-001	1.609000e+000	2.500000e+000	-6.855214e-005
-8.899999999999999e-001	1.610000e+000	2.500000e+000	-6.848147e-005
-8.889999999999999e-001	1.611000e+000	2.500000e+000	-6.841070e-005
-8.879999999999999e-001	1.612000e+000	2.500000e+000	-6.833985e-005
-8.869999999999999e-001	1.613000e+000	2.500000e+000	-6.826891e-005
-8.859999999999999e-001	1.614000e+000	2.500000e+000	-6.819788e-005
-8.849999999999999e-001	1.615000e+000	2.500000e+000	-6.812676e-005
-8.839999999999999e-001	1.616000e+000	2.500000e+000	-6.805556e-005
-8.829999999999999e-001	1.617000e+000	2.500000e+000	-6.798426e-005
-8.819999999999999e-001	1.618000e+000	2.500000e+000	-6.791289e-005
-8.809999999999999e-001	1.619000e+000	2.500000e+000	-6.784142e-005
-8.799999999999999e-001	1.620000e+000	2.500000e+000	-6.776986e-005
-8.789999999999999e-001	1.621000e+000	2.500000e+000	-6.769822e-005
-8.779999999999999e-001	1.622000e+000	2.500000e+000	-6.762650e-005
-8.769999999999999e-001	1.623000e+000	2.500000e+000	-6.755468e-005
-8.759999999999999e-001	1.624000e+000	2.500000e+000	-6.748278e-005
-8.749999999999999e-001	1.625000e+000	2.500000e+000	-6.741079e-005
-8.739999999999999e-001	1.626000e+000	2.500000e+000	-6.733871e-005
-8.729999999999999e-001	1.627000e+000	2.500000e+000	-6.726655e-005
-8.719999999999999e-001	1.628000e+000	2.500000e+000	-6.719430e-005
-8.709999999999999e-001	1.629000e+000	2.500000e+000	-6.712196e-005
-8.699999999999999e-001	1.630000e+000	2.500000e+000	-6.704954e-005
-8.689999999999999e-001	1.631000e+000	2.500000e+000	-6.697703e-005
-8.679999999999999e-001	1.632000e+000	2.500000e+000	-6.690444e-005
-8.669999999999999e-001	1.633000e+000	2.500000e+000	-6.683175e-005
-8.659999999999999e-001	1.634000e+000	2.500000e+000	-6.675899e-005
-8.649999999999999e-001	1.635000e+000	2.500000e+000	-6.668614e-005
-8.639999999999999e-001	1.636000e+000	2.500000e+000	-6.661320e-005
-8.629999999999999e-001	1.637000e+000	2.500000e+000	-6.654017e-005
-8.619999999999999e-001	1.638000e+000	2.500000e+000	-6.646707e-005
-8.609999999999999e-001	1.639000e+000	2.500000e+000	-6.639388e-005
-8.599999999999999e-001	1.640000e+000	2.500000e+000	-6.632059e-005
-8.589999999999999e-001	1.641000e+000	2.500000e+000	-6.624723e-005
-8.579999999999999e-001	1.642000e+000	2.500000e+000	-6.617378e-005
-8.569999999999999e-001	1.643000e+000	2.500000e+000	-6.610025e-005
-8.559999999999999e-001	1.644000e+000	2.500000e+000	-6.602663e-005
-8.549999999999999e-001	1.645000e+000	2.500000e+000	-6.595293e-005
-8.539999999999999e-001	1.646000e+000	2.500000e+000	-6.587913e-005
-8.529999999999999e-001	1.647000e+000	2.500000e+000	-6.580526e-005
-8.519999999999999e-001	1.648000e+000	2.500000e+000	-6.573131e-005
-8.509999999999999e-001	1.649000e+000	2.500000e+000	-6.565726e-005
