V_input,V
-1.0,2.652
-0.98994974874371855,2.65
-0.97989949748743721,2.652
-0.96984924623115576,2.652
-0.95979899497487442,2.652
-0.94974874371859297,2.652
-0.93969849246231152,2.652
-0.92964824120603018,2.652
-0.91959798994974873,2.652
-0.90954773869346739,2.652
-0.89949748743718594,2.652
-0.88944723618090449,2.652
-0.87939698492462315,2.652
-0.8693467336683417,2.652
-0.85929648241206036,2.652
-0.84924623115577891,2.652
-0.83919597989949746,2.652
-0.82914572864321612,2.652
-0.81909547738693467,2.652
-0.80904522613065333,2.652
-0.79899497487437188,2.652
-0.78894472361809043,2.652
-0.77889447236180898,2.652
-0.76884422110552764,2.652
-0.7587939698492463,2.652
-0.74874371859296485,2.652
-0.7386934673366834,2.652
-0.72864321608040195,2.652
-0.71859296482412061,2.652
-0.70854271356783927,2.652
-0.69849246231155782,2.652
-0.68844221105527637,2.652
-0.67839195979899491,2.652
-0.66834170854271358,2.652
-0.65829145728643224,2.652
-0.64824120603015079,2.652
-0.63819095477386933,2.652
-0.62814070351758788,2.652
-0.61809045226130654,2.652
-0.60804020100502509,2.652
-0.59798994974874375,2.652
-0.5879396984924623,2.652
-0.57788944723618085,2.652
-0.56783919597989951,2.652
-0.55778894472361806,2.652
-0.54773869346733672,2.652
-0.53768844221105527,2.652
-0.52763819095477382,2.652
-0.51758793969849248,2.652
-0.50753768844221103,2.652
-0.49748743718592969,2.652
-0.48743718592964824,2.652
-0.47738693467336679,2.652
-0.46733668341708545,2.652
-0.457286432160804,2.652
-0.44723618090452255,2.652
-0.43718592964824121,2.652
-0.42713567839195976,2.652
-0.41708542713567842,2.652
-0.40703517587939697,2.652
-0.39698492462311552,2.652
-0.38693467336683418,2.652
-0.37688442211055273,2.652
-0.36683417085427139,2.652
-0.35678391959798994,2.652
-0.34673366834170849,2.652
-0.33668341708542715,2.652
-0.3266331658291457,2.652
-0.31658291457286436,2.652
-0.30653266331658291,2.652
-0.29648241206030146,2.652
-0.28643216080402012,2.652
-0.27638190954773867,2.652
-0.26633165829145733,2.652
-0.25628140703517588,2.652
-0.24623115577889443,2.652
-0.23618090452261309,2.652
-0.22613065326633164,2.652
-0.21608040201005019,2.652
-0.20603015075376885,2.652
-0.1959798994974874,2.652
-0.18592964824120606,2.652
-0.17587939698492461,2.652
-0.16582914572864316,2.652
-0.15577889447236182,2.652
-0.14572864321608037,2.652
-0.13567839195979903,2.654
-0.12562814070351758,2.654
-0.11557788944723613,2.654
-0.10552763819095479,2.656
-0.095477386934673336,2.656
-0.085427135678391997,2.658
-0.075376884422110546,2.658
-0.065326633165829096,2.66
-0.055276381909547756,2.662
-0.045226130653266305,2.666
-0.035175879396984966,2.668
-0.025125628140703515,2.672
-0.015075376884422065,2.674
-0.0050251256281407253,2.68
0.0050251256281406143,2.684
0.015075376884422065,2.688
0.025125628140703515,2.692
0.035175879396984966,2.698
0.045226130653266416,2.704
0.055276381909547645,2.71
0.065326633165829096,2.716
0.075376884422110546,2.724
0.085427135678391997,2.73
0.095477386934673447,2.738
0.1055276381909549,2.744
0.11557788944723613,2.7520000000000002
0.12562814070351758,2.7600000000000002
0.13567839195979903,2.7680000000000002
0.14572864321608048,2.7760000000000002
0.15577889447236193,2.7840000000000003
0.16582914572864316,2.7920000000000003
0.17587939698492461,2.8000000000000003
0.18592964824120606,2.8080000000000003
0.19597989949748751,2.818
0.20603015075376896,2.826
0.21608040201005019,2.834
0.22613065326633164,2.844
0.23618090452261309,2.852
0.24623115577889454,2.86
0.25628140703517599,2.87
0.26633165829145722,2.878
0.27638190954773867,2.886
0.28643216080402012,2.894
0.29648241206030157,2.902
0.30653266331658302,2.91
0.31658291457286425,2.918
0.3266331658291457,2.926
0.33668341708542715,2.936
0.3467336683417086,2.944
0.35678391959799005,2.952
0.36683417085427128,2.962
0.37688442211055273,2.97
0.38693467336683418,2.978
0.39698492462311563,2.986
0.40703517587939708,2.996
0.41708542713567831,3.0020000000000002
0.42713567839195976,3.012
0.43718592964824121,3.02
0.44723618090452266,3.028
0.45728643216080411,3.036
0.46733668341708534,3.044
0.47738693467336679,3.0540000000000003
0.48743718592964824,3.0620000000000003
0.49748743718592969,3.0700000000000003
0.50753768844221114,3.08
0.51758793969849259,3.088
0.52763819095477382,3.096
0.53768844221105527,3.104
0.54773869346733672,3.112
0.55778894472361817,3.12
0.56783919597989962,3.13
0.57788944723618085,3.138
0.5879396984924623,3.146
0.59798994974874375,3.156
0.6080402010050252,3.164
0.61809045226130666,3.172
0.62814070351758788,3.182
0.63819095477386933,3.19
0.64824120603015079,3.198
0.65829145728643224,3.208
0.66834170854271369,3.216
0.67839195979899491,3.224
0.68844221105527637,3.232
0.69849246231155782,3.24
0.70854271356783927,3.248
0.71859296482412072,3.258
0.72864321608040195,3.266
0.7386934673366834,3.274
0.74874371859296485,3.2840000000000003
0.7587939698492463,3.2920000000000003
0.76884422110552775,3.302
0.77889447236180898,3.31
0.78894472361809043,3.318
0.79899497487437188,3.326
0.80904522613065333,3.334
0.81909547738693478,3.342
0.82914572864321601,3.35
0.83919597989949746,3.36
0.84924623115577891,3.368
0.85929648241206036,3.376
0.86934673366834181,3.386
0.87939698492462304,3.394
0.88944723618090449,3.402
0.89949748743718594,3.412
0.90954773869346739,3.42
0.91959798994974884,3.428
0.92964824120603007,3.436
0.93969849246231152,3.444
0.94974874371859297,3.452
0.95979899497487442,3.462
0.96984924623115587,3.47
0.97989949748743732,3.478
0.98994974874371855,3.488
1.0,3.496
