V_input,I_1
-0.29999999999999999,-1.6e-09
-0.29879759519038074,-3.4000000000000003e-09
-0.29759519038076149,-1e-09
-0.29639278557114229,-8e-10
-0.29519038076152304,-8e-10
-0.29398797595190379,-1.3e-09
-0.29278557114228454,1.8e-09
-0.29158316633266534,-5e-10
-0.29038076152304609,-1.2e-09
-0.28917835671342684,4e-10
-0.28797595190380759,-2e-10
-0.28677354709418834,-1.6e-09
-0.28557114228456915,-4e-10
-0.2843687374749499,-1.2e-09
-0.28316633266533064,7.000000000000001e-10
-0.28196392785571139,-1.1000000000000001e-09
-0.2807615230460922,-2.1e-09
-0.27955911823647295,-1.2e-09
-0.2783567134268537,9e-10
-0.27715430861723445,8e-10
-0.2759519038076152,-9e-10
-0.274749498997996,-9e-10
-0.27354709418837675,-5e-10
-0.2723446893787575,-1.7000000000000001e-09
-0.27114228456913825,-1.6e-09
-0.26993987975951905,5e-10
-0.2687374749498998,-8e-10
-0.26753507014028055,1.2e-09
-0.2663326653306613,2.2000000000000003e-09
-0.26513026052104205,-1.5e-09
-0.26392785571142285,-1.5e-09
-0.2627254509018036,-3e-10
-0.26152304609218435,1.5e-09
-0.2603206412825651,-1e-09
-0.25911823647294591,-7.000000000000001e-10
-0.25791583166332666,-5e-10
-0.2567134268537074,1.8e-09
-0.25551102204408815,1e-10
-0.25430861723446896,-3e-10
-0.25310621242484971,6e-10
-0.25190380761523046,0.0
-0.25070140280561121,-3e-10
-0.24949899799599198,-6e-10
-0.24829659318637273,3e-10
-0.24709418837675351,1.1000000000000001e-09
-0.24589178356713426,3e-10
-0.24468937875751501,2e-09
-0.24348697394789579,1.4000000000000001e-09
-0.24228456913827656,-5e-10
-0.24108216432865731,2.2000000000000003e-09
-0.23987975951903806,1.1000000000000001e-09
-0.23867735470941884,-2e-10
-0.23747494989979959,2.1e-09
-0.23627254509018036,-1e-09
-0.23507014028056111,1.3e-09
-0.23386773547094186,9e-10
-0.23266533066132264,-1.3e-09
-0.23146292585170342,2e-10
-0.23026052104208417,1.7000000000000001e-09
-0.22905811623246491,1.6e-09
-0.22785571142284566,9e-10
-0.22665330661322644,1.2e-09
-0.22545090180360722,1.3e-09
-0.22424849699398797,3.8e-09
-0.22304609218436872,2.3e-09
-0.22184368737474949,1.5e-09
-0.22064128256513027,1.5e-09
-0.21943887775551102,2e-10
-0.21823647294589177,1.3e-09
-0.21703406813627252,1.5e-09
-0.21583166332665329,2.8000000000000003e-09
-0.21462925851703407,2.7e-09
-0.21342685370741482,4.3000000000000005e-09
-0.21222444889779557,3.2e-09
-0.21102204408817635,5.1e-09
-0.20981963927855712,4.2e-09
-0.20861723446893787,4e-09
-0.20741482965931862,4.6e-09
-0.20621242484969937,4.1e-09
-0.20501002004008015,4.2e-09
-0.20380761523046093,4.7e-09
-0.20260521042084167,5e-09
-0.20140280561122242,5.3e-09
-0.2002004008016032,6.9000000000000006e-09
-0.19899799599198398,5.3e-09
-0.19779559118236473,6.8000000000000005e-09
-0.19659318637274548,7.2e-09
-0.19539078156312623,5.8e-09
-0.194188376753507,7.2e-09
-0.19298597194388778,7.6e-09
-0.19178356713426853,7.2e-09
-0.19058116232464928,8.7e-09
-0.18937875751503006,7.000000000000001e-09
-0.18817635270541083,9.1e-09
-0.18697394789579158,8e-09
-0.18577154308617233,1e-08
-0.18456913827655311,9.5e-09
-0.18336673346693386,8.800000000000001e-09
-0.18216432865731463,1.2700000000000001e-08
-0.18096192384769538,1.07e-08
-0.17975951903807613,9.8e-09
-0.17855711422845691,1.32e-08
-0.17735470941883769,1.26e-08
-0.17615230460921844,1.2e-08
-0.17494989979959918,1.28e-08
-0.17374749498997996,1.2500000000000001e-08
-0.17254509018036071,1.51e-08
-0.17134268537074149,1.51e-08
-0.17014028056112224,1.71e-08
-0.16893787575150301,1.68e-08
-0.16773547094188376,1.78e-08
-0.16653306613226451,1.74e-08
-0.16533066132264529,1.99e-08
-0.16412825651302604,2.03e-08
-0.16292585170340682,1.97e-08
-0.16172344689378756,2.07e-08
-0.16052104208416834,2.12e-08
-0.15931863727454909,2.15e-08
-0.15811623246492987,2.3900000000000002e-08
-0.15691382765531062,2.47e-08
-0.15571142284569137,2.48e-08
-0.15450901803607214,2.5700000000000002e-08
-0.15330661322645289,2.8300000000000002e-08
-0.15210420841683367,2.77e-08
-0.15090180360721442,2.9800000000000002e-08
-0.1496993987975952,3.05e-08
-0.14849699398797594,3.05e-08
-0.14729458917835672,3.1500000000000004e-08
-0.14609218436873747,3.28e-08
-0.14488977955911822,3.84e-08
-0.143687374749499,3.5200000000000004e-08
-0.14248496993987975,3.9600000000000004e-08
-0.14128256513026052,3.8200000000000005e-08
-0.14008016032064127,4.37e-08
-0.13887775551102205,4.12e-08
-0.1376753507014028,4.58e-08
-0.13647294589178358,4.4100000000000004e-08
-0.13527054108216433,4.5e-08
-0.13406813627254507,4.9300000000000005e-08
-0.13286573146292585,5.11e-08
-0.1316633266533066,5.1500000000000005e-08
