V_input,I_1
-0.29999999999999999,-2e-07
-0.29698492462311554,1.0000000000000001e-07
-0.29396984924623115,6.070000000000001e-08
-0.29095477386934671,5.5900000000000004e-08
-0.28793969849246231,4.7800000000000005e-08
-0.28492462311557787,3.63e-08
-0.28190954773869348,3.42e-08
-0.27889447236180903,3.4500000000000005e-08
-0.27587939698492459,2.5700000000000002e-08
-0.27286432160804019,2.34e-08
-0.26984924623115575,2.16e-08
-0.26683417085427136,2.07e-08
-0.26381909547738691,1.93e-08
-0.26080402010050252,1.84e-08
-0.25778894472361807,1.68e-08
-0.25477386934673363,1.67e-08
-0.25175879396984924,1.5000000000000002e-08
-0.24874371859296482,1.37e-08
-0.2457286432160804,1.41e-08
-0.24271356783919595,1.52e-08
-0.23969849246231156,1.41e-08
-0.23668341708542712,1.51e-08
-0.2336683417085427,1.4000000000000001e-08
-0.23065326633165828,1.15e-08
-0.22763819095477386,1.16e-08
-0.22462311557788944,1.43e-08
-0.22160804020100502,1.45e-08
-0.21859296482412061,1.6e-08
-0.21557788944723616,1.3600000000000001e-08
-0.21256281407035177,1.56e-08
-0.20954773869346732,1.5000000000000002e-08
-0.2065326633165829,1.52e-08
-0.20351758793969849,1.48e-08
-0.20050251256281407,1.59e-08
-0.19748743718592965,1.88e-08
-0.1944723618090452,1.8300000000000002e-08
-0.19145728643216081,2.0200000000000002e-08
-0.18844221105527637,2.34e-08
-0.18542713567839195,2.16e-08
-0.18241206030150753,2.36e-08
-0.17939698492462311,2.5000000000000002e-08
-0.17638190954773869,2.6e-08
-0.17336683417085427,2.84e-08
-0.17035175879396985,3.11e-08
-0.16733668341708541,3.32e-08
-0.16432160804020099,3.55e-08
-0.16130653266331657,4.09e-08
-0.15829145728643215,4.3300000000000004e-08
-0.15527638190954773,4.69e-08
-0.15226130653266332,5.05e-08
-0.1492462311557789,5.5100000000000004e-08
-0.14623115577889448,5.8e-08
-0.14321608040201006,6.54e-08
-0.14020100502512561,6.83e-08
-0.13718592964824119,7.59e-08
-0.13417085427135678,8.18e-08
-0.13115577889447236,9.09e-08
-0.12814070351758794,9.770000000000001e-08
-0.12512562814070352,1.043e-07
-0.1221105527638191,1.154e-07
-0.11909547738693466,1.237e-07
-0.11608040201005024,1.319e-07
-0.11306532663316582,1.4220000000000002e-07
-0.1100502512562814,1.546e-07
-0.10703517587939698,1.654e-07
-0.10402010050251256,1.79e-07
-0.10100502512562815,1.9190000000000002e-07
-0.097989949748743727,2.03e-07
-0.094974874371859308,2.1800000000000002e-07
-0.091959798994974862,2.2900000000000003e-07
-0.088944723618090443,2.49e-07
-0.085929648241206025,2.66e-07
-0.082914572864321606,2.84e-07
-0.079899497487437188,3.06e-07
-0.076884422110552769,3.27e-07
-0.073869346733668351,3.5500000000000004e-07
-0.070854271356783904,3.77e-07
-0.067839195979899486,3.9300000000000004e-07
-0.064824120603015067,4.21e-07
-0.061809045226130649,4.49e-07
-0.05879396984924623,4.7600000000000003e-07
-0.055778894472361812,5.03e-07
-0.052763819095477393,5.33e-07
-0.049748743718592947,5.71e-07
-0.046733668341708556,6.02e-07
-0.04371859296482411,6.420000000000001e-07
-0.040703517587939719,6.67e-07
-0.037688442211055273,7.030000000000001e-07
-0.034673366834170827,7.450000000000001e-07
-0.031658291457286436,7.73e-07
-0.02864321608040199,8.130000000000001e-07
-0.025628140703517599,8.540000000000001e-07
-0.022613065326633153,8.88e-07
-0.019597989949748762,9.310000000000001e-07
-0.016582914572864316,9.7e-07
-0.013567839195979925,1.0080000000000001e-06
-0.010552763819095479,1.0500000000000001e-06
-0.0075376884422110324,1.0900000000000002e-06
-0.0045226130653266416,1.125e-06
-0.0015075376884421954,1.17e-06
0.0015075376884421954,1.2110000000000001e-06
0.0045226130653266416,1.25e-06
0.0075376884422110324,1.286e-06
0.010552763819095479,1.3300000000000002e-06
0.013567839195979869,1.368e-06
0.016582914572864316,1.4030000000000002e-06
0.019597989949748762,1.446e-06
0.022613065326633153,1.483e-06
0.025628140703517599,1.5130000000000002e-06
0.02864321608040199,1.5520000000000001e-06
0.031658291457286436,1.587e-06
0.034673366834170827,1.621e-06
0.037688442211055273,1.6590000000000001e-06
0.040703517587939719,1.697e-06
0.04371859296482411,1.726e-06
0.046733668341708556,1.7580000000000002e-06
0.049748743718592947,1.79e-06
0.052763819095477393,1.819e-06
0.055778894472361784,1.8540000000000002e-06
0.05879396984924623,1.8820000000000001e-06
0.061809045226130677,1.906e-06
0.064824120603015067,1.9310000000000002e-06
0.067839195979899514,1.9590000000000002e-06
0.070854271356783904,1.984e-06
0.073869346733668351,1.94e-06
0.076884422110552741,1.95e-06
0.079899497487437188,1.97e-06
0.082914572864321578,1.99e-06
0.085929648241206025,2.0100000000000002e-06
0.088944723618090471,2.02e-06
0.091959798994974862,2.04e-06
0.094974874371859308,2.06e-06
0.097989949748743699,2.07e-06
0.10100502512562815,2.09e-06
0.10402010050251254,2.1000000000000002e-06
0.10703517587939698,2.12e-06
