V_input,I_1
-0.29999999999999999,2e-10
-0.29879759519038074,-1.4000000000000001e-09
-0.29759519038076149,-2.1e-09
-0.29639278557114229,0.0
-0.29519038076152304,7.000000000000001e-10
-0.29398797595190379,-1.6e-09
-0.29278557114228454,1.2e-09
-0.29158316633266534,1.4000000000000001e-09
-0.29038076152304609,-1.6e-09
-0.28917835671342684,0.0
-0.28797595190380759,-3e-10
-0.28677354709418834,-1e-09
-0.28557114228456915,-3e-10
-0.2843687374749499,-1.2e-09
-0.28316633266533064,-1.8e-09
-0.28196392785571139,4e-10
-0.2807615230460922,-7.000000000000001e-10
-0.27955911823647295,-1.7000000000000001e-09
-0.2783567134268537,5e-10
-0.27715430861723445,-4e-10
-0.2759519038076152,-1.2e-09
-0.274749498997996,3e-10
-0.27354709418837675,1e-10
-0.2723446893787575,-4e-10
-0.27114228456913825,-9e-10
-0.26993987975951905,7.000000000000001e-10
-0.2687374749498998,-2.3e-09
-0.26753507014028055,-3e-10
-0.2663326653306613,-1.5e-09
-0.26513026052104205,-9e-10
-0.26392785571142285,3e-10
-0.2627254509018036,-7.000000000000001e-10
-0.26152304609218435,0.0
-0.2603206412825651,9e-10
-0.25911823647294591,2e-10
-0.25791583166332666,-1.5e-09
-0.2567134268537074,6e-10
-0.25551102204408815,-6e-10
-0.25430861723446896,2e-09
-0.25310621242484971,-1.1000000000000001e-09
-0.25190380761523046,7.000000000000001e-10
-0.25070140280561121,4e-10
-0.24949899799599198,2e-10
-0.24829659318637273,-1.3e-09
-0.24709418837675351,1.7000000000000001e-09
-0.24589178356713426,1.1000000000000001e-09
-0.24468937875751501,6e-10
-0.24348697394789579,-1.4000000000000001e-09
-0.24228456913827656,-5e-10
-0.24108216432865731,1e-09
-0.23987975951903806,1.5e-09
-0.23867735470941884,-4e-10
-0.23747494989979959,2.4e-09
-0.23627254509018036,1.3e-09
-0.23507014028056111,4e-10
-0.23386773547094186,1.9e-09
-0.23266533066132264,1.3e-09
-0.23146292585170342,1.4000000000000001e-09
-0.23026052104208417,1.8e-09
-0.22905811623246491,-5e-10
-0.22785571142284566,1.6e-09
-0.22665330661322644,3.4000000000000003e-09
-0.22545090180360722,2e-10
-0.22424849699398797,3.6e-09
-0.22304609218436872,2.1e-09
-0.22184368737474949,2.6e-09
-0.22064128256513027,1.3e-09
-0.21943887775551102,2.7e-09
-0.21823647294589177,2.1e-09
-0.21703406813627252,1.8e-09
-0.21583166332665329,3.9e-09
-0.21462925851703407,1.1000000000000001e-09
-0.21342685370741482,3.4000000000000003e-09
-0.21222444889779557,4.2e-09
-0.21102204408817635,1.6e-09
-0.20981963927855712,3.7e-09
-0.20861723446893787,2.6e-09
-0.20741482965931862,4.1e-09
-0.20621242484969937,4.5e-09
-0.20501002004008015,5e-09
-0.20380761523046093,6.4e-09
-0.20260521042084167,5.3e-09
-0.20140280561122242,2.8000000000000003e-09
-0.2002004008016032,7.000000000000001e-09
-0.19899799599198398,7.8e-09
-0.19779559118236473,4.9e-09
-0.19659318637274548,5.8e-09
-0.19539078156312623,5.6000000000000005e-09
-0.194188376753507,8.1e-09
-0.19298597194388778,6.8000000000000005e-09
-0.19178356713426853,8.3e-09
-0.19058116232464928,7.7e-09
-0.18937875751503006,7.8e-09
-0.18817635270541083,9.3e-09
-0.18697394789579158,7.7e-09
-0.18577154308617233,9.4e-09
-0.18456913827655311,1.21e-08
-0.18336673346693386,9.2e-09
-0.18216432865731463,1.32e-08
-0.18096192384769538,1.05e-08
-0.17975951903807613,1.35e-08
-0.17855711422845691,1.08e-08
-0.17735470941883769,1.35e-08
-0.17615230460921844,1.16e-08
-0.17494989979959918,1.29e-08
-0.17374749498997996,1.6100000000000002e-08
-0.17254509018036071,1.59e-08
-0.17134268537074149,1.56e-08
-0.17014028056112224,1.73e-08
-0.16893787575150301,1.77e-08
-0.16773547094188376,2.06e-08
-0.16653306613226451,1.64e-08
-0.16533066132264529,1.79e-08
-0.16412825651302604,1.95e-08
-0.16292585170340682,1.97e-08
-0.16172344689378756,2.26e-08
-0.16052104208416834,2.26e-08
-0.15931863727454909,2.33e-08
-0.15811623246492987,2.36e-08
-0.15691382765531062,2.45e-08
-0.15571142284569137,2.55e-08
-0.15450901803607214,2.71e-08
-0.15330661322645289,2.7600000000000002e-08
-0.15210420841683367,2.7200000000000002e-08
-0.15090180360721442,2.93e-08
-0.1496993987975952,2.97e-08
-0.14849699398797594,3.12e-08
-0.14729458917835672,3.41e-08
-0.14609218436873747,3.4500000000000005e-08
-0.14488977955911822,3.28e-08
-0.143687374749499,3.93e-08
-0.14248496993987975,3.56e-08
-0.14128256513026052,3.75e-08
-0.14008016032064127,4.1100000000000004e-08
-0.13887775551102205,4.13e-08
-0.1376753507014028,4.54e-08
-0.13647294589178358,4.59e-08
-0.13527054108216433,4.73e-08
-0.13406813627254507,4.89e-08
-0.13286573146292585,5.02e-08
-0.1316633266533066,5.49e-08
-0.13046092184368738,5.39e-08
-0.12925851703406813,5.5e-08
-0.1280561122244489,5.86e-08
-0.12685370741482965,6.1e-08
-0.12565130260521043,6.31e-08
-0.12444889779559118,6.46e-08
-0.12324649298597193,6.82e-08
-0.12204408817635271,7.02e-08
-0.12084168336673345,7.040000000000001e-08
-0.11963927855711423,7.620000000000001e-08
-0.11843687374749498,7.46e-08
-0.11723446893787576,8e-08
-0.11603206412825651,8.220000000000001e-08
-0.11482965931863728,8.58e-08
-0.11362725450901803,8.65e-08
-0.11242484969939878,9.02e-08
-0.11122244488977956,9.46e-08
-0.11002004008016031,9.82e-08
-0.10881763527054109,1.0000000000000001e-07
-0.10761523046092183,1.033e-07
-0.10641282565130261,1.055e-07
-0.10521042084168336,1.103e-07
-0.10400801603206414,1.121e-07
-0.10280561122244489,1.1410000000000001e-07
-0.10160320641282564,1.209e-07
-0.10040080160320641,1.2390000000000002e-07
-0.099198396793587162,1.292e-07
-0.097995991983967939,1.325e-07
-0.096793587174348689,1.35e-07
-0.095591182364729466,1.428e-07
