V_input,I_1
-0.12512562814070352,1.272e-07
-0.1221105527638191,1.359e-07
-0.11909547738693466,1.477e-07
-0.11608040201005024,1.62e-07
-0.11306532663316582,1.716e-07
-0.1100502512562814,1.849e-07
-0.10703517587939698,2.013e-07
-0.10402010050251256,2.1e-07
-0.10100502512562815,2.2400000000000002e-07
-0.097989949748743727,2.46e-07
-0.094974874371859308,2.61e-07
-0.091959798994974862,2.8300000000000003e-07
-0.088944723618090443,3.03e-07
-0.085929648241206025,3.2400000000000004e-07
-0.082914572864321606,3.46e-07
-0.079899497487437188,3.6900000000000004e-07
-0.076884422110552769,3.99e-07
-0.073869346733668351,4.2700000000000005e-07
-0.070854271356783904,4.52e-07
-0.067839195979899486,4.82e-07
-0.064824120603015067,5.09e-07
-0.061809045226130649,5.41e-07
-0.05879396984924623,5.7e-07
-0.055778894472361812,6.09e-07
-0.052763819095477393,6.43e-07
-0.049748743718592947,6.81e-07
-0.046733668341708556,7.210000000000001e-07
-0.04371859296482411,7.63e-07
-0.040703517587939719,7.98e-07
-0.037688442211055273,8.4e-07
-0.034673366834170827,8.830000000000001e-07
-0.031658291457286436,9.25e-07
-0.02864321608040199,9.65e-07
-0.025628140703517599,1.013e-06
-0.022613065326633153,1.0530000000000001e-06
-0.019597989949748762,1.099e-06
-0.016582914572864316,1.142e-06
-0.013567839195979925,1.1940000000000001e-06
-0.010552763819095479,1.235e-06
-0.0075376884422110324,1.278e-06
-0.0045226130653266416,1.3240000000000002e-06
-0.0015075376884421954,1.3830000000000001e-06
0.0015075376884421954,1.4200000000000002e-06
0.0045226130653266416,1.469e-06
0.0075376884422110324,1.509e-06
0.010552763819095479,1.5550000000000001e-06
0.013567839195979869,1.6000000000000001e-06
0.016582914572864316,1.647e-06
0.019597989949748762,1.686e-06
0.022613065326633153,1.731e-06
0.025628140703517599,1.7750000000000002e-06
0.02864321608040199,1.8150000000000002e-06
0.031658291457286436,1.8540000000000002e-06
0.034673366834170827,1.898e-06
0.037688442211055273,1.936e-06
0.040703517587939719,1.9770000000000003e-06
0.04371859296482411,1.94e-06
0.046733668341708556,1.97e-06
0.049748743718592947,2.0100000000000002e-06
0.052763819095477393,2.05e-06
0.055778894472361784,2.08e-06
0.05879396984924623,2.11e-06
0.061809045226130677,2.15e-06
0.064824120603015067,2.18e-06
0.067839195979899514,2.21e-06
0.070854271356783904,2.2300000000000002e-06
0.073869346733668351,2.26e-06
0.076884422110552741,2.29e-06
0.079899497487437188,2.31e-06
0.082914572864321578,2.34e-06
0.085929648241206025,2.36e-06
0.088944723618090471,2.38e-06
