V_input,V
-1.0,1.836
-0.98994974874371855,1.834
-0.97989949748743721,1.834
-0.96984924623115576,1.834
-0.95979899497487442,1.834
-0.94974874371859297,1.836
-0.93969849246231152,1.836
-0.92964824120603018,1.836
-0.91959798994974873,1.836
-0.90954773869346739,1.836
-0.89949748743718594,1.836
-0.88944723618090449,1.836
-0.87939698492462315,1.836
-0.8693467336683417,1.836
-0.85929648241206036,1.836
-0.84924623115577891,1.836
-0.83919597989949746,1.836
-0.82914572864321612,1.836
-0.81909547738693467,1.836
-0.80904522613065333,1.836
-0.79899497487437188,1.836
-0.78894472361809043,1.836
-0.77889447236180898,1.836
-0.76884422110552764,1.836
-0.7587939698492463,1.836
-0.74874371859296485,1.836
-0.7386934673366834,1.836
-0.72864321608040195,1.836
-0.71859296482412061,1.836
-0.70854271356783927,1.836
-0.69849246231155782,1.836
-0.68844221105527637,1.836
-0.67839195979899491,1.836
-0.66834170854271358,1.836
-0.65829145728643224,1.836
-0.64824120603015079,1.836
-0.63819095477386933,1.836
-0.62814070351758788,1.836
-0.61809045226130654,1.836
-0.60804020100502509,1.836
-0.59798994974874375,1.836
-0.5879396984924623,1.836
-0.57788944723618085,1.836
-0.56783919597989951,1.836
-0.55778894472361806,1.836
-0.54773869346733672,1.836
-0.53768844221105527,1.836
-0.52763819095477382,1.836
-0.51758793969849248,1.836
-0.50753768844221103,1.836
-0.49748743718592969,1.836
-0.48743718592964824,1.836
-0.47738693467336679,1.836
-0.46733668341708545,1.836
-0.457286432160804,1.836
-0.44723618090452255,1.836
-0.43718592964824121,1.836
-0.42713567839195976,1.836
-0.41708542713567842,1.836
-0.40703517587939697,1.836
-0.39698492462311552,1.836
-0.38693467336683418,1.836
-0.37688442211055273,1.836
-0.36683417085427139,1.836
-0.35678391959798994,1.836
-0.34673366834170849,1.836
-0.33668341708542715,1.836
-0.3266331658291457,1.836
-0.31658291457286436,1.836
-0.30653266331658291,1.836
-0.29648241206030146,1.836
-0.28643216080402012,1.836
-0.27638190954773867,1.836
-0.26633165829145733,1.836
-0.25628140703517588,1.836
-0.24623115577889443,1.836
-0.23618090452261309,1.836
-0.22613065326633164,1.836
-0.21608040201005019,1.836
-0.20603015075376885,1.836
-0.1959798994974874,1.836
-0.18592964824120606,1.836
-0.17587939698492461,1.836
-0.16582914572864316,1.836
-0.15577889447236182,1.836
-0.14572864321608037,1.836
-0.13567839195979903,1.836
-0.12562814070351758,1.838
-0.11557788944723613,1.838
-0.10552763819095479,1.838
-0.095477386934673336,1.84
-0.085427135678391997,1.84
-0.075376884422110546,1.842
-0.065326633165829096,1.844
-0.055276381909547756,1.846
-0.045226130653266305,1.848
-0.035175879396984966,1.85
-0.025125628140703515,1.854
-0.015075376884422065,1.858
-0.0050251256281407253,1.862
0.0050251256281406143,1.866
0.015075376884422065,1.87
0.025125628140703515,1.874
0.035175879396984966,1.8800000000000001
0.045226130653266416,1.8860000000000001
0.055276381909547645,1.8920000000000001
0.065326633165829096,1.8980000000000001
0.075376884422110546,1.9040000000000001
0.085427135678391997,1.9120000000000001
0.095477386934673447,1.92
0.1055276381909549,1.926
0.11557788944723613,1.934
0.12562814070351758,1.942
0.13567839195979903,1.95
0.14572864321608048,1.958
0.15577889447236193,1.966
0.16582914572864316,1.974
0.17587939698492461,1.982
0.18592964824120606,1.99
0.19597989949748751,1.998
0.20603015075376896,2.0060000000000002
0.21608040201005019,2.0140000000000002
0.22613065326633164,2.0220000000000002
0.23618090452261309,2.0300000000000002
0.24623115577889454,2.04
0.25628140703517599,2.048
0.26633165829145722,2.056
0.27638190954773867,2.064
0.28643216080402012,2.072
0.29648241206030157,2.08
0.30653266331658302,2.088
0.31658291457286425,2.096
0.3266331658291457,2.104
0.33668341708542715,2.112
0.3467336683417086,2.122
0.35678391959799005,2.13
0.36683417085427128,2.138
0.37688442211055273,2.146
0.38693467336683418,2.154
0.39698492462311563,2.164
0.40703517587939708,2.17
0.41708542713567831,2.18
0.42713567839195976,2.186
0.43718592964824121,2.196
0.44723618090452266,2.202
0.45728643216080411,2.212
0.46733668341708534,2.22
0.47738693467336679,2.228
0.48743718592964824,2.238
0.49748743718592969,2.246
0.50753768844221114,2.254
0.51758793969849259,2.262
0.52763819095477382,2.27
0.53768844221105527,2.278
0.54773869346733672,2.286
0.55778894472361817,2.2960000000000003
0.56783919597989962,2.3040000000000003
0.57788944723618085,2.312
0.5879396984924623,2.32
0.59798994974874375,2.328
0.6080402010050252,2.338
0.61809045226130666,2.346
0.62814070351758788,2.354
0.63819095477386933,2.362
0.64824120603015079,2.372
0.65829145728643224,2.38
0.66834170854271369,2.388
0.67839195979899491,2.396
0.68844221105527637,2.404
0.69849246231155782,2.412
0.70854271356783927,2.42
0.71859296482412072,2.43
0.72864321608040195,2.438
0.7386934673366834,2.446
0.74874371859296485,2.454
0.7587939698492463,2.464
0.76884422110552775,2.472
0.77889447236180898,2.48
0.78894472361809043,2.488
0.79899497487437188,2.496
0.80904522613065333,2.504
0.81909547738693478,2.512
0.82914572864321601,2.52
0.83919597989949746,2.5300000000000002
0.84924623115577891,2.5380000000000003
0.85929648241206036,2.5460000000000003
0.86934673366834181,2.5540000000000003
0.87939698492462304,2.564
0.88944723618090449,2.572
0.89949748743718594,2.58
0.90954773869346739,2.588
0.91959798994974884,2.596
0.92964824120603007,2.604
0.93969849246231152,2.612
0.94974874371859297,2.62
0.95979899497487442,2.63
0.96984924623115587,2.638
0.97989949748743732,2.646
0.98994974874371855,2.656
1.0,2.664
