V_input,I_1
-0.29999999999999999,2e-06
-0.29698492462311554,2.28e-06
-0.29396984924623115,2.2300000000000002e-06
-0.29095477386934671,2.21e-06
-0.28793969849246231,2.2e-06
-0.28492462311557787,2.19e-06
-0.28190954773869348,2.19e-06
-0.27889447236180903,2.18e-06
-0.27587939698492459,2.18e-06
-0.27286432160804019,2.17e-06
-0.26984924623115575,2.17e-06
-0.26683417085427136,2.17e-06
-0.26381909547738691,2.17e-06
-0.26080402010050252,2.18e-06
-0.25778894472361807,2.17e-06
-0.25477386934673363,2.17e-06
-0.25175879396984924,2.17e-06
-0.24874371859296482,2.17e-06
-0.2457286432160804,2.17e-06
-0.24271356783919595,2.17e-06
-0.23969849246231156,2.16e-06
-0.23668341708542712,2.16e-06
-0.2336683417085427,2.16e-06
-0.23065326633165828,2.16e-06
-0.22763819095477386,2.16e-06
-0.22462311557788944,2.16e-06
-0.22160804020100502,2.16e-06
-0.21859296482412061,2.16e-06
-0.21557788944723616,2.16e-06
-0.21256281407035177,2.16e-06
-0.20954773869346732,2.16e-06
-0.2065326633165829,2.16e-06
-0.20351758793969849,2.16e-06
-0.20050251256281407,2.16e-06
-0.19748743718592965,2.15e-06
-0.1944723618090452,2.15e-06
-0.19145728643216081,2.15e-06
-0.18844221105527637,2.15e-06
-0.18542713567839195,2.15e-06
-0.18241206030150753,2.15e-06
-0.17939698492462311,2.15e-06
-0.17638190954773869,2.14e-06
-0.17336683417085427,2.15e-06
-0.17035175879396985,2.14e-06
-0.16733668341708541,2.13e-06
-0.16432160804020099,2.13e-06
-0.16130653266331657,2.13e-06
-0.15829145728643215,2.12e-06
-0.15527638190954773,2.13e-06
-0.15226130653266332,2.12e-06
-0.1492462311557789,2.11e-06
-0.14623115577889448,2.11e-06
-0.14321608040201006,2.1000000000000002e-06
-0.14020100502512561,2.1000000000000002e-06
-0.13718592964824119,2.09e-06
-0.13417085427135678,2.08e-06
-0.13115577889447236,2.08e-06
-0.12814070351758794,2.07e-06
-0.12512562814070352,2.06e-06
-0.1221105527638191,2.05e-06
-0.11909547738693466,2.04e-06
-0.11608040201005024,2.03e-06
-0.11306532663316582,2.03e-06
-0.1100502512562814,2.02e-06
-0.10703517587939698,2e-06
-0.10402010050251256,1.99e-06
-0.10100502512562815,1.98e-06
-0.097989949748743727,1.96e-06
-0.094974874371859308,1.95e-06
-0.091959798994974862,1.93e-06
-0.088944723618090443,1.9200000000000003e-06
-0.085929648241206025,1.9e-06
-0.082914572864321606,1.8900000000000001e-06
-0.079899497487437188,1.86e-06
-0.076884422110552769,1.85e-06
-0.073869346733668351,1.82e-06
-0.070854271356783904,1.81e-06
-0.067839195979899486,1.7800000000000001e-06
-0.064824120603015067,1.76e-06
-0.061809045226130649,1.74e-06
-0.05879396984924623,1.71e-06
-0.055778894472361812,1.67e-06
-0.052763819095477393,1.65e-06
-0.049748743718592947,1.61e-06
-0.046733668341708556,1.5800000000000001e-06
-0.04371859296482411,1.55e-06
-0.040703517587939719,1.51e-06
-0.037688442211055273,1.48e-06
-0.034673366834170827,1.45e-06
-0.031658291457286436,1.42e-06
-0.02864321608040199,1.3800000000000001e-06
-0.025628140703517599,1.35e-06
-0.022613065326633153,1.31e-06
-0.019597989949748762,1.2700000000000001e-06
-0.016582914572864316,1.23e-06
-0.013567839195979925,1.2e-06
-0.010552763819095479,1.1600000000000001e-06
-0.0075376884422110324,1.12e-06
-0.0045226130653266416,1.08e-06
-0.0015075376884421954,1.04e-06
0.0015075376884421954,1.01e-06
0.0045226130653266416,1.037e-06
0.0075376884422110324,1.003e-06
0.010552763819095479,9.64e-07
0.013567839195979869,9.29e-07
0.016582914572864316,8.94e-07
0.019597989949748762,8.520000000000001e-07
0.022613065326633153,8.19e-07
0.025628140703517599,7.85e-07
0.02864321608040199,7.450000000000001e-07
0.031658291457286436,7.12e-07
0.034673366834170827,6.81e-07
0.037688442211055273,6.450000000000001e-07
0.040703517587939719,6.180000000000001e-07
0.04371859296482411,5.870000000000001e-07
0.046733668341708556,5.54e-07
0.049748743718592947,5.280000000000001e-07
0.052763819095477393,4.88e-07
0.055778894472361784,4.6000000000000004e-07
0.05879396984924623,4.4e-07
0.061809045226130677,4.1400000000000003e-07
0.064824120603015067,3.85e-07
0.067839195979899514,3.61e-07
0.070854271356783904,3.3300000000000003e-07
0.073869346733668351,3.15e-07
0.076884422110552741,2.97e-07
0.079899497487437188,2.73e-07
0.082914572864321578,2.55e-07
0.085929648241206025,2.3600000000000002e-07
0.088944723618090471,2.2e-07
0.091959798994974862,2.08e-07
0.094974874371859308,1.8600000000000002e-07
0.097989949748743699,1.71e-07
0.10100502512562815,1.6200000000000002e-07
0.10402010050251254,1.4500000000000001e-07
0.10703517587939698,1.3900000000000001e-07
0.11005025125628137,1.23e-07
0.11306532663316582,1.1500000000000001e-07
0.11608040201005027,1.08e-07
0.11909547738693466,8.72e-08
0.1221105527638191,9.470000000000001e-08
0.12512562814070349,8.86e-08
0.12814070351758794,8.23e-08
0.13115577889447233,7.24e-08
