V_input,V
-2.0,0.864
-1.9798994974874371,0.863
-1.9597989949748744,0.863
-1.9396984924623115,0.864
-1.9195979899497488,0.864
-1.8994974874371859,0.864
-1.879396984924623,0.864
-1.8592964824120604,0.864
-1.8391959798994975,0.864
-1.8190954773869348,0.864
-1.7989949748743719,0.864
-1.778894472361809,0.864
-1.7587939698492463,0.864
-1.7386934673366834,0.864
-1.7185929648241207,0.864
-1.6984924623115578,0.864
-1.6783919597989949,0.864
-1.6582914572864322,0.864
-1.6381909547738693,0.864
-1.6180904522613067,0.864
-1.5979899497487438,0.864
-1.5778894472361809,0.864
-1.557788944723618,0.864
-1.5376884422110553,0.864
-1.5175879396984926,0.864
-1.4974874371859297,0.864
-1.4773869346733668,0.864
-1.4572864321608039,0.864
-1.4371859296482412,0.864
-1.4170854271356785,0.864
-1.3969849246231156,0.864
-1.3768844221105527,0.864
-1.3567839195979898,0.864
-1.3366834170854272,0.864
-1.3165829145728645,0.864
-1.2964824120603016,0.864
-1.2763819095477387,0.864
-1.2562814070351758,0.865
-1.2361809045226131,0.865
-1.2160804020100502,0.866
-1.1959798994974875,0.866
-1.1758793969849246,0.867
-1.1557788944723617,0.868
-1.135678391959799,0.869
-1.1155778894472361,0.871
-1.0954773869346734,0.872
-1.0753768844221105,0.874
-1.0552763819095476,0.876
-1.035175879396985,0.878
-1.0150753768844221,0.88
-0.99497487437185939,0.882
-0.97487437185929648,0.885
-0.95477386934673358,0.887
-0.9346733668341709,0.89
-0.914572864321608,0.893
-0.8944723618090451,0.896
-0.87437185929648242,0.899
-0.85427135678391952,0.903
-0.83417085427135684,0.906
-0.81407035175879394,0.91
-0.79396984924623104,0.913
-0.77386934673366836,0.917
-0.75376884422110546,0.921
-0.73366834170854278,0.925
-0.71356783919597988,0.929
-0.69346733668341698,0.934
-0.6733668341708543,0.9380000000000001
-0.6532663316582914,0.9430000000000001
-0.63316582914572872,0.9480000000000001
-0.61306532663316582,0.9520000000000001
-0.59296482412060292,0.9570000000000001
-0.57286432160804024,0.962
-0.55276381909547734,0.967
-0.53266331658291466,0.973
-0.51256281407035176,0.978
-0.49246231155778886,0.983
-0.47236180904522618,0.989
-0.45226130653266328,0.994
-0.43216080402010038,1.0
-0.4120603015075377,1.006
-0.3919597989949748,1.012
-0.37185929648241212,1.018
-0.35175879396984921,1.024
-0.33165829145728631,1.03
-0.31155778894472363,1.036
-0.29145728643216073,1.043
-0.27135678391959805,1.05
-0.25125628140703515,1.056
-0.23115577889447225,1.063
-0.21105527638190957,1.07
-0.19095477386934667,1.076
-0.17085427135678399,1.083
-0.15075376884422109,1.091
-0.13065326633165819,1.098
-0.11055276381909551,1.105
-0.090452261306532611,1.112
-0.070351758793969932,1.119
-0.050251256281407031,1.127
-0.03015075376884413,1.135
-0.010050251256281451,1.143
0.010050251256281229,1.151
0.03015075376884413,1.159
0.050251256281407031,1.167
0.070351758793969932,1.175
0.090452261306532833,1.183
0.11055276381909529,1.192
0.13065326633165819,1.2
0.15075376884422109,1.209
0.17085427135678399,1.217
0.19095477386934689,1.225
0.2110552763819098,1.234
0.23115577889447225,1.243
0.25125628140703515,1.252
0.27135678391959805,1.2610000000000001
0.29145728643216096,1.27
0.31155778894472386,1.2790000000000001
0.33165829145728631,1.288
0.35175879396984921,1.297
0.37185929648241212,1.307
0.39195979899497502,1.316
0.41206030150753792,1.326
0.43216080402010038,1.335
0.45226130653266328,1.345
0.47236180904522618,1.355
0.49246231155778908,1.365
0.51256281407035198,1.375
0.53266331658291444,1.385
0.55276381909547734,1.395
0.57286432160804024,1.405
0.59296482412060314,1.416
0.61306532663316604,1.427
0.6331658291457285,1.438
0.6532663316582914,1.449
0.6733668341708543,1.46
0.6934673366834172,1.47
0.7135678391959801,1.481
0.73366834170854256,1.493
0.75376884422110546,1.5050000000000001
0.77386934673366836,1.516
0.79396984924623126,1.5270000000000001
0.81407035175879416,1.539
0.83417085427135662,1.55
0.85427135678391952,1.563
0.87437185929648242,1.575
0.89447236180904532,1.587
0.91457286432160823,1.599
0.93467336683417068,1.611
0.95477386934673358,1.624
0.97487437185929648,1.637
0.99497487437185939,1.6500000000000001
1.0150753768844223,1.6640000000000001
1.0351758793969852,1.677
1.0552763819095476,1.691
1.0753768844221105,1.704
1.0954773869346734,1.718
1.1155778894472363,1.732
1.1356783919597992,1.746
1.1557788944723617,1.762
1.1758793969849246,1.776
1.1959798994974875,1.79
1.2160804020100504,1.805
1.2361809045226133,1.82
1.2562814070351758,1.836
1.2763819095477387,1.852
1.2964824120603016,1.867
1.3165829145728645,1.883
1.3366834170854274,1.8980000000000001
1.3567839195979898,1.915
1.3768844221105527,1.931
1.3969849246231156,1.948
1.4170854271356785,1.964
1.4371859296482414,1.98
1.4572864321608039,1.996
1.4773869346733668,2.0180000000000002
1.4974874371859297,2.0340000000000003
1.5175879396984926,2.05
1.5376884422110555,2.068
1.557788944723618,2.084
1.5778894472361809,2.1
1.5979899497487438,2.116
1.6180904522613067,2.134
1.6381909547738696,2.15
1.658291457286432,2.166
1.6783919597989949,2.182
1.6984924623115578,2.2
1.7185929648241207,2.214
1.7386934673366836,2.232
1.7587939698492461,2.248
1.778894472361809,2.266
1.7989949748743719,2.282
1.8190954773869348,2.298
1.8391959798994977,2.314
1.8592964824120601,2.332
1.879396984924623,2.348
1.8994974874371859,2.364
1.9195979899497488,2.382
1.9396984924623117,2.398
1.9597989949748746,2.414
1.9798994974874371,2.43
2.0,2.446
