V_input,I_1
-0.29999999999999999,1.2e-09
-0.29698492462311554,-1.9e-09
-0.29396984924623115,-1.2e-09
-0.29095477386934671,-6e-10
-0.28793969849246231,0.0
-0.28492462311557787,4e-10
-0.28190954773869348,-3e-10
-0.27889447236180903,2e-10
-0.27587939698492459,-6e-10
-0.27286432160804019,9e-10
-0.26984924623115575,8e-10
-0.26683417085427136,1e-10
-0.26381909547738691,2.7e-09
-0.26080402010050252,4e-10
-0.25778894472361807,2e-09
-0.25477386934673363,1.5e-09
-0.25175879396984924,3.1e-09
-0.24874371859296482,2.5e-09
-0.2457286432160804,2.9e-09
-0.24271356783919595,3.4000000000000003e-09
-0.23969849246231156,1.4000000000000001e-09
-0.23668341708542712,3.4000000000000003e-09
-0.2336683417085427,4.2e-09
-0.23065326633165828,3.3e-09
-0.22763819095477386,4.7e-09
-0.22462311557788944,4.9e-09
-0.22160804020100502,5e-09
-0.21859296482412061,7.8e-09
-0.21557788944723616,6.9000000000000006e-09
-0.21256281407035177,1.0100000000000001e-08
-0.20954773869346732,9.4e-09
-0.2065326633165829,1.32e-08
-0.20351758793969849,1.11e-08
-0.20050251256281407,1.33e-08
-0.19748743718592965,1.54e-08
-0.1944723618090452,1.24e-08
-0.19145728643216081,1.6100000000000002e-08
-0.18844221105527637,1.5000000000000002e-08
-0.18542713567839195,2.12e-08
-0.18241206030150753,2.1e-08
-0.17939698492462311,2.47e-08
-0.17638190954773869,2.64e-08
-0.17336683417085427,3.02e-08
-0.17035175879396985,3.14e-08
-0.16733668341708541,3.6e-08
-0.16432160804020099,3.9e-08
-0.16130653266331657,4.65e-08
-0.15829145728643215,4.6300000000000004e-08
-0.15527638190954773,5.13e-08
-0.15226130653266332,5.78e-08
-0.1492462311557789,6.43e-08
-0.14623115577889448,6.64e-08
-0.14321608040201006,7.74e-08
-0.14020100502512561,8.03e-08
-0.13718592964824119,8.97e-08
-0.13417085427135678,9.69e-08
-0.13115577889447236,1.054e-07
-0.12814070351758794,1.165e-07
-0.12512562814070352,1.2530000000000002e-07
-0.1221105527638191,1.361e-07
-0.11909547738693466,1.481e-07
-0.11608040201005024,1.59e-07
-0.11306532663316582,1.742e-07
-0.1100502512562814,1.8480000000000001e-07
-0.10703517587939698,2.004e-07
-0.10402010050251256,2.09e-07
-0.10100502512562815,2.28e-07
-0.097989949748743727,2.4500000000000004e-07
-0.094974874371859308,2.6400000000000003e-07
-0.091959798994974862,2.8100000000000004e-07
-0.088944723618090443,2.96e-07
-0.085929648241206025,3.2400000000000004e-07
-0.082914572864321606,3.44e-07
-0.079899497487437188,3.7400000000000004e-07
-0.076884422110552769,3.97e-07
-0.073869346733668351,4.21e-07
-0.070854271356783904,4.5000000000000003e-07
-0.067839195979899486,4.77e-07
-0.064824120603015067,5.06e-07
-0.061809045226130649,5.37e-07
-0.05879396984924623,5.730000000000001e-07
-0.055778894472361812,6.05e-07
-0.052763819095477393,6.450000000000001e-07
-0.049748743718592947,6.82e-07
-0.046733668341708556,7.18e-07
-0.04371859296482411,7.63e-07
-0.040703517587939719,8.01e-07
-0.037688442211055273,8.370000000000001e-07
-0.034673366834170827,8.8e-07
-0.031658291457286436,9.22e-07
-0.02864321608040199,9.64e-07
-0.025628140703517599,1.0050000000000001e-06
-0.022613065326633153,1.051e-06
-0.019597989949748762,1.099e-06
-0.016582914572864316,1.144e-06
-0.013567839195979925,1.185e-06
-0.010552763819095479,1.237e-06
-0.0075376884422110324,1.28e-06
-0.0045226130653266416,1.326e-06
-0.0015075376884421954,1.3750000000000002e-06
0.0015075376884421954,1.4220000000000001e-06
0.0045226130653266416,1.4680000000000002e-06
0.0075376884422110324,1.511e-06
0.010552763819095479,1.553e-06
0.013567839195979869,1.5940000000000001e-06
0.016582914572864316,1.6480000000000001e-06
0.019597989949748762,1.6870000000000001e-06
0.022613065326633153,1.729e-06
0.025628140703517599,1.7720000000000001e-06
0.02864321608040199,1.8140000000000001e-06
0.031658291457286436,1.853e-06
0.034673366834170827,1.898e-06
0.037688442211055273,1.934e-06
0.040703517587939719,1.972e-06
0.04371859296482411,1.94e-06
0.046733668341708556,1.97e-06
0.049748743718592947,2.0100000000000002e-06
0.052763819095477393,2.05e-06
0.055778894472361784,2.08e-06
0.05879396984924623,2.11e-06
0.061809045226130677,2.15e-06
0.064824120603015067,2.17e-06
0.067839195979899514,2.21e-06
0.070854271356783904,2.24e-06
0.073869346733668351,2.26e-06
0.076884422110552741,2.28e-06
0.079899497487437188,2.31e-06
0.082914572864321578,2.33e-06
0.085929648241206025,2.36e-06
0.088944723618090471,2.38e-06
0.091959798994974862,2.4e-06
0.094974874371859308,2.42e-06
0.097989949748743699,2.44e-06
0.10100502512562815,2.4500000000000003e-06
0.10402010050251254,2.48e-06
0.10703517587939698,2.49e-06
0.11005025125628137,2.51e-06
0.11306532663316582,2.51e-06
0.11608040201005027,2.53e-06
0.11909547738693466,2.5400000000000002e-06
0.1221105527638191,2.5400000000000002e-06
0.12512562814070349,2.56e-06
0.12814070351758794,2.57e-06
0.13115577889447233,2.58e-06
0.13417085427135678,2.58e-06
0.13718592964824122,2.59e-06
0.14020100502512561,2.6e-06
0.14321608040201006,2.61e-06
0.14623115577889445,2.61e-06
0.1492462311557789,2.61e-06
0.15226130653266329,2.62e-06
0.15527638190954773,2.62e-06
0.15829145728643218,2.6300000000000002e-06
0.16130653266331657,2.6300000000000002e-06
0.16432160804020102,2.64e-06
0.16733668341708541,2.64e-06
0.17035175879396985,2.64e-06
0.17336683417085424,2.65e-06
0.17638190954773869,2.65e-06
0.17939698492462308,2.65e-06
0.18241206030150753,2.65e-06
0.18542713567839197,2.66e-06
0.18844221105527637,2.66e-06
0.19145728643216081,2.66e-06
0.1944723618090452,2.65e-06
0.19748743718592965,2.66e-06
0.20050251256281409,2.66e-06
0.20351758793969849,2.66e-06
0.20653266331658288,2.66e-06
0.20954773869346738,2.67e-06
0.21256281407035177,2.67e-06
0.21557788944723616,2.67e-06
0.21859296482412055,2.67e-06
