V_input,V_out
0.0,-0.006
0.01002004008016032,-0.006
0.02004008016032064,-0.006
0.030060120240480961,-0.006
0.040080160320641281,-0.006
0.050100200400801598,-0.006
0.060120240480961921,-0.006
0.070140280561122245,-0.006
0.080160320641282562,-0.006
0.090180360721442879,-0.006
0.1002004008016032,-0.006
0.11022044088176353,-0.006
0.12024048096192384,-0.006
0.13026052104208416,-0.006
0.14028056112224449,-0.006
0.15030060120240479,-0.006
0.16032064128256512,-0.006
0.17034068136272545,-0.006
0.18036072144288576,-0.006
0.19038076152304609,-0.006
0.20040080160320639,-0.006
0.21042084168336672,-0.006
0.22044088176352705,-0.006
0.23046092184368736,-0.006
0.24048096192384769,-0.006
0.25050100200400799,-0.006
0.26052104208416832,-0.006
0.27054108216432865,-0.006
0.28056112224448898,-0.006
0.29058116232464931,-0.006
0.30060120240480959,-0.006
0.31062124248496992,-0.006
0.32064128256513025,-0.006
0.33066132264529058,-0.006
0.34068136272545091,-0.006
0.35070140280561118,-0.006
0.36072144288577151,-0.006
0.37074148296593185,-0.006
0.38076152304609218,-0.006
0.39078156312625251,-0.006
0.40080160320641278,-0.006
0.41082164328657311,-0.006
0.42084168336673344,-0.006
0.43086172344689377,-0.005
0.4408817635270541,-0.005
0.45090180360721444,-0.005
0.46092184368737471,-0.005
0.47094188376753504,-0.005
0.48096192384769537,-0.005
0.4909819639278557,-0.005
0.50100200400801598,-0.005
0.51102204408817631,-0.005
0.52104208416833664,-0.005
0.53106212424849697,-0.005
0.5410821643286573,-0.004
0.55110220440881763,-0.004
0.56112224448897796,-0.004
0.57114228456913829,-0.003
0.58116232464929862,-0.003
0.59118236472945884,-0.002
0.60120240480961917,-0.002
0.6112224448897795,-0.001
0.62124248496993983,-0.001
0.63126252505010017,0.0
0.6412825651302605,0.001
0.65130260521042083,0.002
0.66132264529058116,0.003
0.67134268537074149,0.004
0.68136272545090182,0.005
0.69138276553106215,0.006
0.70140280561122237,0.007
0.7114228456913827,0.008
0.72144288577154303,0.01
0.73146292585170336,0.011
0.74148296593186369,0.013000000000000001
0.75150300601202402,0.015
0.76152304609218435,0.016
0.77154308617234468,0.018000000000000002
0.78156312625250501,0.02
0.79158316633266534,0.022
0.80160320641282556,0.024
0.81162324649298589,0.026000000000000002
0.82164328657314623,0.028
0.83166332665330656,0.03
0.84168336673346689,0.033
0.85170340681362722,0.035
0.86172344689378755,0.038
0.87174348697394788,0.04
0.88176352705410821,0.043000000000000003
0.89178356713426854,0.046
0.90180360721442887,0.048
0.91182364729458909,0.051000000000000004
0.92184368737474942,0.054
0.93186372745490975,0.057
0.94188376753507008,0.06
0.95190380761523041,0.063
0.96192384769539074,0.066
0.97194388777555107,0.069
0.9819639278557114,0.07200000000000001
0.99198396793587174,0.076
1.002004008016032,0.079
1.0120240480961924,0.083
1.0220440881763526,0.08600000000000001
1.0320641282565131,0.09
1.0420841683366733,0.093
1.0521042084168337,0.097
1.0621242484969939,0.101
1.0721442885771542,0.10400000000000001
1.0821643286573146,0.108
