V_input,V_out
-0.050000000000000003,1.9100000000000001
-0.049497487437185933,1.9100000000000001
-0.048994974874371863,1.9120000000000001
-0.048492462311557794,1.9120000000000001
-0.047989949748743724,1.9140000000000001
-0.047487437185929654,1.9140000000000001
-0.046984924623115577,1.9160000000000001
-0.046482412060301508,1.9180000000000001
-0.045979899497487438,1.92
-0.045477386934673368,1.922
-0.044974874371859298,1.922
-0.044472361809045229,1.924
-0.043969849246231159,1.926
-0.043467336683417089,1.928
-0.042964824120603019,1.93
-0.04246231155778895,1.932
-0.041959798994974873,1.934
-0.041457286432160803,1.936
-0.040954773869346733,1.938
-0.040452261306532664,1.94
-0.039949748743718594,1.942
-0.039447236180904524,1.946
-0.038944723618090454,1.948
-0.038442211055276385,1.952
-0.037939698492462315,1.954
-0.037437185929648245,1.958
-0.036934673366834175,1.962
-0.036432160804020106,1.966
-0.035929648241206036,1.97
-0.035427135678391959,1.976
-0.034924623115577889,1.982
-0.03442211055276382,1.988
-0.03391959798994975,1.996
-0.03341708542713568,2.008
-0.03291457286432161,2.0220000000000002
-0.032412060301507534,2.044
-0.031909547738693464,2.08
-0.031407035175879394,2.14
-0.030904522613065328,2.218
-0.030402010050251258,2.312
-0.029899497487437185,2.416
-0.029396984924623115,2.524
-0.028894472361809045,2.642
-0.028391959798994976,2.7560000000000002
-0.027889447236180906,2.874
-0.027386934673366836,2.994
-0.026884422110552763,3.11
-0.026381909547738693,3.232
-0.025879396984924623,3.35
-0.025376884422110554,3.464
-0.024874371859296484,3.5820000000000003
-0.024371859296482411,3.69
-0.023869346733668341,3.798
-0.023366834170854271,3.906
-0.022864321608040201,3.97
-0.022361809045226132,4.07
-0.021859296482412062,4.165
-0.021356783919597989,4.245
-0.020854271356783919,4.34
-0.020351758793969849,4.415
-0.019849246231155779,4.49
-0.01934673366834171,4.555
-0.018844221105527637,4.615
-0.018341708542713567,4.665
-0.017839195979899497,4.705
-0.017336683417085427,4.735
-0.016834170854271358,4.755
-0.016331658291457288,4.7700000000000005
-0.015829145728643218,4.785
-0.015326633165829148,4.795
-0.014824120603015072,4.8
-0.014321608040201002,4.805
-0.013819095477386932,4.815
-0.013316582914572862,4.82
-0.012814070351758793,4.82
-0.012311557788944723,4.825
-0.011809045226130653,4.83
-0.011306532663316583,4.835
-0.010804020100502514,4.84
-0.010301507537688444,4.84
-0.0097989949748743671,4.845
-0.0092964824120602974,4.845
-0.0087939698492462276,4.8500000000000005
-0.0082914572864321578,4.8500000000000005
-0.0077889447236180881,4.855
-0.0072864321608040183,4.855
-0.0067839195979899486,4.86
-0.0062814070351758788,4.86
-0.0057788944723618091,4.86
-0.0052763819095477393,4.86
-0.0047738693467336696,4.865
-0.0042713567839195929,4.865
-0.0037688442211055231,4.87
-0.0032663316582914534,4.87
-0.0027638190954773836,4.87
-0.0022613065326633139,4.875
-0.0017587939698492441,4.875
-0.0012562814070351744,4.875
-0.00075376884422110463,4.875
-0.00025125628140703488,4.88
0.00025125628140703488,4.88
0.00075376884422110463,4.88
0.0012562814070351813,4.885
0.0017587939698492511,4.885
0.0022613065326633208,4.885
0.0027638190954773906,4.885
0.0032663316582914603,4.89
0.0037688442211055301,4.89
0.0042713567839195998,4.89
0.0047738693467336696,4.89
0.0052763819095477393,4.89
0.0057788944723618091,4.8950000000000005
0.0062814070351758788,4.8950000000000005
0.0067839195979899555,4.8950000000000005
0.0072864321608040253,4.8950000000000005
0.007788944723618095,4.8950000000000005
0.0082914572864321648,4.9
0.0087939698492462345,4.9
0.0092964824120603043,4.9
0.009798994974874374,4.9
0.010301507537688444,4.9
0.010804020100502514,4.9
0.011306532663316583,4.905
0.01180904522613066,4.905
0.01231155778894473,4.905
0.012814070351758799,4.905
0.013316582914572869,4.905
0.013819095477386939,4.905
0.014321608040201009,4.905
0.014824120603015079,4.905
0.015326633165829148,4.91
0.015829145728643218,4.91
0.016331658291457288,4.91
0.016834170854271358,4.91
0.017336683417085427,4.91
0.017839195979899497,4.91
0.018341708542713567,4.91
0.018844221105527637,4.915
0.019346733668341706,4.915
0.01984924623115579,4.915
0.02035175879396986,4.915
0.020854271356783929,4.915
0.021356783919597999,4.915
0.021859296482412069,4.915
0.022361809045226139,4.915
0.022864321608040208,4.92
0.023366834170854278,4.92
0.023869346733668348,4.92
0.024371859296482418,4.92
0.024874371859296487,4.92
0.025376884422110557,4.92
0.025879396984924627,4.92
0.026381909547738697,4.92
0.026884422110552766,4.925
0.027386934673366836,4.925
0.027889447236180906,4.925
0.028391959798994976,4.925
0.028894472361809045,4.925
0.029396984924623115,4.925
0.029899497487437185,4.925
0.030402010050251269,4.925
0.030904522613065338,4.925
0.031407035175879408,4.925
0.031909547738693478,4.925
0.032412060301507548,4.925
0.032914572864321617,4.925
0.033417085427135687,4.93
0.033919597989949757,4.93
0.034422110552763827,4.93
0.034924623115577896,4.93
0.035427135678391966,4.93
0.035929648241206036,4.93
0.036432160804020106,4.93
0.036934673366834175,4.93
0.037437185929648245,4.93
0.037939698492462315,4.93
0.038442211055276385,4.9350000000000005
0.038944723618090454,4.9350000000000005
0.039447236180904524,4.9350000000000005
0.039949748743718594,4.9350000000000005
0.040452261306532664,4.9350000000000005
0.040954773869346733,4.9350000000000005
0.041457286432160817,4.9350000000000005
0.041959798994974887,4.9350000000000005
0.042462311557788956,4.9350000000000005
0.042964824120603026,4.9350000000000005
0.043467336683417096,4.9350000000000005
0.043969849246231166,4.9350000000000005
0.044472361809045236,4.9350000000000005
0.044974874371859305,4.94
0.045477386934673375,4.94
0.045979899497487445,4.94
0.046482412060301515,4.94
0.046984924623115584,4.94
0.047487437185929654,4.94
0.047989949748743724,4.94
0.048492462311557794,4.94
0.048994974874371863,4.94
0.049497487437185933,4.94
0.050000000000000003,4.94
