V_input,V_out
0.0,0.265
0.025125628140703519,0.266
0.050251256281407038,0.266
0.07537688442211056,0.266
0.10050251256281408,0.266
0.1256281407035176,0.266
0.15075376884422112,0.266
0.17587939698492464,0.273
0.20100502512562815,0.28300000000000003
0.22613065326633167,0.296
0.25125628140703521,0.312
0.27638190954773872,0.331
0.30150753768844224,0.352
0.32663316582914576,0.375
0.35175879396984927,0.4
0.37688442211055279,0.426
0.4020100502512563,0.45
0.42713567839195982,0.47400000000000003
0.45226130653266333,0.499
0.47738693467336685,0.523
0.50251256281407042,0.547
0.52763819095477393,0.5710000000000001
0.55276381909547745,0.594
0.57788944723618096,0.618
0.60301507537688448,0.642
0.62814070351758799,0.667
0.65326633165829151,0.6910000000000001
0.67839195979899503,0.715
0.70351758793969854,0.74
0.72864321608040206,0.765
0.75376884422110557,0.79
0.77889447236180909,0.8150000000000001
0.8040201005025126,0.839
0.82914572864321612,0.864
0.85427135678391963,0.889
0.87939698492462315,0.914
0.90452261306532666,0.9390000000000001
0.92964824120603018,0.964
0.95477386934673369,0.989
0.97989949748743721,1.014
1.0050251256281408,1.039
1.0301507537688444,1.065
1.0552763819095479,1.09
1.0804020100502514,1.114
1.1055276381909549,1.139
1.1306532663316584,1.165
1.1557788944723619,1.19
1.1809045226130654,1.215
1.206030150753769,1.239
1.2311557788944725,1.264
1.256281407035176,1.29
1.2814070351758795,1.315
1.306532663316583,1.339
1.3316582914572865,1.363
1.3567839195979901,1.389
1.3819095477386936,1.414
1.4070351758793971,1.439
1.4321608040201006,1.464
1.4572864321608041,1.489
1.4824120603015076,1.514
1.5075376884422111,1.539
1.5326633165829147,1.565
1.5577889447236182,1.59
1.5829145728643217,1.615
1.6080402010050252,1.6400000000000001
1.6331658291457287,1.665
1.6582914572864322,1.69
1.6834170854271358,1.715
1.7085427135678393,1.739
1.7336683417085428,1.764
1.7587939698492463,1.79
1.7839195979899498,1.815
1.8090452261306533,1.839
1.8341708542713568,1.864
1.8592964824120604,1.8880000000000001
1.8844221105527639,1.913
1.9095477386934674,1.938
1.9346733668341709,1.963
1.9597989949748744,1.987
1.9849246231155779,2.0180000000000002
2.0100502512562817,2.048
2.0351758793969852,2.074
2.0603015075376887,2.098
2.0854271356783922,2.122
2.1105527638190957,2.148
2.1356783919597992,2.172
2.1608040201005028,2.198
2.1859296482412063,2.222
2.2110552763819098,2.248
2.2361809045226133,2.2720000000000002
2.2613065326633168,2.298
2.2864321608040203,2.324
2.3115577889447239,2.35
2.3366834170854274,2.374
2.3618090452261309,2.4
2.3869346733668344,2.424
2.4120603015075379,2.448
2.4371859296482414,2.472
2.4623115577889449,2.498
2.4874371859296485,2.524
2.512562814070352,2.5500000000000003
2.5376884422110555,2.574
2.562814070351759,2.6
2.5879396984924625,2.624
2.613065326633166,2.648
2.6381909547738696,2.672
2.6633165829145731,2.696
2.6884422110552766,2.72
2.7135678391959801,2.748
2.7386934673366836,2.7720000000000002
2.7638190954773871,2.798
2.7889447236180906,2.824
2.8140703517587942,2.848
2.8391959798994977,2.872
2.8643216080402012,2.898
2.8894472361809047,2.922
2.9145728643216082,2.948
2.9396984924623117,2.972
2.9648241206030153,2.998
2.9899497487437188,3.0220000000000002
3.0150753768844223,3.048
3.0402010050251258,3.074
3.0653266331658293,3.098
3.0904522613065328,3.124
3.1155778894472363,3.15
3.1407035175879399,3.174
3.1658291457286434,3.2
3.1909547738693469,3.224
3.2160804020100504,3.25
3.2412060301507539,3.274
3.2663316582914574,3.3000000000000003
3.291457286432161,3.3240000000000003
3.3165829145728645,3.35
3.341708542713568,3.376
3.3668341708542715,3.4
3.391959798994975,3.424
3.4170854271356785,3.448
3.442211055276382,3.474
3.4673366834170856,3.498
3.4924623115577891,3.524
3.5175879396984926,3.5500000000000003
3.5427135678391961,3.5740000000000003
3.5678391959798996,3.6
3.5929648241206031,3.624
3.6180904522613067,3.648
3.6432160804020102,3.672
3.6683417085427137,3.696
3.6934673366834172,3.72
3.7185929648241207,3.746
3.7437185929648242,3.7720000000000002
3.7688442211055277,3.7960000000000003
3.7939698492462313,3.8200000000000003
3.8190954773869348,3.846
3.8442211055276383,3.87
3.8693467336683418,3.896
3.8944723618090453,3.92
3.9195979899497488,3.944
3.9447236180904524,3.968
3.9698492462311559,3.992
3.9949748743718594,3.98
4.0201005025125633,4.0200000000000005
4.0452261306532664,4.045
4.0703517587939704,4.065
4.0954773869346734,4.09
4.1206030150753774,4.115
4.1457286432160805,4.14
4.1708542713567844,4.165
4.1959798994974875,4.19
4.2211055276381915,4.215
4.2462311557788945,4.24
4.2713567839195985,4.265
4.2964824120603016,4.29
4.3216080402010055,4.315
4.3467336683417086,4.34
4.3718592964824126,4.37
4.3969849246231156,4.39
4.4221105527638196,4.415
4.4472361809045227,4.445
4.4723618090452266,4.47
4.4974874371859297,4.495
4.5226130653266337,4.5200000000000005
4.5477386934673367,4.54
4.5728643216080407,4.565
4.5979899497487438,4.59
4.6231155778894477,4.615
4.6482412060301508,4.64
4.6733668341708547,4.665
4.6984924623115578,4.69
4.7236180904522618,4.715
4.7487437185929648,4.74
4.7738693467336688,4.765
4.7989949748743719,4.785
4.8241206030150758,4.8100000000000005
4.8492462311557789,4.835
4.8743718592964829,4.855
4.8994974874371859,4.875
4.9246231155778899,4.89
4.949748743718593,4.905
4.9748743718592969,4.92
5.0,4.9350000000000005
