V_out,I_out
0.0,-0.001877
0.025125628140703519,-0.001841
0.050251256281407038,-0.0018039999999999998
0.07537688442211056,-0.001769
0.10050251256281408,-0.001733
0.1256281407035176,-0.001697
0.15075376884422112,-0.001661
0.17587939698492464,-0.001624
0.20100502512562815,-0.001588
0.22613065326633167,-0.0015509999999999999
0.25125628140703521,-0.001513
0.27638190954773872,-0.0014759999999999999
0.30150753768844224,-0.001438
0.32663316582914576,-0.0014
0.35175879396984927,-0.001361
0.37688442211055279,-0.001323
0.4020100502512563,-0.001285
0.42713567839195982,-0.001246
0.45226130653266333,-0.001207
0.47738693467336685,-0.001169
0.50251256281407042,-0.0011309999999999998
0.52763819095477393,-0.001093
0.55276381909547745,-0.001055
0.57788944723618096,-0.001018
0.60301507537688448,-0.000983
0.62814070351758799,-0.000948
0.65326633165829151,-0.000913
0.67839195979899503,-0.000878
0.70351758793969854,-0.0008449999999999999
0.72864321608040206,-0.000812
0.75376884422110557,-0.000779
0.77889447236180909,-0.0007469999999999999
0.8040201005025126,-0.000716
0.82914572864321612,-0.000685
0.85427135678391963,-0.000655
0.87939698492462315,-0.000625
0.90452261306532666,-0.000596
0.92964824120603018,-0.0005679999999999999
0.95477386934673369,-0.00054
0.97989949748743721,-0.000513
1.0050251256281408,-0.000488
1.0301507537688444,-0.00046199999999999995
1.0552763819095479,-0.00043599999999999997
1.0804020100502514,-0.00041099999999999996
1.1055276381909549,-0.000388
1.1306532663316584,-0.000365
1.1557788944723619,-0.00034199999999999996
1.1809045226130654,-0.00031999999999999997
1.206030150753769,-0.000299
1.2311557788944725,-0.000279
1.256281407035176,-0.000259
1.2814070351758795,-0.00023999999999999998
1.306532663316583,-0.000222
1.3316582914572865,-0.000204
1.3567839195979901,-0.000187
1.3819095477386936,-0.00017199999999999998
1.4070351758793971,-0.000156
1.4321608040201006,-0.00014199999999999998
1.4572864321608041,-0.000127
1.4824120603015076,-0.00011399999999999999
1.5075376884422111,-0.000102
1.5326633165829147,-8.57e-05
1.5577889447236182,-7.46e-05
1.5829145728643217,-6.429999999999999e-05
1.6080402010050252,-5.4999999999999995e-05
1.6331658291457287,-4.67e-05
1.6582914572864322,-3.89e-05
1.6834170854271358,-3.1899999999999996e-05
1.7085427135678393,-2.56e-05
1.7336683417085428,-2.02e-05
1.7587939698492463,-1.56e-05
1.7839195979899498,-1.1799999999999999e-05
1.8090452261306533,-7.77e-06
1.8341708542713568,-5.32e-06
1.8592964824120604,-3.48e-06
1.8844221105527639,-2.26e-06
1.9095477386934674,-1.4700000000000001e-06
1.9346733668341709,-9.32e-07
1.9597989949748744,-6.71e-07
1.9849246231155779,-5.33e-07
2.0100502512562817,-4.47e-07
2.0351758793969852,-4.1000000000000004e-07
2.0603015075376887,-3.9100000000000005e-07
2.0854271356783922,-3.77e-07
2.1105527638190957,-3.59e-07
2.1356783919597992,-3.49e-07
2.1608040201005028,-3.4000000000000003e-07
2.1859296482412063,-3.28e-07
2.2110552763819098,-3.18e-07
2.2361809045226133,-3.0700000000000004e-07
2.2613065326633168,-3.03e-07
2.2864321608040203,-2.9000000000000003e-07
2.3115577889447239,-2.84e-07
2.3366834170854274,-2.7600000000000004e-07
2.3618090452261309,-2.7e-07
2.3869346733668344,-2.56e-07
2.4120603015075379,-2.5000000000000004e-07
2.4371859296482414,-2.43e-07
2.4623115577889449,-2.3500000000000003e-07
2.4874371859296485,-2.2500000000000002e-07
2.512562814070352,-2.2e-07
2.5376884422110555,-2.14e-07
2.562814070351759,-2.0600000000000002e-07
2.5879396984924625,-1.9400000000000002e-07
2.613065326633166,-1.8600000000000002e-07
2.6381909547738696,-1.8100000000000002e-07
2.6633165829145731,-1.7400000000000002e-07
2.6884422110552766,-1.64e-07
2.7135678391959801,-1.55e-07
2.7386934673366836,-1.52e-07
2.7638190954773871,-1.4500000000000001e-07
2.7889447236180906,-1.3800000000000002e-07
2.8140703517587942,-1.31e-07
2.8391959798994977,-1.2600000000000002e-07
2.8643216080402012,-1.1800000000000001e-07
2.8894472361809047,-1.14e-07
2.9145728643216082,-1.01e-07
2.9396984924623117,-8.98e-08
2.9648241206030153,-7.38e-08
2.9899497487437188,-6.79e-08
3.0150753768844223,-5.62e-08
3.0402010050251258,-5.0800000000000005e-08
3.0653266331658293,-4.54e-08
3.0904522613065328,-3.5900000000000004e-08
3.1155778894472363,-2.0200000000000002e-08
3.1407035175879399,-1.6e-08
3.1658291457286434,-1.06e-08
3.1909547738693469,-2.8000000000000003e-09
3.2160804020100504,4.6e-09
3.2412060301507539,8.7e-09
3.2663316582914574,1.68e-08
3.291457286432161,2.75e-08
3.3165829145728645,3.95e-08
3.341708542713568,4.67e-08
3.3668341708542715,5.49e-08
3.391959798994975,6.57e-08
3.4170854271356785,7.040000000000001e-08
3.442211055276382,7.98e-08
3.4673366834170856,8.820000000000001e-08
3.4924623115577891,9.16e-08
3.5175879396984926,6.600000000000001e-08
3.5427135678391961,7.24e-08
3.5678391959798996,7.9e-08
3.5929648241206031,8.61e-08
3.6180904522613067,9.5e-08
3.6432160804020102,1.01e-07
3.6683417085427137,1.0300000000000001e-07
3.6934673366834172,1.14e-07
3.7185929648241207,1.1800000000000001e-07
3.7437185929648242,1.35e-07
3.7688442211055277,1.35e-07
3.7939698492462313,1.43e-07
3.8190954773869348,1.47e-07
3.8442211055276383,1.61e-07
3.8693467336683418,1.6800000000000002e-07
3.8944723618090453,1.7400000000000002e-07
3.9195979899497488,1.83e-07
3.9447236180904524,1.8700000000000002e-07
3.9698492462311559,1.96e-07
3.9949748743718594,2.02e-07
4.0201005025125633,2.2900000000000003e-07
4.0452261306532664,2.3100000000000002e-07
4.0703517587939704,2.39e-07
4.0954773869346734,2.46e-07
4.1206030150753774,2.58e-07
4.1457286432160805,2.67e-07
4.1708542713567844,2.66e-07
4.1959798994974875,2.8e-07
4.2211055276381915,2.89e-07
4.2462311557788945,2.96e-07
4.2713567839195985,3.13e-07
4.2964824120603016,3.16e-07
4.3216080402010055,3.3100000000000004e-07
4.3467336683417086,3.3300000000000003e-07
4.3718592964824126,3.44e-07
4.3969849246231156,3.53e-07
4.4221105527638196,3.63e-07
4.4472361809045227,3.7e-07
4.4723618090452266,3.9300000000000004e-07
4.4974874371859297,3.9800000000000004e-07
4.5226130653266337,4.1000000000000004e-07
4.5477386934673367,4.23e-07
4.5728643216080407,4.3600000000000004e-07
4.5979899497487438,4.51e-07
4.6231155778894477,4.56e-07
4.6482412060301508,4.7200000000000004e-07
4.6733668341708547,4.84e-07
4.6984924623115578,5.070000000000001e-07
4.7236180904522618,5.250000000000001e-07
