V_gate,I_channel
-1.0260260260260261,9.52e-06
-1.0310310310310311,9.87e-06
-1.0360360360360361,1.025e-05
-1.0410410410410411,1.063e-05
-1.0460460460460461,1.102e-05
-1.0510510510510511,1.142e-05
-1.0560560560560561,1.183e-05
-1.0610610610610611,1.223e-05
-1.0660660660660661,1.2650000000000001e-05
-1.0710710710710711,1.307e-05
-1.0760760760760761,1.3510000000000001e-05
-1.0810810810810811,1.395e-05
-1.0860860860860861,1.4400000000000001e-05
-1.0910910910910911,1.486e-05
-1.0960960960960962,1.53e-05
-1.1011011011011012,1.576e-05
-1.1061061061061062,1.622e-05
-1.1111111111111112,1.669e-05
-1.1161161161161162,1.7160000000000002e-05
-1.1211211211211212,1.765e-05
-1.1261261261261262,1.814e-05
-1.1311311311311312,1.863e-05
-1.1361361361361362,1.914e-05
-1.1411411411411412,1.9640000000000002e-05
-1.1461461461461462,2.12e-05
-1.1511511511511512,2.17e-05
-1.1561561561561562,2.2199999999999998e-05
-1.1611611611611612,2.28e-05
-1.1661661661661662,2.33e-05
-1.1711711711711712,2.3899999999999998e-05
-1.1761761761761762,2.45e-05
-1.1811811811811812,2.51e-05
-1.1861861861861862,2.56e-05
-1.1911911911911912,2.62e-05
-1.1961961961961962,2.6799999999999998e-05
-1.2012012012012012,2.74e-05
-1.2062062062062062,2.8e-05
-1.2112112112112112,2.87e-05
-1.2162162162162162,2.9299999999999997e-05
-1.2212212212212212,2.99e-05
-1.2262262262262262,3.06e-05
-1.2312312312312312,3.12e-05
-1.2362362362362362,3.1899999999999996e-05
-1.2412412412412412,3.25e-05
-1.2462462462462462,3.32e-05
-1.2512512512512513,3.4e-05
-1.2562562562562563,3.46e-05
-1.2612612612612613,3.53e-05
-1.2662662662662663,3.6e-05
-1.2712712712712713,3.68e-05
-1.2762762762762763,3.74e-05
-1.2812812812812813,3.82e-05
-1.2862862862862863,3.89e-05
-1.2912912912912913,3.9699999999999996e-05
-1.2962962962962963,4.04e-05
-1.3013013013013013,4.1099999999999996e-05
-1.3063063063063063,4.1899999999999995e-05
-1.3113113113113113,4.27e-05
-1.3163163163163163,4.34e-05
-1.3213213213213213,4.42e-05
-1.3263263263263263,4.49e-05
-1.3313313313313313,4.5799999999999995e-05
-1.3363363363363363,4.65e-05
-1.3413413413413413,4.73e-05
-1.3463463463463463,4.82e-05
-1.3513513513513513,4.9e-05
-1.3563563563563563,4.98e-05
-1.3613613613613613,5.06e-05
-1.3663663663663663,5.15e-05
-1.3713713713713713,5.23e-05
-1.3763763763763763,5.3099999999999996e-05
-1.3813813813813813,5.4e-05
-1.3863863863863863,5.48e-05
-1.3913913913913913,5.57e-05
-1.3963963963963963,5.66e-05
-1.4014014014014013,5.7499999999999995e-05
-1.4064064064064064,5.8399999999999997e-05
-1.4114114114114114,5.93e-05
-1.4164164164164164,6.02e-05
-1.4214214214214214,6.11e-05
-1.4264264264264264,6.2e-05
-1.4314314314314314,6.29e-05
-1.4364364364364364,6.39e-05
-1.4414414414414414,6.48e-05
-1.4464464464464464,6.57e-05
-1.4514514514514514,6.67e-05
-1.4564564564564564,6.76e-05
-1.4614614614614614,6.86e-05
-1.4664664664664664,6.96e-05
-1.4714714714714714,7.049999999999999e-05
-1.4764764764764764,7.15e-05
-1.4814814814814814,7.25e-05
-1.4864864864864864,7.35e-05
-1.4914914914914914,7.45e-05
-1.4964964964964964,7.549999999999999e-05
-1.5015015015015014,7.65e-05
-1.5065065065065064,7.75e-05
-1.5115115115115114,7.85e-05
-1.5165165165165164,7.95e-05
-1.5215215215215214,8.049999999999999e-05
-1.5265265265265264,8.159999999999999e-05
-1.5315315315315314,8.26e-05
-1.5365365365365364,8.37e-05
-1.5415415415415414,8.48e-05
-1.5465465465465464,8.58e-05
-1.5515515515515514,8.69e-05
-1.5565565565565564,8.8e-05
-1.5615615615615615,8.91e-05
-1.5665665665665665,9.02e-05
-1.5715715715715715,9.12e-05
-1.5765765765765765,9.23e-05
-1.5815815815815815,9.34e-05
-1.5865865865865865,9.46e-05
-1.5915915915915915,9.57e-05
-1.5965965965965965,9.68e-05
-1.6016016016016015,9.79e-05
-1.6066066066066067,9.91e-05
-1.6116116116116117,0.0001002
-1.6166166166166167,0.0001013
-1.6216216216216217,0.0001025
-1.6266266266266267,0.0001036
-1.6316316316316317,0.0001047
-1.6366366366366367,0.0001059
-1.6416416416416417,0.0001071
-1.6466466466466467,0.00010829999999999999
-1.6516516516516517,0.00010939999999999999
-1.6566566566566567,0.00011059999999999999
-1.6616616616616617,0.0001118
-1.6666666666666667,0.000113
-1.6716716716716717,0.0001142
-1.6766766766766767,0.0001154
-1.6816816816816818,0.00011659999999999999
-1.6866866866866868,0.00011779999999999999
-1.6916916916916918,0.00011899999999999999
-1.6966966966966968,0.0001202
-1.7017017017017018,0.0001215
-1.7067067067067068,0.0001227
-1.7117117117117118,0.0001239
-1.7167167167167168,0.0001252
-1.7217217217217218,0.00012639999999999998
-1.7267267267267268,0.0001277
-1.7317317317317318,0.0001289
-1.7367367367367368,0.0001302
-1.7417417417417418,0.0001315
-1.7467467467467468,0.0001327
-1.7517517517517518,0.0001341
-1.7567567567567568,0.00013539999999999998
-1.7617617617617618,0.0001367
-1.7667667667667668,0.000138
-1.7717717717717718,0.0001393
-1.7767767767767768,0.0001406
-1.7817817817817818,0.0001419
-1.7867867867867868,0.00014319999999999998
-1.7917917917917918,0.0001445
-1.7967967967967968,0.0001459
-1.8018018018018018,0.0001472
-1.8068068068068068,0.00014859999999999998
-1.8118118118118118,0.00014989999999999998
-1.8168168168168168,0.0001512
-1.8218218218218218,0.0001526
-1.8268268268268268,0.0001539
-1.8318318318318318,0.00015529999999999998
-1.8368368368368369,0.0001567
-1.8418418418418419,0.000158
-1.8468468468468469,0.0001594
-1.8518518518518519,0.0001608
-1.8568568568568569,0.00016219999999999999
-1.8618618618618619,0.0001636
-1.8668668668668669,0.000165
-1.8718718718718719,0.00016639999999999998
-1.8768768768768769,0.00016779999999999999
-1.8818818818818819,0.0001692
-1.8868868868868869,0.0001706
-1.8918918918918919,0.00017199999999999998
-1.8968968968968969,0.00017339999999999999
-1.9019019019019019,0.0001748
-1.9069069069069069,0.0001762
-1.9119119119119119,0.00017759999999999998
-1.9169169169169169,0.0001791
-1.9219219219219219,0.0001805
-1.9269269269269269,0.00018199999999999998
-1.9319319319319319,0.0001835
-1.9369369369369369,0.0001849
-1.9419419419419419,0.0001863
-1.9469469469469469,0.00018779999999999998
-1.9519519519519519,0.0001893
-1.9569569569569569,0.0001907
-1.9619619619619619,0.00019219999999999998
-1.9669669669669669,0.0001937
-1.9719719719719719,0.0001952
-1.9769769769769769,0.00019659999999999998
-1.9819819819819819,0.0001981
-1.9869869869869869,0.0001996
-1.991991991991992,0.000207
-1.996996996996997,0.000208
-2.0020020020020022,0.000208
-2.0070070070070072,0.00020999999999999998
-2.0120120120120122,0.00021099999999999998
-2.0170170170170172,0.000213
-2.0220220220220222,0.000214
-2.0270270270270272,0.000216
-2.0320320320320322,0.000217
-2.0370370370370372,0.00021899999999999998
-2.0420420420420422,0.00021999999999999998
-2.0470470470470472,0.000222
-2.0520520520520522,0.000224
-2.0570570570570572,0.000225
-2.0620620620620622,0.000227
-2.0670670670670672,0.00022799999999999999
-2.0720720720720722,0.00022999999999999998
-2.0770770770770772,0.000232
-2.0820820820820822,0.000233
-2.0870870870870872,0.000235
-2.0920920920920922,0.000236
-2.0970970970970972,0.00023799999999999998
-2.1021021021021022,0.00023999999999999998
-2.1071071071071072,0.00024099999999999998
-2.1121121121121122,0.000243
-2.1171171171171173,0.000245
-2.1221221221221223,0.00024599999999999996
-2.1271271271271273,0.000248
-2.1321321321321323,0.00025
-2.1371371371371373,0.000251
-2.1421421421421423,0.00025299999999999997
-2.1471471471471473,0.00025499999999999996
-2.1521521521521523,0.000256
-2.1571571571571573,0.000258
-2.1621621621621623,0.00026
-2.1671671671671673,0.000261
-2.1721721721721723,0.000263
-2.1771771771771773,0.000265
-2.1821821821821823,0.000266
-2.1871871871871873,0.000268
-2.1921921921921923,0.00027
-2.1971971971971973,0.000272
-2.2022022022022023,0.00027299999999999997
-2.2072072072072073,0.00027499999999999996
-2.2122122122122123,0.000277
-2.2172172172172173,0.000278
-2.2222222222222223,0.00028
-2.2272272272272273,0.00028199999999999997
-2.2322322322322323,0.000283
-2.2372372372372373,0.000285
-2.2422422422422423,0.000287
-2.2472472472472473,0.000288
-2.2522522522522523,0.00029
-2.2572572572572573,0.000292
-2.2622622622622623,0.000294
-2.2672672672672673,0.000296
-2.2722722722722724,0.000297
-2.2772772772772774,0.000299
-2.2822822822822824,0.000301
-2.2872872872872874,0.00030199999999999997
-2.2922922922922924,0.000305
-2.2972972972972974,0.000306
-2.3023023023023024,0.000308
-2.3073073073073074,0.000309
-2.3123123123123124,0.00031099999999999997
-2.3173173173173174,0.00031299999999999996
-2.3223223223223224,0.00031499999999999996
-2.3273273273273274,0.000317
-2.3323323323323324,0.000319
-2.3373373373373374,0.00031999999999999997
-2.3423423423423424,0.00032199999999999997
-2.3473473473473474,0.00032399999999999996
-2.3523523523523524,0.000326
-2.3573573573573574,0.000328
-2.3623623623623624,0.00033
-2.3673673673673674,0.000332
-2.3723723723723724,0.00033299999999999996
-2.3773773773773774,0.000335
-2.3823823823823824,0.000337
-2.3873873873873874,0.000339
-2.3923923923923924,0.000341
-2.3973973973973974,0.000343
-2.4024024024024024,0.00034399999999999996
-2.4074074074074074,0.000346
-2.4124124124124124,0.000348
-2.4174174174174174,0.00035
-2.4224224224224224,0.000352
-2.4274274274274275,0.000354
-2.4324324324324325,0.000356
-2.4374374374374375,0.000358
-2.4424424424424425,0.00035999999999999997
-2.4474474474474475,0.000361
-2.4524524524524525,0.000363
-2.4574574574574575,0.000365
-2.4624624624624625,0.000367
-2.4674674674674675,0.00036899999999999997
-2.4724724724724725,0.00037099999999999996
-2.4774774774774775,0.00037299999999999996
-2.4824824824824825,0.000375
-2.4874874874874875,0.000377
-2.4924924924924925,0.000379
-2.4974974974974975,0.000381
-2.5025025025025025,0.000383
-2.5075075075075075,0.000385
-2.5125125125125125,0.000387
-2.5175175175175175,0.00038899999999999997
-2.5225225225225225,0.00039099999999999996
-2.5275275275275275,0.00039299999999999996
-2.5325325325325325,0.000395
-2.5375375375375375,0.000397
-2.5425425425425425,0.000399
-2.5475475475475475,0.000401
-2.5525525525525525,0.000403
-2.5575575575575575,0.000405
-2.5625625625625625,0.00040699999999999997
-2.5675675675675675,0.00040899999999999997
-2.5725725725725725,0.00041099999999999996
-2.5775775775775776,0.00041299999999999996
-2.5825825825825826,0.000415
-2.5875875875875876,0.000417
-2.5925925925925926,0.000419
-2.5975975975975976,0.000421
-2.6026026026026026,0.000424
-2.6076076076076076,0.000425
-2.6126126126126126,0.000428
-2.6176176176176176,0.00042899999999999997
-2.6226226226226226,0.000432
-2.6276276276276276,0.000434
-2.6326326326326326,0.00043599999999999997
-2.6376376376376376,0.00043799999999999997
-2.6426426426426426,0.00043999999999999996
-2.6476476476476476,0.00044199999999999996
-2.6526526526526526,0.000444
-2.6576576576576576,0.000446
-2.6626626626626626,0.000448
-2.6676676676676676,0.00045
-2.6726726726726726,0.000452
-2.6776776776776776,0.000455
-2.6826826826826826,0.00045599999999999997
-2.6876876876876876,0.000459
-2.6926926926926926,0.000461
-2.6976976976976976,0.000463
-2.7027027027027026,0.00046499999999999997
-2.7077077077077076,0.00046699999999999997
-2.7127127127127126,0.00046899999999999996
-2.7177177177177176,0.000472
-2.7227227227227226,0.000474
-2.7277277277277276,0.00047599999999999997
-2.7327327327327327,0.00047799999999999996
-2.7377377377377377,0.00047999999999999996
-2.7427427427427427,0.00048199999999999995
-2.7477477477477477,0.00048499999999999997
-2.7527527527527527,0.00048699999999999997
-2.7577577577577577,0.000489
-2.7627627627627627,0.000491
-2.7677677677677677,0.000493
-2.7727727727727727,0.000496
-2.7777777777777777,0.000498
-2.7827827827827827,0.0005
-2.7877877877877877,0.000502
-2.7927927927927927,0.000504
-2.7977977977977977,0.0005059999999999999
-2.8028028028028027,0.000509
-2.8078078078078077,0.000511
-2.8128128128128127,0.000513
-2.8178178178178177,0.0005149999999999999
-2.8228228228228227,0.000517
-2.8278278278278277,0.00052
-2.8328328328328327,0.000522
-2.8378378378378377,0.0005239999999999999
-2.8428428428428427,0.000526
-2.8478478478478477,0.000529
-2.8528528528528527,0.000531
-2.8578578578578577,0.0005329999999999999
-2.8628628628628627,0.000535
-2.8678678678678677,0.000538
-2.8728728728728727,0.00054
-2.8778778778778777,0.000542
-2.8828828828828827,0.000544
-2.8878878878878878,0.000547
-2.8928928928928928,0.000549
-2.8978978978978978,0.000551
-2.9029029029029028,0.000553
-2.9079079079079078,0.000556
-2.9129129129129128,0.000558
-2.9179179179179178,0.000561
-2.9229229229229228,0.000563
-2.9279279279279278,0.000565
-2.9329329329329328,0.000567
-2.9379379379379378,0.00057
-2.9429429429429428,0.000572
-2.9479479479479478,0.000574
-2.9529529529529528,0.000576
-2.9579579579579578,0.000579
-2.9629629629629628,0.000581
-2.9679679679679678,0.000584
-2.9729729729729728,0.0005859999999999999
-2.9779779779779778,0.000588
-2.9829829829829828,0.0005909999999999999
-2.9879879879879878,0.000593
-2.9929929929929928,0.0005949999999999999
-2.9979979979979978,0.000598
-3.0030030030030028,0.0006
-3.0080080080080078,0.000602
-3.0130130130130128,0.000605
-3.0180180180180178,0.000607
-3.0230230230230228,0.000609
-3.0280280280280278,0.000612
-3.0330330330330328,0.000614
-3.0380380380380378,0.000616
-3.0430430430430429,0.000619
-3.0480480480480479,0.000621
-3.0530530530530529,0.000624
-3.0580580580580579,0.0006259999999999999
-3.0630630630630629,0.000628
-3.0680680680680679,0.0006309999999999999
-3.0730730730730729,0.000633
-3.0780780780780779,0.000636
-3.0830830830830829,0.000638
-3.0880880880880879,0.0006399999999999999
-3.0930930930930929,0.000643
-3.0980980980980979,0.000646
-3.1031031031031029,0.0006479999999999999
-3.1081081081081079,0.00065
-3.1131131131131129,0.0006529999999999999
-3.1181181181181179,0.000655
-3.1231231231231229,0.000658
-3.1281281281281279,0.00066
-3.1331331331331329,0.000663
-3.1381381381381379,0.000665
-3.1431431431431429,0.000668
-3.1481481481481479,0.00067
-3.1531531531531529,0.000672
-3.1581581581581579,0.0006749999999999999
-3.1631631631631629,0.000677
-3.1681681681681679,0.0006799999999999999
-3.1731731731731729,0.000682
-3.1781781781781779,0.000685
-3.1831831831831829,0.000687
-3.1881881881881879,0.00069
-3.1931931931931929,0.000692
-3.198198198198198,0.000695
-3.203203203203203,0.0006969999999999999
-3.2082082082082084,0.0007
-3.2132132132132134,0.0007019999999999999
-3.2182182182182184,0.000705
-3.2232232232232234,0.000707
-3.2282282282282284,0.00071
-3.2332332332332334,0.000712
-3.2382382382382384,0.0007149999999999999
-3.2432432432432434,0.000717
-3.2482482482482484,0.0007199999999999999
-3.2532532532532534,0.000722
-3.2582582582582584,0.000725
-3.2632632632632634,0.000727
-3.2682682682682684,0.00073
-3.2732732732732734,0.000732
-3.2782782782782784,0.000735
-3.2832832832832834,0.0007369999999999999
-3.2882882882882885,0.00074
-3.2932932932932935,0.0007419999999999999
-3.2982982982982985,0.000745
-3.3033033033033035,0.000748
-3.3083083083083085,0.00075
-3.3133133133133135,0.000753
-3.3183183183183185,0.0007549999999999999
-3.3233233233233235,0.000758
-3.3283283283283285,0.0007599999999999999
-3.3333333333333335,0.000763
-3.3383383383383385,0.000765
-3.3433433433433435,0.000768
-3.3483483483483485,0.00077
