V_gate,I_channel
-5.0,-2.44e-07
-4.9899799599198396,-1.53e-07
-4.9799599198396791,-1.17e-07
-4.9699398797595187,-8.700000000000001e-08
-4.9599198396793591,-6.7e-08
-4.9498997995991987,-5.6000000000000005e-08
-4.9398797595190382,-4.8000000000000006e-08
-4.9298597194388778,-3.4e-08
-4.9198396793587174,-4.1e-08
-4.9098196392785569,-3.2e-08
-4.8997995991983965,-2.5000000000000002e-08
-4.8897795591182369,-2.4000000000000003e-08
-4.8797595190380765,-2.6e-08
-4.869739478957916,-1.9e-08
-4.8597194388777556,-1.8000000000000002e-08
-4.8496993987975952,-1.5000000000000002e-08
-4.8396793587174347,-1.1000000000000001e-08
-4.8296593186372743,-1.1000000000000001e-08
-4.8196392785571138,-1.2000000000000002e-08
-4.8096192384769543,-1.1000000000000001e-08
-4.7995991983967938,-5e-09
-4.7895791583166334,-9.000000000000001e-09
-4.7795591182364729,-9.000000000000001e-09
-4.7695390781563125,-1e-08
-4.7595190380761521,-4e-09
-4.7494989979959916,-7.000000000000001e-09
-4.7394789579158321,-5e-09
-4.7294589178356716,-1e-09
-4.7194388777555112,-5e-09
-4.7094188376753507,-7.000000000000001e-09
-4.6993987975951903,-2e-09
-4.6893787575150299,-1e-08
-4.6793587174348694,-3.0000000000000004e-09
-4.669338677354709,-1.1000000000000001e-08
-4.6593186372745494,2e-09
-4.649298597194389,-5e-09
-4.6392785571142285,3.0000000000000004e-09
-4.6292585170340681,8e-09
-4.6192384769539077,-2e-09
-4.6092184368737472,3.0000000000000004e-09
-4.5991983967935877,1e-09
-4.5891783567134272,-1e-09
-4.5791583166332668,1e-09
-4.5691382765531063,-1e-09
-4.5591182364729459,0.0
-4.5490981963927855,5e-09
-4.539078156312625,-2e-09
-4.5290581162324646,0.0
-4.519038076152305,1e-09
-4.5090180360721446,1e-09
-4.4989979959919841,2e-09
-4.4889779559118237,3.0000000000000004e-09
-4.4789579158316633,2e-09
-4.4689378757515028,2e-09
-4.4589178356713424,1e-09
-4.4488977955911828,0.0
-4.4388777555110224,0.0
-4.4288577154308619,1e-09
-4.4188376753507015,4e-09
-4.408817635270541,3.0000000000000004e-09
-4.3987975951903806,-3.0000000000000004e-09
-4.3887775551102202,4e-09
-4.3787575150300597,-1e-09
-4.3687374749499002,7.000000000000001e-09
-4.3587174348697397,0.0
-4.3486973947895793,2e-09
-4.3386773547094188,3.0000000000000004e-09
-4.3286573146292584,2e-09
-4.318637274549098,4e-09
-4.3086172344689375,0.0
-4.298597194388778,6.000000000000001e-09
-4.2885771543086175,1e-09
-4.2785571142284571,6.000000000000001e-09
-4.2685370741482966,5e-09
-4.2585170340681362,1e-09
-4.2484969939879758,1e-09
-4.2384769539078153,2e-09
-4.2284569138276549,2e-09
-4.2184368737474953,8e-09
-4.2084168336673349,4e-09
-4.1983967935871744,3.0000000000000004e-09
-4.188376753507014,3.0000000000000004e-09
-4.1783567134268536,6.000000000000001e-09
-4.1683366733466931,4e-09
-4.1583166332665336,2e-09
-4.1482965931863731,4e-09
-4.1382765531062127,5e-09
-4.1282565130260522,2e-09
-4.1182364729458918,7.000000000000001e-09
-4.1082164328657313,6.000000000000001e-09
-4.0981963927855709,1e-09
-4.0881763527054105,4e-09
-4.0781563126252509,4e-09
-4.0681362725450905,-1e-09
-4.05811623246493,5e-09
-4.0480961923847696,1.1000000000000001e-08
-4.0380761523046091,6.000000000000001e-09
-4.0280561122244487,2e-09
-4.0180360721442883,7.000000000000001e-09
-4.0080160320641287,2e-09
-3.9979959919839683,9.000000000000001e-09
-3.9879759519038078,1.1000000000000001e-08
-3.9779559118236474,7.000000000000001e-09
-3.9679358717434869,6.000000000000001e-09
-3.9579158316633265,8e-09
-3.9478957915831661,6.000000000000001e-09
-3.9378757515030061,3.0000000000000004e-09
-3.9278557114228461,4e-09
-3.9178356713426856,9.000000000000001e-09
-3.9078156312625252,1.4000000000000001e-08
-3.8977955911823647,6.000000000000001e-09
-3.8877755511022043,6.000000000000001e-09
-3.8777555110220439,9.000000000000001e-09
-3.8677354709418839,8e-09
-3.8577154308617234,9.000000000000001e-09
-3.8476953907815634,1.2000000000000002e-08
-3.837675350701403,1.4000000000000001e-08
-3.8276553106212425,2e-08
-3.8176352705410821,2.7e-08
-3.8076152304609217,3.2e-08
-3.7975951903807617,4.7000000000000004e-08
-3.7875751503006012,6.1e-08
-3.7775551102204412,8.500000000000001e-08
-3.7675350701402808,1.16e-07
-3.7575150300601203,1.54e-07
-3.7474949899799599,2.1100000000000002e-07
-3.7374749498997994,2.7600000000000004e-07
-3.727454909819639,3.56e-07
-3.717434869739479,4.63e-07
-3.707414829659319,5.84e-07
-3.6973947895791586,7.29e-07
-3.6873747494989981,9.000000000000001e-07
-3.6773547094188377,1.096e-06
-3.6673346693386772,1.312e-06
-3.6573146292585168,1.56e-06
-3.6472945891783568,1.833e-06
-3.6372745490981964,2.17e-06
-3.6272545090180364,2.51e-06
-3.6172344689378759,2.88e-06
-3.6072144288577155,3.28e-06
-3.597194388777555,3.72e-06
-3.5871743486973946,4.19e-06
-3.5771543086172346,4.7e-06
-3.5671342685370742,5.23e-06
-3.5571142284569142,5.8e-06
-3.5470941883767537,6.39e-06
-3.5370741482965933,7.0200000000000006e-06
-3.5270541082164328,7.680000000000001e-06
-3.5170340681362724,8.36e-06
-3.507014028056112,9.08e-06
-3.496993987975952,9.84e-06
-3.486973947895792,1.063e-05
-3.4769539078156315,1.145e-05
-3.4669338677354711,1.231e-05
-3.4569138276553106,1.319e-05
-3.4468937875751502,1.41e-05
-3.4368737474949898,1.506e-05
-3.4268537074148298,1.602e-05
-3.4168336673346693,1.703e-05
-3.4068136272545093,1.806e-05
-3.3967935871743489,1.912e-05
-3.3867735470941884,2.02e-05
-3.376753507014028,2.13e-05
-3.3667334669338675,2.2499999999999998e-05
-3.3567134268537075,2.37e-05
-3.3466933867735471,2.49e-05
-3.3366733466933871,2.62e-05
-3.3266533066132267,2.7499999999999998e-05
-3.3166332665330662,2.88e-05
-3.3066132264529058,3.02e-05
-3.2965931863727453,3.1599999999999996e-05
-3.2865731462925853,3.2999999999999996e-05
-3.2765531062124249,3.45e-05
-3.2665330661322649,3.59e-05
-3.2565130260521045,3.75e-05
-3.246492985971944,3.92e-05
-3.2364729458917836,4.07e-05
-3.2264529058116231,4.24e-05
-3.2164328657314627,4.4e-05
-3.2064128256513027,4.57e-05
-3.1963927855711423,4.74e-05
-3.1863727454909823,4.9199999999999997e-05
-3.1763527054108218,5.09e-05
-3.1663326653306614,5.27e-05
-3.1563126252505009,5.46e-05
-3.1462925851703405,5.6399999999999995e-05
-3.1362725450901805,5.8299999999999994e-05
-3.1262525050100201,6.02e-05
-3.1162324649298601,6.22e-05
-3.1062124248496996,6.41e-05
-3.0961923847695392,6.61e-05
-3.0861723446893787,6.819999999999999e-05
-3.0761523046092183,7.03e-05
-3.0661322645290583,7.24e-05
-3.0561122244488979,7.45e-05
-3.0460921843687379,7.659999999999999e-05
-3.0360721442885774,7.879999999999999e-05
-3.026052104208417,8.099999999999999e-05
-3.0160320641282565,8.329999999999999e-05
-3.0060120240480961,8.549999999999999e-05
-2.9959919839679361,8.779999999999999e-05
-2.9859719438877756,9.01e-05
-2.9759519038076152,9.25e-05
-2.9659318637274552,9.48e-05
-2.9559118236472948,9.719999999999999e-05
-2.9458917835671343,9.97e-05
-2.9358717434869739,0.00010219999999999999
-2.9258517034068139,0.0001046
-2.9158316633266534,0.0001071
-2.905811623246493,0.0001097
-2.8957915831663326,0.00011219999999999999
-2.8857715430861726,0.0001148
-2.8757515030060121,0.0001174
-2.8657314629258517,0.00011999999999999999
-2.8557114228456917,0.0001227
-2.8456913827655312,0.00012539999999999999
-2.8356713426853708,0.0001281
-2.8256513026052104,0.00013079999999999998
-2.8156312625250504,0.0001336
-2.8056112224448899,0.00013649999999999998
-2.7955911823647295,0.0001393
-2.785571142284569,0.0001422
