V_source,I_channel
0.0,-0.005750000000000001
0.01002004008016032,-0.0057
0.02004008016032064,-0.0056700000000000006
0.030060120240480961,-0.00564
0.040080160320641281,-0.00561
0.050100200400801598,-0.005580000000000001
0.060120240480961921,-0.00555
0.070140280561122245,-0.005520000000000001
0.080160320641282562,-0.00549
0.090180360721442879,-0.0054600000000000004
0.1002004008016032,-0.005430000000000001
0.11022044088176353,-0.0054
0.12024048096192384,-0.005370000000000001
0.13026052104208416,-0.00534
0.14028056112224449,-0.0053100000000000005
0.15030060120240479,-0.005280000000000001
0.16032064128256512,-0.00525
0.17034068136272545,-0.00523
0.18036072144288576,-0.005200000000000001
0.19038076152304609,-0.00517
0.20040080160320639,-0.00515
0.21042084168336672,-0.00512
0.22044088176352705,-0.0051
0.23046092184368736,-0.005070000000000001
0.24048096192384769,-0.005050000000000001
0.25050100200400799,-0.00502
0.26052104208416832,-0.0049900000000000005
0.27054108216432865,-0.00496
0.28056112224448898,-0.00493
0.29058116232464931,-0.004900000000000001
0.30060120240480959,-0.00487
0.31062124248496992,-0.0048400000000000006
0.32064128256513025,-0.0048200000000000005
0.33066132264529058,-0.00479
0.34068136272545091,-0.00476
0.35070140280561118,-0.004750000000000001
0.36072144288577151,-0.004730000000000001
0.37074148296593185,-0.0047
0.38076152304609218,-0.00468
0.39078156312625251,-0.0046500000000000005
0.40080160320641278,-0.0046300000000000004
0.41082164328657311,-0.004600000000000001
0.42084168336673344,-0.004580000000000001
0.43086172344689377,-0.004560000000000001
0.4408817635270541,-0.00453
0.45090180360721444,-0.00451
0.46092184368737471,-0.0044800000000000005
0.47094188376753504,-0.00445
0.48096192384769537,-0.00442
0.4909819639278557,-0.0044
0.50100200400801598,-0.004370000000000001
0.51102204408817631,-0.004350000000000001
0.52104208416833664,-0.0043300000000000005
0.53106212424849697,-0.0043100000000000005
0.5410821643286573,-0.00428
0.55110220440881763,-0.004260000000000001
0.56112224448897796,-0.004240000000000001
0.57114228456913829,-0.00421
0.58116232464929862,-0.00419
0.59118236472945884,-0.0041600000000000005
0.60120240480961917,-0.00413
0.6112224448897795,-0.0041
0.62124248496993983,-0.00408
0.63126252505010017,-0.004050000000000001
0.6412825651302605,-0.004030000000000001
0.65130260521042083,-0.004
0.66132264529058116,-0.00393
0.67134268537074149,-0.00387
0.68136272545090182,-0.0038200000000000005
0.69138276553106215,-0.0037900000000000004
0.70140280561122237,-0.0037500000000000003
0.7114228456913827,-0.00372
0.72144288577154303,-0.0037
0.73146292585170336,-0.00368
0.74148296593186369,-0.0036600000000000005
0.75150300601202402,-0.0036300000000000004
0.76152304609218435,-0.0036000000000000003
0.77154308617234468,-0.0035700000000000003
0.78156312625250501,-0.00354
0.79158316633266534,-0.00351
0.80160320641282556,-0.0034800000000000005
0.81162324649298589,-0.0034500000000000004
0.82164328657314623,-0.0034300000000000003
0.83166332665330656,-0.0034000000000000002
0.84168336673346689,-0.00337
0.85170340681362722,-0.00334
0.86172344689378755,-0.0033100000000000004
0.87174348697394788,-0.0032900000000000004
0.88176352705410821,-0.0032700000000000003
0.89178356713426854,-0.0032400000000000003
0.90180360721442887,-0.0032300000000000002
0.91182364729458909,-0.00321
0.92184368737474942,-0.00318
0.93186372745490975,-0.00316
0.94188376753507008,-0.0031400000000000004
0.95190380761523041,-0.0031200000000000004
0.96192384769539074,-0.0031000000000000003
0.97194388777555107,-0.0030800000000000003
0.9819639278557114,-0.00305
0.99198396793587174,-0.00302
1.002004008016032,-0.003
1.0120240480961924,-0.0029700000000000004
1.0220440881763526,-0.0029500000000000004
1.0320641282565131,-0.0029200000000000003
1.0420841683366733,-0.0029000000000000002
1.0521042084168337,-0.00288
1.0621242484969939,-0.00286
1.0721442885771542,-0.00284
1.0821643286573146,-0.00283
1.0921843687374748,-0.0028100000000000004
1.1022044088176353,-0.0027800000000000004
1.1122244488977955,-0.0027600000000000003
1.1222444889779559,-0.0027300000000000002
1.1322645290581161,-0.00271
1.1422845691382766,-0.00269
1.1523046092184368,-0.00267
1.1623246492985972,-0.00265
1.1723446893787575,-0.0026300000000000004
1.1823647294589177,-0.0026200000000000004
1.1923847695390781,-0.0026000000000000003
1.2024048096192383,-0.0025800000000000003
1.2124248496993988,-0.0025700000000000002
1.222444889779559,-0.00255
1.2324649298597194,-0.00253
1.2424849699398797,-0.00251
1.2525050100200401,-0.00249
1.2625250501002003,-0.0024700000000000004
1.2725450901803608,-0.0024500000000000004
1.282565130260521,-0.0024400000000000003
1.2925851703406812,-0.0024200000000000003
1.3026052104208417,-0.0024100000000000002
1.3126252505010019,-0.00239
1.3226452905811623,-0.00238
1.3326653306613225,-0.00235
1.342685370741483,-0.00233
1.3527054108216432,-0.0023000000000000004
1.3627254509018036,-0.0022800000000000003
1.3727454909819639,-0.0022600000000000003
1.3827655310621243,-0.0022400000000000002
1.3927855711422845,-0.00222
1.4028056112224447,-0.00219
1.4128256513026052,-0.00215
1.4228456913827654,-0.0021100000000000003
1.4328657314629258,-0.0020800000000000003
1.4428857715430861,-0.00206
1.4529058116232465,-0.00204
1.4629258517034067,-0.00199
1.4729458917835672,-0.00198
1.4829659318637274,-0.00199
1.4929859719438878,-0.00199
1.503006012024048,-0.002
1.5130260521042083,-0.00198
1.5230460921843687,-0.00197
1.5330661322645289,-0.00194
1.5430861723446894,-0.0018900000000000002
1.5531062124248496,-0.00185
1.56312625250501,-0.0018300000000000002
1.5731462925851702,-0.0018200000000000002
1.5831663326653307,-0.0018100000000000002
1.5931863727454909,-0.0017900000000000001
